rcs_m2,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,sensing_allocated_w,communication_allocated_w,rho_mean,rho_std,rho_vector,power_search_seconds,table_builds,accepted_power_moves,predicted_objective_gain
0.05,8,v1,0.7,0.05333333333333334,8,36,10,0.9444444444444444,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,8,joint_fixed_power,0.7,0.05,7,36,10,0.9444444444444444,4480.0,7.466666666666669,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,8,uniform_power_joint,0.7,0.05,7,36,10,0.9444444444444444,4480.0,7.466666666666669,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,8,node_power_fixed_set,0.8,0.04666666666666667,7,36,10,0.9444444444444444,4480.0,7.466666666666669,7.200000000000001,7.799999999999999,0.4800000000000001,0.34583232931581165,"[0.2, 0.95, 0.2, 0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95]",0.0,0,0,0.0
0.05,8,power_joint,0.7,0.03666666666666667,8,36,10,0.9444444444444444,5120.0,8.533333333333335,6.000000000000001,9.000000000000002,0.4000000000000001,0.33166247903553997,"[0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95]",25.10639730002731,188,16,1.0449989427415856
0.05,8,balanced_fixed_power,0.7,0.04,8,60,10,0.9833333333333333,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,2,v1,0.3,0.03333333333333333,8,46,10,0.9347826086956522,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,2,joint_fixed_power,0.5,0.03666666666666667,6,46,10,0.9130434782608695,3840.0,6.400000000000001,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,2,uniform_power_joint,0.5,0.03,2,36,10,0.8888888888888888,1280.0,2.1333333333333333,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.05,2,node_power_fixed_set,0.5,0.03,2,36,10,0.8888888888888888,1280.0,2.1333333333333333,11.099999999999998,3.8999999999999995,0.7399999999999999,0.32771939216347873,"[0.95, 0.2, 0.95, 0.95, 0.95, 0.95, 0.2, 0.95, 0.95, 0.2, 0.8, 0.95, 0.95, 0.95, 0.2]",0.0,0,0,0.0
0.05,2,power_joint,0.6,0.03666666666666667,7,40,10,0.925,4480.0,7.466666666666669,9.599999999999998,5.3999999999999995,0.6399999999999999,0.36110940170535577,"[0.95, 0.2, 0.95, 0.95, 0.95, 0.8, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2]",29.755479800049216,188,8,0.35717096853373365
0.05,2,balanced_fixed_power,0.5,0.05333333333333334,8,60,10,0.95,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,4,v1,0.7,0.04,8,42,10,0.9047619047619048,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,4,joint_fixed_power,0.6,0.043333333333333335,8,44,10,0.9090909090909091,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,4,uniform_power_joint,0.6,0.03,8,48,10,0.9166666666666666,5120.0,8.533333333333335,7.5,7.5,0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.0,0,0,0.0
0.05,4,node_power_fixed_set,0.8,0.03666666666666667,8,48,10,0.9166666666666666,5120.0,8.533333333333335,8.1,6.8999999999999995,0.5399999999999999,0.28178005607210743,"[0.8, 0.2, 0.8, 0.5, 0.8, 0.8, 0.2, 0.5, 0.2, 0.5, 0.95, 0.2, 0.5, 0.95, 0.2]",0.0,0,0,0.0
0.05,4,power_joint,0.9,0.03666666666666667,8,48,10,0.8958333333333334,5120.0,8.533333333333335,7.500000000000001,7.499999999999999,0.5000000000000001,0.31937438845342625,"[0.8, 0.2, 0.2, 0.5, 0.95, 0.95, 0.2, 0.2, 0.2, 0.5, 0.95, 0.2, 0.5, 0.95, 0.2]",32.31791440001689,188,15,0.7515248992109032
0.05,4,balanced_fixed_power,0.7,0.03333333333333333,8,60,10,0.8666666666666667,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,0,v1,0.3,0.05,8,40,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,0,joint_fixed_power,0.3,0.05333333333333334,8,40,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,0,uniform_power_joint,0.3,0.03666666666666667,3,45,10,1.0,1920.0,3.2,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.05,0,node_power_fixed_set,0.3,0.04,3,45,10,1.0,1920.0,3.2,8.55,6.449999999999999,0.5700000000000001,0.3325657829663178,"[0.95, 0.8, 0.2, 0.5, 0.2, 0.95, 0.2, 0.5, 0.8, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95]",0.0,0,0,0.0
0.05,0,power_joint,0.6,0.05,7,45,10,1.0,4480.0,7.466666666666669,7.3500000000000005,7.6499999999999995,0.49000000000000005,0.35693136595149494,"[0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.8, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95]",33.16511070006527,188,13,0.35066208610986527
0.05,0,balanced_fixed_power,0.5,0.043333333333333335,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,7,v1,0.5,0.04666666666666667,8,46,10,0.9130434782608695,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,7,joint_fixed_power,0.5,0.04666666666666667,8,46,10,0.9130434782608695,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,7,uniform_power_joint,0.5,0.04666666666666667,8,46,10,0.9130434782608695,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,7,node_power_fixed_set,0.7,0.06333333333333334,8,46,10,0.9130434782608695,5120.0,8.533333333333335,8.7,6.3,0.58,0.32802438933713446,"[0.95, 0.95, 0.8, 0.8, 0.5, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.8, 0.95, 0.2]",0.0,0,0,0.0
0.05,7,power_joint,0.7,0.05333333333333334,8,45,10,0.8888888888888888,5120.0,8.533333333333335,7.800000000000001,7.199999999999999,0.52,0.34583232931581165,"[0.95, 0.95, 0.8, 0.8, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.95, 0.2]",32.16984789993148,188,13,0.48670191636524907
0.05,7,balanced_fixed_power,0.5,0.056666666666666664,8,60,10,0.95,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,6,v1,0.5,0.05333333333333334,8,49,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,6,joint_fixed_power,0.5,0.05333333333333334,7,46,10,1.0,4480.0,7.466666666666669,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,6,uniform_power_joint,0.5,0.05333333333333334,7,46,10,1.0,4480.0,7.466666666666669,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,6,node_power_fixed_set,0.6,0.04666666666666667,7,46,10,1.0,4480.0,7.466666666666669,7.800000000000001,7.2,0.52,0.34583232931581165,"[0.2, 0.8, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.8, 0.8, 0.95, 0.2, 0.2, 0.2, 0.95]",0.0,0,0,0.0
0.05,6,power_joint,0.5,0.03333333333333333,8,48,10,1.0,5120.0,8.533333333333335,7.500000000000001,7.499999999999999,0.5000000000000001,0.36742346141747667,"[0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95]",33.67329319997225,188,15,0.664485533075041
0.05,6,balanced_fixed_power,0.5,0.06333333333333334,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,9,v1,0.7,0.04,8,50,10,0.88,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,9,joint_fixed_power,0.7,0.04,8,50,10,0.88,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,9,uniform_power_joint,0.7,0.04,8,50,10,0.88,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,9,node_power_fixed_set,0.7,0.05,8,50,10,0.88,5120.0,8.533333333333335,7.650000000000001,7.35,0.5100000000000001,0.33075670817082453,"[0.95, 0.2, 0.5, 0.2, 0.2, 0.2, 0.5, 0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.5]",0.0,0,0,0.0
0.05,9,power_joint,0.8,0.06,8,50,10,0.94,5120.0,8.533333333333335,7.050000000000001,7.949999999999999,0.47000000000000003,0.34727510708370674,"[0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.5, 0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2]",33.01863740000408,188,17,1.8161623710280879
0.05,9,balanced_fixed_power,0.8,0.06,8,60,10,0.9,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,11,v1,0.3,0.03666666666666667,8,35,10,0.9714285714285714,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,11,joint_fixed_power,0.3,0.03333333333333333,8,39,10,0.9487179487179487,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,11,uniform_power_joint,0.3,0.03333333333333333,8,39,10,0.9487179487179487,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,11,node_power_fixed_set,0.4,0.02666666666666667,8,39,10,0.9487179487179487,5120.0,8.533333333333335,7.800000000000001,7.199999999999999,0.52,0.34583232931581165,"[0.95, 0.2, 0.8, 0.95, 0.95, 0.2, 0.95, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0,0,0.0
0.05,11,power_joint,0.4,0.04666666666666667,8,50,10,0.94,5120.0,8.533333333333335,5.8500000000000005,9.15,0.39,0.3168595903550972,"[0.95, 0.2, 0.8, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",34.43362199992407,188,15,0.5346299571653104
0.05,11,balanced_fixed_power,0.1,0.06666666666666667,8,60,10,0.9833333333333333,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,3,v1,0.5,0.03666666666666667,8,41,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,3,joint_fixed_power,0.5,0.03666666666666667,7,41,10,1.0,4480.0,7.466666666666669,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,3,uniform_power_joint,0.5,0.03666666666666667,2,41,10,1.0,1280.0,2.1333333333333333,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.05,3,node_power_fixed_set,0.6,0.03,2,41,10,1.0,1280.0,2.1333333333333333,8.55,6.449999999999999,0.5700000000000001,0.36276714294434104,"[0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.5, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95]",0.0,0,0,0.0
0.05,3,power_joint,0.6,0.03666666666666667,8,43,10,1.0,5120.0,8.533333333333335,7.500000000000001,7.499999999999999,0.5000000000000001,0.36742346141747667,"[0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95]",35.18579260003753,188,10,0.8293304057760507
0.05,3,balanced_fixed_power,0.5,0.03,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,10,v1,0.3,0.056666666666666664,8,49,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,10,joint_fixed_power,0.3,0.06,6,49,10,1.0,3840.0,6.400000000000001,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,10,uniform_power_joint,0.5,0.04666666666666667,5,49,10,1.0,3200.0,5.333333333333334,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.05,10,node_power_fixed_set,0.5,0.05,5,49,10,1.0,3200.0,5.333333333333334,8.25,6.749999999999999,0.55,0.3741657386773941,"[0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.05,10,power_joint,0.4,0.03666666666666667,8,46,10,1.0,5120.0,8.533333333333335,7.500000000000001,7.499999999999999,0.5000000000000001,0.36742346141747667,"[0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.95]",36.17734510009177,188,9,0.5523733944371383
0.05,10,balanced_fixed_power,0.4,0.05,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,5,v1,0.0,0.07,8,55,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,5,joint_fixed_power,0.0,0.06666666666666667,8,51,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,5,uniform_power_joint,0.2,0.043333333333333335,8,55,10,1.0,5120.0,8.533333333333335,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.05,5,node_power_fixed_set,0.3,0.05,8,55,10,1.0,5120.0,8.533333333333335,7.500000000000001,7.499999999999999,0.5000000000000001,0.36742346141747667,"[0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95]",0.0,0,0,0.0
0.05,5,power_joint,0.3,0.056666666666666664,8,55,10,1.0,5120.0,8.533333333333335,6.750000000000001,8.25,0.45000000000000007,0.35355339059327373,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95]",36.93690279999282,188,10,1.2191823518050655
0.05,5,balanced_fixed_power,0.1,0.07333333333333333,8,60,10,0.9833333333333333,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,1,v1,0.4,0.02666666666666667,4,52,10,1.0,2560.0,4.266666666666667,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,1,joint_fixed_power,0.4,0.03333333333333333,5,47,10,1.0,3200.0,5.333333333333334,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,1,uniform_power_joint,0.4,0.023333333333333334,8,53,10,1.0,5120.0,8.533333333333335,7.5,7.5,0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.0,0,0,0.0
0.05,1,node_power_fixed_set,0.5,0.04,8,53,10,1.0,5120.0,8.533333333333335,7.3500000000000005,7.6499999999999995,0.49000000000000005,0.35693136595149494,"[0.2, 0.2, 0.8, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95]",0.0,0,0,0.0
0.05,1,power_joint,0.5,0.043333333333333335,8,48,10,1.0,5120.0,8.533333333333335,6.600000000000001,8.4,0.4400000000000001,0.3411744421846396,"[0.2, 0.2, 0.8, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95]",38.47757009998895,188,16,0.6959426347306179
0.05,1,balanced_fixed_power,0.5,0.03,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,12,v1,0.5,0.056666666666666664,8,45,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,12,joint_fixed_power,0.6,0.06333333333333334,8,40,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,12,uniform_power_joint,0.6,0.06333333333333334,8,40,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,12,node_power_fixed_set,0.6,0.06666666666666667,8,40,10,1.0,5120.0,8.533333333333335,7.2,7.8,0.48000000000000004,0.31400636936215165,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.8, 0.2, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.5, 0.95]",0.0,0,0,0.0
0.05,12,power_joint,0.7,0.08,8,43,10,1.0,5120.0,8.533333333333335,6.15,8.850000000000001,0.41000000000000003,0.31368774282716244,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.5, 0.8, 0.2, 0.2, 0.95]",31.368333899998106,188,15,1.348408851150573
0.05,12,balanced_fixed_power,0.5,0.06666666666666667,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,13,v1,0.4,0.06333333333333334,8,43,10,0.9767441860465116,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.05,13,joint_fixed_power,0.4,0.06333333333333334,8,43,10,0.9767441860465116,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
