split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,0,40.0,no_ic,0.0017895041784108147,42.352714214268445,1,3,272.74213770395863,287.7840132797909,10,0.998840123052161,0.0,0.0,1.0789283118044114e-05,1.0789283118044114e-05,1.0789283118044114e-05,0.0,1.0,1.0,1.0,1.0,0.8974667156115318,0,5,0.0
calibration,0,0,0,0,40.0,plain_ls,0.0017895041784108147,42.352714214268445,1,3,272.7404655035922,287.78225699913895,10,0.9988401443622857,15.23116021058497,15.231162578670162,1.0789283118044114e-05,3.235017008501741e-07,3.2350152445387866e-07,1.763962954417555e-13,0.9999103295516528,0.998536243662189,0.9999723527010462,0.9987388132727175,0.8974667156115318,0,5,62.27605376690842
calibration,0,0,0,0,40.0,protected_ls,0.0017895041784108147,42.352714214268445,1,3,503.4287157984708,535.37750809298,10,0.998352329373997,13.805626286171403,13.80562800278468,1.0789283118044114e-05,4.4918987743934645e-07,4.4918969989042833e-07,1.7754891811815308e-13,0.9998972577828598,0.9998723761669247,1.0,0.9987242410293226,0.8974667156115318,45,5,5.167632652966111
calibration,0,0,0,0,40.0,tp_uic_full,0.0017895041784108147,42.352714214268445,1,3,272.83381543285805,287.87068772825694,10,0.9988411472596672,15.231152611967001,15.231155027804613,1.0789283118044114e-05,3.2350226686427067e-07,3.235020869106312e-07,1.799536394655389e-13,0.9999291263845086,0.9991005395253648,1.0000011455018465,0.9987450102244021,0.8974667156115318,45,5,62.263713697511605
calibration,0,0,0,0,40.0,perfect_channel,0.0017895041784108147,42.352714214268445,1,3,2.70738164172933,4.1444746266330075,10,0.9988430977670611,inf,inf,1.0789283118044114e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8974667156115318,0,5,nan
calibration,0,0,0,1,40.0,no_ic,0.0017500313142839734,42.07643433200808,1,3,281.28590130101145,275.1962927400622,10,0.9988418415427769,0.0,0.0,1.0124290573745515e-05,1.0124290573745515e-05,1.0124290573745515e-05,0.0,1.0,1.0,1.0,1.0,0.9105809611334434,0,5,0.0
calibration,0,0,0,1,40.0,plain_ls,0.0017500313142839734,42.07643433200808,1,3,281.28482203383487,275.19530668129994,10,0.998841863700266,12.430029631373813,12.430032025092128,1.0124290573745515e-05,5.785776298585219e-07,5.78577310961657e-07,3.1889686494297615e-13,0.9998648300622038,0.9993208966569657,0.9999788991217589,0.9997004731292674,0.9105809611334434,0,5,64.80090446490466
calibration,0,0,0,1,40.0,protected_ls,0.0017500313142839734,42.07643433200808,1,3,558.5096369100559,589.0611452683828,10,0.9986349488293819,11.807045692209366,11.807047769812938,1.0124290573745515e-05,6.678209391316539e-07,6.678206196556086e-07,3.1947604526896024e-13,0.9999409157870723,0.9999751333806187,1.0,0.999755247466122,0.9105809611334434,45,5,7.01565194620701
calibration,0,0,0,1,40.0,tp_uic_full,0.0017500313142839734,42.07643433200808,1,3,281.33169423316536,275.2446118013264,10,0.9988420213332383,12.430019091288617,12.430021520555535,1.0124290573745515e-05,5.785790340359098e-07,5.785787104023912e-07,3.2363351859401473e-13,0.9998771692566368,0.9996421993617317,1.0000005124752327,0.9997098046882499,0.9105809611334434,45,5,64.78837405644381
calibration,0,0,0,1,40.0,perfect_channel,0.0017500313142839734,42.07643433200808,1,3,1.183709054279669,3.475278205872498,10,0.9988430977670611,inf,inf,1.0124290573745515e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9105809611334434,0,5,nan
calibration,0,0,0,2,40.0,no_ic,0.0017853372311478852,42.24847994232512,1,3,151.41202670296838,214.1680825069982,10,0.9988410035317589,0.0,0.0,1.053341420421204e-05,1.053341420421204e-05,1.053341420421204e-05,0.0,1.0,1.0,1.0,1.0,0.8928574217309206,0,5,0.0
calibration,0,0,0,2,40.0,plain_ls,0.0017853372311478852,42.24847994232512,1,3,151.4115556538307,214.1673848793689,10,0.9988410247456594,21.159108845283257,21.159125690245162,1.053341420421204e-05,8.066001114951145e-08,8.065969829447024e-08,3.128550412134206e-13,0.9999203414243988,0.9987544379271794,0.9999790450437196,0.9993847510200641,0.8928574217309206,0,5,56.24387086073526
calibration,0,0,0,2,40.0,protected_ls,0.0017853372311478852,42.24847994232512,1,3,190.51459275963612,245.47271583199563,10,0.9984789404182528,17.17142201988693,17.171428779109334,1.053341420421204e-05,2.0203516201667228e-07,2.0203484757576005e-07,3.1444091221876545e-13,0.9999365059863995,0.999952402658443,0.9999999999999998,0.9993668721280146,0.8928574217309206,45,5,1.9462444119194997
calibration,0,0,0,2,40.0,tp_uic_full,0.0017853372311478852,42.24847994232512,1,3,151.49760830840705,214.271207451596,10,0.9988410178161914,21.159097549590086,21.15911447408714,1.053341420421204e-05,8.066022094078437e-08,8.065990660775253e-08,3.143330318380805e-13,0.9999309125262221,0.9992054307648695,0.9999999908939614,0.9993913618619955,0.8928574217309206,45,5,56.23203509510968
calibration,0,0,0,2,40.0,perfect_channel,0.0017853372311478852,42.24847994232512,1,3,3.934888246350502,8.98673366975615,10,0.9988430977670611,inf,inf,1.053341420421204e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8928574217309206,0,5,nan
calibration,0,2,0,0,40.0,no_ic,0.000600008964299325,41.58594920021608,1,3,1177.0306437652212,1149.4925655669051,10,0.9973322181157904,0.0,0.0,9.043074068884413e-06,9.043074068884413e-06,9.043074068884413e-06,0.0,1.0,1.0,1.0,1.0,0.9172323174618539,0,5,0.0
calibration,0,2,0,0,40.0,plain_ls,0.000600008964299325,41.58594920021608,1,3,1177.03306917897,1149.494907379325,10,0.9973321536430253,12.28061046429351,12.280611909006083,9.043074068884413e-06,5.348783771673175e-07,5.348781992361161e-07,1.7793120139173995e-13,0.9999925546855244,0.9988836653716161,0.9999426317469482,0.9998855738602792,0.9172323174618539,0,5,64.45983845164078
calibration,0,2,0,0,40.0,protected_ls,0.000600008964299325,41.58594920021608,1,3,1310.4562832646843,1293.4967795443986,10,0.9966194126917846,11.610223095566262,11.61022427146331,9.043074068884413e-06,6.241569035951613e-07,6.241567345982727e-07,1.689968886512623e-13,0.9999272673472812,0.9995684078609958,1.0,0.9997882708432969,0.9172323174618539,45,5,9.086214542228229
calibration,0,2,0,0,40.0,tp_uic_full,0.000600008964299325,41.58594920021608,1,3,1176.919477064331,1149.3708078940613,10,0.9973339736452637,12.280601694558108,12.280603164537354,9.043074068884413e-06,5.348794572516312e-07,5.348792762082146e-07,1.8104341661396678e-13,1.0000125084186564,0.9992181052531821,0.9999839153086361,0.9998882164805843,0.9172323174618539,45,5,64.42671124648227
calibration,0,2,0,0,40.0,perfect_channel,0.000600008964299325,41.58594920021608,1,3,2.330791670997564,3.8136944010247165,10,0.9973446462225137,inf,inf,9.043074068884413e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9172323174618539,0,5,nan
calibration,0,2,0,1,40.0,no_ic,0.0006341571936880015,41.69108634879758,1,3,730.2763610412879,652.3268769767834,10,0.9973377610690386,0.0,0.0,9.264666760938194e-06,9.264666760938194e-06,9.264666760938194e-06,0.0,1.0,1.0,1.0,1.0,0.9341509098154982,0,5,0.0
calibration,0,2,0,1,40.0,plain_ls,0.0006341571936880015,41.69108634879758,1,3,730.2809977595354,652.3311376077531,10,0.997337742206775,11.749071788250404,11.749074501960308,9.264666760938194e-06,6.193307223743644e-07,6.193303353827128e-07,3.8699165167677527e-13,0.9999873123198298,0.9995113138229972,0.9999547802674521,0.9998878708852764,0.9341509098154982,0,5,65.0965142763424
calibration,0,2,0,1,40.0,protected_ls,0.0006341571936880015,41.69108634879758,1,3,821.0552708398477,739.0959068495865,10,0.9965998918722848,11.314659425853453,11.314661908901707,9.264666760938194e-06,6.844848817508677e-07,6.844844904015472e-07,3.913493204248506e-13,0.9999669681790981,0.9997499771367317,1.0,0.999864427741679,0.9341509098154982,45,5,8.759113168172997
calibration,0,2,0,1,40.0,tp_uic_full,0.0006341571936880015,41.69108634879758,1,3,730.4411546862782,652.5091935173152,10,0.997339136393951,11.74891179809208,11.748914535758285,9.264666760938194e-06,6.193535383781625e-07,6.193531479558137e-07,3.904223487567006e-13,1.0000032572786444,0.9997676267669198,0.9999935996988621,0.9999246008581315,0.9341509098154982,45,5,65.05638751905438
calibration,0,2,0,1,40.0,perfect_channel,0.0006341571936880015,41.69108634879758,1,3,5.783108400498869,2.451902431750291,10,0.9973446462225137,inf,inf,9.264666760938194e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9341509098154982,0,5,nan
calibration,0,2,0,2,40.0,no_ic,0.0005733871580336881,41.652109758488805,1,3,761.5444710931681,714.3130204298964,10,0.9973334712176528,0.0,0.0,9.181891232164854e-06,9.181891232164854e-06,9.181891232164854e-06,0.0,1.0,1.0,1.0,1.0,0.9233385859414941,0,5,0.0
calibration,0,2,0,2,40.0,plain_ls,0.0005733871580336881,41.652109758488805,1,3,761.5493018725393,714.3177248670048,10,0.9973334006644348,13.911193231572712,13.9111960311271,9.181891232164854e-06,3.7308932302572587e-07,3.730890825245087e-07,2.4050121713482073e-13,0.9999754144028782,0.9990265321976363,0.9999675047878549,0.9998931406260871,0.9233385859414941,0,5,62.89541624270524
calibration,0,2,0,2,40.0,protected_ls,0.0005733871580336881,41.652109758488805,1,3,419.0869869556818,349.1314086949914,10,0.9967913811418485,13.28179132088527,13.28179361291837,9.181891232164854e-06,4.312737367624884e-07,4.312735091534672e-07,2.276090211428148e-13,0.9999626312626947,0.9993005824000236,1.0,0.9997401249889285,0.9233385859414941,45,5,7.200195059730417
calibration,0,2,0,2,40.0,tp_uic_full,0.0005733871580336881,41.652109758488805,1,3,761.4141778649142,714.2131105578966,10,0.9973359115755313,13.911148531507456,13.911151298419796,9.181891232164854e-06,3.730931630936074e-07,3.730929253941223e-07,2.376994851193914e-13,0.9999924687033359,0.9994047257837776,1.0000006674435808,0.9998958532067439,0.9233385859414941,45,5,62.86229510914566
calibration,0,2,0,2,40.0,perfect_channel,0.0005733871580336881,41.652109758488805,1,3,8.372300035503589,3.1125057857662144,10,0.9973446462225137,inf,inf,9.181891232164854e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9233385859414941,0,5,nan
calibration,0,4,0,0,40.0,no_ic,0.0010278235219876584,42.65596040218015,1,3,247.80018318061093,272.04284413838786,10,0.9987824156928209,0.0,0.0,1.1569569737745264e-05,1.1569569737745264e-05,1.1569569737745264e-05,0.0,1.0,1.0,1.0,1.0,0.928431736977386,0,5,0.0
calibration,0,4,0,0,40.0,plain_ls,0.0010278235219876584,42.65596040218015,1,3,247.79929475992162,272.0424699353697,10,0.9987824028653675,12.616126910201634,12.616128468929013,1.1569569737745264e-05,6.334385892764634e-07,6.334383619289065e-07,2.2734755684155275e-13,0.9998777447600773,0.9990269283633362,0.9996340341236051,0.9993736001985976,0.928431736977386,0,5,65.19433308906024
calibration,0,4,0,0,40.0,protected_ls,0.0010278235219876584,42.65596040218015,1,3,636.8706990481693,658.2050579607067,10,0.9897598494816028,12.370163274620452,12.370164852706779,1.1569569737745264e-05,6.703488686481947e-07,6.703486250650416e-07,2.435831531116905e-13,0.9997168708039108,0.9999250712640688,1.0000000000000004,0.99944926945985,0.928431736977386,45,5,12.909973385360527
calibration,0,4,0,0,40.0,tp_uic_full,0.0010278235219876584,42.65596040218015,1,3,247.96690539923674,272.2645231827347,10,0.9987853295065374,12.616121473876396,12.616123042652973,1.1569569737745264e-05,6.334393821901404e-07,6.334391533765755e-07,2.2881356496929013e-13,0.9999423165789515,0.9998362563538892,0.9998281222395354,0.9994197418576435,0.928431736977386,45,5,65.18392633279532
calibration,0,4,0,0,40.0,perfect_channel,0.0010278235219876584,42.65596040218015,1,3,5.868385285044597,3.682600743984492,10,0.9987966299124093,inf,inf,1.1569569737745264e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.928431736977386,0,5,nan
calibration,0,4,0,1,40.0,no_ic,0.0014177176463990256,42.851633080406415,1,3,344.5103398692381,407.20899395699246,10,0.9987916444546471,0.0,0.0,1.2102761527351714e-05,1.2102761527351714e-05,1.2102761527351714e-05,0.0,1.0,1.0,1.0,1.0,0.9360459402177657,0,5,0.0
calibration,0,4,0,1,40.0,plain_ls,0.0014177176463990256,42.851633080406415,1,3,344.4751015687816,407.1724901013629,10,0.9987915446034782,12.061566136358962,12.061566775236399,1.2102761527351714e-05,7.528836439642955e-07,7.528835332098751e-07,1.1075442041904228e-13,0.9998221466174076,0.9998938424249726,0.9996774933805676,0.99942144251622,0.9360459402177657,0,5,65.94456653989215
calibration,0,4,0,1,40.0,protected_ls,0.0014177176463990256,42.851633080406415,1,3,1081.5605249448176,1190.6232454646888,10,0.9937039023531634,11.923234984487207,11.923235650786388,1.2102761527351714e-05,7.7725044183018e-07,7.772503225836054e-07,1.192465746036962e-13,0.999787481064433,0.9999454338795204,1.0000000000000002,0.9993391966326554,0.9360459402177657,45,5,11.900924602768953
calibration,0,4,0,1,40.0,tp_uic_full,0.0014177176463990256,42.851633080406415,1,3,343.9432170146399,406.6334767866527,10,0.9987950266424486,12.061381427254732,12.06138207872145,1.2102761527351714e-05,7.529156654212949e-07,7.529155524796202e-07,1.1294167469502484e-13,0.9998741603414204,1.0016757285943663,0.9998444890467252,0.9995118066763016,0.9360459402177657,45,5,65.92476657032864
calibration,0,4,0,1,40.0,perfect_channel,0.0014177176463990256,42.851633080406415,1,3,6.048071626579983,4.481842865445688,10,0.9987966299124093,inf,inf,1.2102761527351714e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9360459402177657,0,5,nan
calibration,0,4,0,2,40.0,no_ic,0.0009692360516722321,42.82355145506472,1,3,228.7367344180426,204.0794399673721,10,0.9987805315678459,0.0,0.0,1.2024757130912214e-05,1.2024757130912214e-05,1.2024757130912214e-05,0.0,1.0,1.0,1.0,1.0,0.93432354574638,0,5,0.0
calibration,0,4,0,2,40.0,plain_ls,0.0009692360516722321,42.82355145506472,1,3,228.7439155314765,204.08551234704066,10,0.9987805132369143,18.30564640864711,18.30565576484853,1.2024757130912214e-05,1.776281009194328e-07,1.7762771824763542e-07,3.8267179737002484e-13,0.9998732943308519,0.9990496365038544,0.9996400147831694,0.9993869810182057,0.93432354574638,0,5,59.67240464269409
calibration,0,4,0,2,40.0,protected_ls,0.0009692360516722321,42.82355145506472,1,3,507.8363713699253,531.7958257591879,10,0.9922834051505923,17.61957761924286,17.619585094209455,1.2024757130912214e-05,2.0802644700154432e-07,2.0802608895200215e-07,3.5804954215937936e-13,0.9997013402585045,0.9999198584502861,1.0000000000000004,0.9993409230151635,0.93432354574638,45,5,7.726832954235743
calibration,0,4,0,2,40.0,tp_uic_full,0.0009692360516722321,42.82355145506472,1,3,229.33426753962067,204.5182967870302,10,0.9987836784163489,18.30557600548534,18.305584932257833,1.2024757130912214e-05,1.7763098045896405e-07,1.7763061534501777e-07,3.6511394628263064e-13,0.999929572823267,0.9998521613057397,0.9998334677874693,0.9995391475626131,0.93432354574638,45,5,59.66127981962502
calibration,0,4,0,2,40.0,perfect_channel,0.0009692360516722321,42.82355145506472,1,3,3.156301598390221,7.352325504412158,10,0.9987966299124093,inf,inf,1.2024757130912214e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.93432354574638,0,5,nan
calibration,1,0,0,0,40.0,no_ic,0.9768964222084694,36.21211133922816,1,3,477472.4411034711,483181.46824753965,10,0.9982794571988843,0.0,0.0,2.6238095105437267e-06,2.6238095105437267e-06,2.6238095105437267e-06,0.0,1.0,1.0,1.0,1.0,0.9964197408574484,0,5,0.0
calibration,1,0,0,0,40.0,plain_ls,0.9768964222084694,36.21211133922816,1,3,477472.4843309914,483181.5092968305,10,0.9982794471373205,15.526980518967424,15.526989072971693,2.6238095105437267e-06,7.349101575659026e-08,7.34908710064565e-08,1.447501337585082e-13,0.9216857285616573,0.9270169580385405,0.8641410016217151,0.1967597239644549,0.9964197408574484,0,5,55.83963130899663
calibration,1,0,0,0,40.0,protected_ls,0.9768964222084694,36.21211133922816,1,3,435020.86939204833,440207.0205994308,10,0.9973563864815513,4.762427714589435,4.762428412355551,2.6238095105437267e-06,8.76374092625446e-07,8.76373951821424e-07,1.4080402198199078e-13,0.9985272403436337,0.9984462042390215,1.0,0.8321333266218505,0.9964197408574484,45,5,0.682712678117765
calibration,1,0,0,0,40.0,tp_uic_full,0.9768964222084694,36.21211133922816,1,3,499237.2705527755,504971.6163384403,10,0.9979469811902903,15.196120177568304,15.196129037615265,2.6238095105437267e-06,7.93086001151092e-08,7.930843831770351e-08,1.6179740568358974e-13,0.9829885003015462,0.9828401344877582,1.0676755387090928,0.20476652205676527,0.9964197408574484,45,5,53.46425761201602
calibration,1,0,0,0,40.0,perfect_channel,0.9768964222084694,36.21211133922816,1,3,2.126090775813094,31.12939933584651,10,0.9988514926827493,inf,inf,2.6238095105437267e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9964197408574484,0,5,nan
calibration,1,0,0,1,40.0,no_ic,0.9751450722537871,36.78580081287102,1,3,1293468.861588269,1291392.7145788188,10,0.9987158348861034,0.0,0.0,2.994340947340765e-06,2.994340947340765e-06,2.994340947340765e-06,0.0,1.0,1.0,1.0,1.0,0.9974622265437446,0,5,0.0
calibration,1,0,0,1,40.0,plain_ls,0.9751450722537871,36.78580081287102,1,3,1293469.6628942515,1291393.5103794972,10,0.9987158305367202,14.131072252724032,14.131079759463613,2.994340947340765e-06,1.1566288585928597e-07,1.1566268593724015e-07,1.999220458232343e-13,0.9541868620718079,0.949589319454176,0.9096196341524895,0.17971593085014337,0.9974622265437446,0,5,57.80922861680598
calibration,1,0,0,1,40.0,protected_ls,0.9751450722537871,36.78580081287102,1,3,1354717.907302768,1351812.7233887734,10,0.9980824757472756,3.178634355017778,3.1786349579908055,2.994340947340765e-06,1.4402497674812454e-06,1.4402495675174561e-06,1.9996378922118522e-13,0.9994648086819163,0.9994416496469026,0.9999999999999999,0.8375953462332034,0.9974622265437446,45,5,2.108390708930453
calibration,1,0,0,1,40.0,tp_uic_full,0.9751450722537871,36.78580081287102,1,3,1323949.5553803144,1321847.7562786597,10,0.9986444758492135,13.81575135562808,13.815760252594519,2.994340947340765e-06,1.2437300104694863e-07,1.2437274625640243e-07,2.5479054618483454e-13,1.1173497441724318,1.10742719388117,1.0127274747742603,0.1821000605018508,0.9974622265437446,45,5,55.592042555320226
calibration,1,0,0,1,40.0,perfect_channel,0.9751450722537871,36.78580081287102,1,3,3.972523902866504,9.958247834261039,10,0.9988514926827493,inf,inf,2.994340947340765e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9974622265437446,0,5,nan
calibration,1,0,0,2,40.0,no_ic,0.9905079587974445,35.41630126031328,1,3,766300.9838286934,773267.6514302497,10,0.996948830545204,0.0,0.0,2.1844962022801566e-06,2.1844962022801566e-06,2.1844962022801566e-06,0.0,1.0,1.0,1.0,1.0,0.9974033259300139,0,5,0.0
calibration,1,0,0,2,40.0,plain_ls,0.9905079587974445,35.41630126031328,1,3,766301.4585220593,773268.1274144959,10,0.9969488338537511,12.612826797080105,12.612835270788786,2.1844962022801566e-06,1.1969296196591003e-07,1.1969272842798969e-07,2.335379203410142e-13,0.8227900559235471,0.8348222485180816,0.731109624009744,0.18547404016470112,0.9974033259300139,0,5,57.95797447552958
calibration,1,0,0,2,40.0,protected_ls,0.9905079587974445,35.41630126031328,1,3,505645.51833813865,509695.17950696446,10,0.9923678506453827,5.744138296737605,5.744140151724925,2.1844962022801566e-06,5.820194046442951e-07,5.8201915604837e-07,2.4859592511394185e-13,0.9987949722211519,0.9988966430451623,1.0,0.8479409249729588,0.9974033259300139,45,5,2.4194712443593374
