split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,0,30.0,tp_uic_full,tp_uic_full,0.0017895041784108192,32.352714214268445,1,3,8.313181935793331,8.318217046937153,10,0.998830881415323,0.7787501936390832,15.231130864167252,15.231155022446924,1.0789283118044114e-06,3.235038868434384e-08,3.2350208730972065e-08,1.7995337177164285e-13,0.9999291263929935,0.9991005401103812,1.000001145490573,0.9987450103409775,0.8974667156113035,2.8112064115776723e-14,8.523874783376567e-07,45,5,52.263739183776785
calibration,0,0,0,1,30.0,tp_uic_full,tp_uic_full,0.0017500313142839792,32.076434332008084,1,3,2.1811293025997553,3.2252203117042915,10,0.9988475645539451,0.778715631097803,12.429997239441633,12.430021532015648,1.0124290573745515e-06,5.785819452062917e-08,5.7857870887564426e-08,3.2363306474384985e-13,0.9998771692813959,0.9996421996070852,1.00000051246129,0.9997098047636681,0.9105809611332912,3.1978274415388614e-14,5.467022643021444e-07,45,5,54.78839965785592
calibration,0,2,0,0,30.0,tp_uic_full,tp_uic_full,0.0006000089642993249,31.585949200216092,1,3,4.6610669037190435,5.308962521983149,10,0.9973664304457193,0.7400613561479515,12.280588467228812,12.28060316696235,9.043074068884419e-07,5.3488108633921705e-08,5.348792759095512e-08,1.8104296657974757e-13,1.0000125084016667,0.9992181052776417,0.9999839153077432,0.9998882164941889,0.9172323174618535,2.6743968135478508e-14,4.942053985522921e-07,45,5,54.42672784885676
calibration,0,2,0,1,30.0,tp_uic_full,tp_uic_full,0.0006341571936880018,31.691086348797583,1,3,16.41247713452142,10.751606623973803,10,0.9973711307381169,0.7400675771365951,11.748887205681044,11.748914582216035,9.264666760938192e-07,6.19357045546812e-08,6.193531413304121e-08,3.904216399895845e-13,1.0000032572721964,0.9997676254566514,0.9999935996936851,0.9999246009019724,0.9341509098154946,3.1582460701679994e-14,5.048092633029553e-07,45,5,55.056415509442935
calibration,0,4,0,0,30.0,tp_uic_full,tp_uic_full,0.001027823521987657,32.65596040218015,1,3,15.665795119097426,9.093212628967763,10,0.9987899417662837,0.8673778566285385,12.616107350656417,12.616123038380424,1.1569569737745267e-06,6.334414421330265e-08,6.334391539997473e-08,2.288133279244034e-13,0.9999423163819369,0.9998362563145694,0.9998281223776535,0.999419741699846,0.9284317369774097,3.006789216292077e-14,4.699908082760472e-07,45,5,55.183942695467735
calibration,0,4,0,1,30.0,tp_uic_full,tp_uic_full,0.0014177176463990293,32.851633080406415,1,3,12.721276442645733,6.617746956934053,10,0.9987377275094459,0.8671704025814269,12.06137558467941,12.061382099334557,1.2102761527351718e-06,7.52916678321442e-08,7.529155489060248e-08,1.1294154172791137e-13,0.9998741601558605,1.00167572542121,0.9998444891547423,0.9995118064370931,0.9360459402177685,3.389961035118497e-14,4.464653141258805e-07,45,5,55.92477465246938
calibration,1,0,0,0,30.0,tp_uic_full,tp_uic_full,0.9768964222084673,26.21211133922815,1,3,585.2234004616093,757.7027073970307,10,0.9970138060686157,3.975012250736709,15.196079263956864,15.196167863552903,2.6238095105437253e-07,7.930934726172698e-09,7.930772930323414e-09,1.6179584928465947e-13,0.9829886297788781,0.9828402320547317,1.067673999381079,0.2047662193408174,0.9964197408574471,3.418007013406306e-13,3.9257191182175126e-05,45,5,43.464321962652186
calibration,1,0,0,1,30.0,tp_uic_full,tp_uic_full,0.9751450722537863,26.785800812871017,1,3,1968.3366833434325,1959.219409978546,10,0.9983261189572682,5.307860784268408,13.815677829909616,13.815766798391163,2.994340947340766e-07,1.2437510669002037e-08,1.243725587987843e-08,2.547891236067164e-13,1.1173483420434025,1.1074257813279729,1.012726870048902,0.1821000920746144,0.9974622265437453,3.8673811124038603e-13,3.3074297714554e-05,45,5,45.59213005261224
calibration,1,2,0,0,30.0,tp_uic_full,tp_uic_full,0.09182232407346164,33.101790896692556,1,3,437.429171953529,477.4220983593757,10,0.9992224966197069,106.51913126896915,16.596714671628334,16.59673013891112,1.2820361097555546e-06,2.806911956708492e-08,2.806901959983808e-08,9.996724684278005e-14,1.0001342350331635,1.0001780712743145,0.9997711115955341,0.7315036139631012,0.656724138926163,4.059515140573724e-12,0.0001414814067140319,45,5,51.32636333699008
calibration,1,2,0,1,30.0,tp_uic_full,tp_uic_full,0.15699563933324706,33.02077097007101,1,3,36.49332041941258,68.57295609333964,10,0.9992249333671913,106.51550980661744,16.08798287242331,16.087997266813232,1.2583407616461163e-06,3.097419140628256e-08,3.097408874463974e-08,1.0266164282222447e-13,1.0002556827258806,0.9996503401924691,0.9997506266231717,0.5079128792197362,0.6572262778228402,4.0605533914265674e-12,0.00012852386914463483,45,5,51.72571081206591
calibration,1,4,0,0,30.0,tp_uic_full,tp_uic_full,0.5591224855208561,30.125407465265567,1,3,2096.7517470501725,2143.2069894926663,10,0.9943344277078944,11.041577564027085,13.72542508387614,13.725458735449866,6.460437279366424e-07,2.7398034369523317e-08,2.7397822074999676e-08,2.1229452364222302e-13,1.010545903574472,1.008467972506895,0.9973813543458168,0.6182554718768981,0.9849511250604923,7.003546031328207e-13,2.525327600405288e-05,45,5,50.72187044867065
calibration,1,4,0,1,30.0,tp_uic_full,tp_uic_full,0.6763304696456223,28.862721350799454,1,3,686.8424849186201,707.0261284494568,10,0.9933135754698514,10.293022138798241,13.527856573906078,13.527894816522945,4.830513532194083e-07,2.1439154089475777e-08,2.1438965303806124e-08,1.8878566965309e-13,1.021761478620035,1.0199763637608747,0.993099200219374,0.3676175922315939,0.9852188840121225,6.746019005077889e-13,3.123615311304323e-05,45,5,49.30421795333964
calibration,2,0,0,0,30.0,tp_uic_full,tp_uic_full,0.0009388346971243606,25.844706683225,1,3,4.58169190969084,7.692293248267166,10,0.9893049377201036,0.14896031742714103,10.396388762340187,10.396398562426166,2.4109701659390465e-07,2.200660053004688e-08,2.2006550871038306e-08,4.9659008573162745e-14,0.9999799111139701,1.0004613779327358,0.9999967122183979,0.9999774011309555,0.9925831852406395,8.329264944653311e-15,3.679863698094674e-07,45,5,50.58810620947181
calibration,2,0,0,1,30.0,tp_uic_full,tp_uic_full,0.0006549727224086145,25.913490331928465,1,3,8.33182025595652,5.103759135816756,10,0.9892981724970377,0.14895990753501165,12.2553049766845,12.255379018013965,2.449459150755908e-07,1.4572689232467889e-08,1.4572440789963528e-08,2.4844250436041114e-13,0.9999997417283182,1.0002936272121026,0.9999968305466668,0.9999783294653349,0.9966318111424046,3.717443054880102e-15,2.445630162057265e-07,45,5,48.79744853984387
calibration,2,2,0,0,30.0,tp_uic_full,tp_uic_full,0.0005852717136857403,26.024003967453197,1,3,5.419533696905323,4.081681443830949,10,0.9845159075696932,0.37376062863177223,12.523639174857284,12.523722272830751,2.512589640014273e-07,1.4052631153355042e-08,1.4052362272665182e-08,2.6888068986064584e-13,1.000006437590234,1.0059130177219817,0.9999941599733997,0.9997100051444942,0.9881116351995294,1.2924011055663126e-14,8.803707160249883e-07,45,5,48.41984936641448
calibration,2,2,0,1,30.0,tp_uic_full,tp_uic_full,0.0007694246770695917,24.417627811339976,1,3,6.523843445496992,9.235350604471357,10,0.9845116775908408,0.3737519501386359,11.86627358145051,11.866360818931646,1.735737111469514e-07,1.1294229047120375e-08,1.1294002180273384e-08,2.2686684699045957e-13,1.0000174998357287,0.9808122393835682,1.0000127116693962,0.9994679206207703,0.9866388837774261,1.162326478670438e-14,9.749690484465642e-07,45,5,47.178322345893385
calibration,2,4,0,0,30.0,tp_uic_full,tp_uic_full,0.0011990053957904292,36.80013558088733,1,3,6.816529291139605,11.120486659116594,10,0.9555170736964731,0.20304784992675454,14.927561689516896,14.927565993001402,3.0042407045241917e-06,9.66003182353595e-08,9.660022251280619e-08,9.572255331313764e-14,0.9999709876220056,1.000830260965743,0.9999803488623554,0.9999638575644614,0.9872350486870773,3.699093423025265e-15,3.804446365392598e-08,45,5,57.02214872366775
calibration,2,4,0,1,30.0,tp_uic_full,tp_uic_full,0.001211294255499207,36.87598026972808,1,3,4.536993821940804,2.0971839363148064,10,0.9555260317084172,0.20305271576624265,23.76791967090673,23.76801867617332,3.057167224851726e-06,1.2838882606996792e-08,1.283858992482844e-08,2.9268216835197074e-13,0.999992285804174,1.0000269281110858,0.9999720937899377,0.9999695323786689,0.9901693261553455,5.527792330423778e-15,4.104803881559249e-07,45,5,48.256441831458964
test,3,0,0,0,30.0,tp_uic_full,tp_uic_full,0.0057293626245976895,27.652479268372776,1,3,4.039506494075735,10.096401462318807,10,0.9793341329240114,0.43581999538958527,14.853919655544217,14.854101066772945,3.655687761668186e-07,1.1955758371857293e-08,1.1955258972576774e-08,4.993992805179245e-13,0.9999743315854518,0.8772314777578669,1.0005500744694007,0.9999936506405143,0.8858727752957197,1.5773284408465188e-14,1.2534658720834779e-06,45,5,46.03600155209258
test,3,0,0,1,30.0,tp_uic_full,tp_uic_full,0.006994585519547668,27.763934636935247,1,3,12.536523639384239,6.910429599481577,10,0.9798670639581545,0.43569656505631105,10.928302795352332,10.928337275831314,3.750719891427754e-07,3.0288959335994476e-08,3.028871886006778e-08,2.4047592669516396e-13,1.0011001613608075,0.9524251350059539,1.0009291715765594,0.9998831088956294,0.8845651829935165,1.6633446810355086e-14,5.386018652791759e-07,45,5,50.445694696104155
test,3,2,0,0,30.0,tp_uic_full,tp_uic_full,0.003371152238728499,27.107595487707457,1,3,29.289756050461445,28.183639267941132,10,0.9543971587930346,0.2417001713385347,11.131443185752985,11.1314737972669,3.2246361381725e-07,2.4850572492260593e-08,2.485039733208786e-08,1.7516017273190245e-13,0.9993843590856009,0.9621432179310637,0.9996763584387777,0.9993929051823184,0.9662756914404433,1.0121894711848446e-14,3.9703166799555145e-07,45,5,50.45779059400644
test,3,2,0,1,30.0,tp_uic_full,tp_uic_full,0.0033794010787037226,26.97932066434617,1,3,120.45907438300111,132.05121557962875,10,0.9541647990273857,0.2415543522804585,10.841977394161393,10.841992602901717,3.1307849282187e-07,2.5790246614422483e-08,2.5790156298636012e-08,9.031578647203963e-14,0.9996578482277204,0.9906092266905782,0.9997391359384237,0.999220278371824,0.9711231568290749,1.0417810690607864e-14,3.942117080462939e-07,45,5,50.39443993944684
test,3,4,0,0,30.0,tp_uic_full,tp_uic_full,0.019359857698936167,30.120024411962667,1,3,257.20969869918787,292.4001554093722,10,0.9970939757156406,0.6027143656137673,14.480210756391006,14.480268611131383,6.452434567906293e-07,2.299866003442812e-08,2.2998353658754916e-08,3.063756732066642e-13,0.9988635026169131,0.9644046498763751,0.9999990335392348,0.9962941672489112,0.9824017230042342,2.1765096501621457e-14,9.20175671143741e-07,45,5,50.543626148440744
test,3,4,0,1,30.0,tp_uic_full,tp_uic_full,0.033270600396814454,30.145873220200023,1,3,69.18709463846905,45.75481951328242,10,0.996217177864928,0.5978406977675534,11.660922443348126,11.660944889304696,6.490953381672913e-07,4.428088026491799e-08,4.42806514054256e-08,2.288594923891926e-13,0.997437656266003,0.9586766313859115,0.9984854494057495,0.9903116807761032,0.9833971130927679,2.302569525625262e-14,5.114104756555578e-07,45,5,53.4028739818164
test,4,0,0,0,30.0,tp_uic_full,tp_uic_full,0.010787509841143473,28.47988495920571,1,3,21.638264209183486,20.611261716415523,10,0.9996462111028535,0.364093619345883,12.009937948510235,12.009981999071243,4.4229259050114026e-07,2.784298984979366e-08,2.7842707439320126e-08,2.8241047353443687e-13,0.9998539741187275,2.0090808788749706,0.9996517115650889,0.9992022601208451,0.30989438038208467,2.1070508384855703e-14,7.399702911234203e-07,45,5,45.57719600187301
test,4,0,0,1,30.0,tp_uic_full,tp_uic_full,0.013421309496271128,27.883729166859826,1,3,3.9445364846528976,18.982559103425316,10,0.9996531830084782,0.3640014453143169,11.208878584369817,11.209047375576187,3.8556187597011546e-07,2.91881269335757e-08,2.918699254121665e-08,1.134392359049574e-12,0.9997117865579636,2.05750439785624,0.9997792107143911,0.9990601337301603,0.32298480617065645,2.143680345646678e-14,7.187678306522651e-07,45,5,46.46636954857005
test,4,2,0,0,30.0,tp_uic_full,tp_uic_full,0.058285994443432305,31.9913320276047,1,3,141.27414783711177,152.06620858259075,10,0.999237602088973,2.0037356896920766,12.355769649699868,12.35577567653219,9.92783088883219e-07,5.7713499090837526e-08,5.771341900017213e-08,8.009066539537585e-14,1.0008779384607887,0.998992286802478,0.9995100321441899,0.9966735953344575,0.48085420742503937,9.439757168200792e-14,1.6194476781127082e-06,45,5,54.759135745684475
test,4,2,0,1,30.0,tp_uic_full,tp_uic_full,0.05714329121989026,32.003391323132945,1,3,191.06084607824008,186.7794099639058,10,0.9991616868436443,2.0053006448254087,8.168508583912283,8.168515465822688,9.955436356055433e-07,1.5177821533423148e-07,1.517779748238646e-07,2.4051036688157203e-13,0.9992965141244128,0.9996534764245594,0.9997144723271183,0.9966688690466597,0.4500777988573095,5.934982316453909e-14,3.8914558326162686e-07,45,5,58.961104600431625
test,4,4,0,0,30.0,tp_uic_full,tp_uic_full,0.009230329651200242,28.969961956062757,1,3,8.927760005568375,18.04445020333705,10,0.9997626927796397,2.6561656991862366,10.726304773145642,10.726338597398472,4.951278595176847e-07,4.1887735862950155e-08,4.188740962904435e-08,3.262339058008167e-13,1.0003036763849449,0.997441532848788,0.999826759837872,0.9978928193365385,0.08828453225229665,1.0202254287060072e-13,2.4003901182258138e-06,45,5,53.36547030426607
test,4,4,0,1,30.0,tp_uic_full,tp_uic_full,0.007252982497908669,29.69466199923439,1,3,162.56662813275193,160.62721621381948,10,0.9997640309304812,2.657598823011779,11.660654032853765,11.660670543352001,5.850424349050435e-07,3.9913697784051265e-08,3.991354604512488e-08,1.5173892638332076e-13,1.0002767781030664,0.9971276627534481,0.999787025192135,0.9988167611492325,0.09909289128830806,1.0108761535361824e-13,2.494134670326463e-06,45,5,53.15413811083439
