stage,round,links,utility,D_sum,area_m,rcs_m2,trial,model,tag
coarse,1,1,-6.472232894171622,155.06977274199997,400.0,0.05,0,orthogonal,central
coarse,2,2,-5.879460254462224,192.2767919018134,400.0,0.05,0,orthogonal,central
coarse,3,3,-5.296177990543266,200.35706345377463,400.0,0.05,0,orthogonal,central
coarse,4,4,-4.837956480386779,202.3064870739692,400.0,0.05,0,orthogonal,central
coarse,5,5,-4.481868571265249,203.04074935126778,400.0,0.05,0,orthogonal,central
coarse,6,6,-4.28053767167353,203.13927881361946,400.0,0.05,0,orthogonal,central
coarse,7,7,-4.147364176554958,203.14623427745835,400.0,0.05,0,orthogonal,central
coarse,8,8,-4.012082389331063,203.14770294340707,400.0,0.05,0,orthogonal,central
coarse,9,9,-3.8687874154684527,203.14819410005958,400.0,0.05,0,orthogonal,central
coarse,10,10,-3.7244633607649082,203.14960736668638,400.0,0.05,0,orthogonal,central
coarse,11,11,-3.6283718013141986,205.10005640017482,400.0,0.05,0,orthogonal,central
coarse,12,12,-3.5481896926087955,205.64976682586092,400.0,0.05,0,orthogonal,central
coarse,13,13,-3.5114338485732364,205.70461811610545,400.0,0.05,0,orthogonal,central
coarse,14,14,-3.4704564909494486,207.45023844227006,400.0,0.05,0,orthogonal,central
coarse,15,15,-3.4456735725633494,207.497905419179,400.0,0.05,0,orthogonal,central
coarse,16,16,-3.4230747533892147,212.97542162967602,400.0,0.05,0,orthogonal,central
coarse,17,17,-3.4009096528734055,212.9815510707432,400.0,0.05,0,orthogonal,central
coarse,18,18,-3.385824214810338,213.11417996548334,400.0,0.05,0,orthogonal,central
coarse,19,19,-3.370912008341481,214.19999372606236,400.0,0.05,0,orthogonal,central
coarse,20,20,-3.3570958030995017,214.33131630903875,400.0,0.05,0,orthogonal,central
coarse,21,21,-3.3380376587440472,214.37358232620522,400.0,0.05,0,orthogonal,central
coarse,22,22,-3.324964380564421,214.37910385900005,400.0,0.05,0,orthogonal,central
coarse,23,23,-3.3147778979257354,214.40378669734878,400.0,0.05,0,orthogonal,central
coarse,24,24,-3.305381873291733,214.49840534105135,400.0,0.05,0,orthogonal,central
coarse,25,25,-3.296048508640437,214.49877303933127,400.0,0.05,0,orthogonal,central
coarse,26,26,-3.28706882640148,215.51330074575608,400.0,0.05,0,orthogonal,central
coarse,27,27,-3.278231651497524,215.51422825424427,400.0,0.05,0,orthogonal,central
coarse,28,28,-3.2694767640371345,215.51874339821936,400.0,0.05,0,orthogonal,central
coarse,29,29,-3.2608154708675676,215.61016165236728,400.0,0.05,0,orthogonal,central
coarse,30,30,-3.2525227480750396,215.63119886400918,400.0,0.05,0,orthogonal,central
coarse,31,31,-3.2460260183983145,215.63156383149038,400.0,0.05,0,orthogonal,central
coarse,32,32,-3.239728052490903,215.63523994725068,400.0,0.05,0,orthogonal,central
coarse,33,33,-3.234370420012353,216.56595715120653,400.0,0.05,0,orthogonal,central
coarse,34,34,-3.2295309793728784,216.5663168274587,400.0,0.05,0,orthogonal,central
coarse,35,35,-3.2247706306532127,216.56683382712413,400.0,0.05,0,orthogonal,central
coarse,36,36,-3.2200693554538433,216.5670794648833,400.0,0.05,0,orthogonal,central
coarse,37,37,-3.215874372182732,216.56968507700583,400.0,0.05,0,orthogonal,central
coarse,38,38,-3.2120306943733694,216.57001432375972,400.0,0.05,0,orthogonal,central
coarse,39,39,-3.2083765743438337,216.5704985167443,400.0,0.05,0,orthogonal,central
coarse,40,40,-3.204894338447774,216.57089166700933,400.0,0.05,0,orthogonal,central
coarse,41,41,-3.201510195654548,216.57160089625387,400.0,0.05,0,orthogonal,central
coarse,42,42,-3.1974455124998014,216.5726682964542,400.0,0.05,0,orthogonal,central
coarse,43,43,-3.1948642862151684,220.24444993559183,400.0,0.05,0,orthogonal,central
coarse,44,44,-3.1923715082986375,220.24480416996062,400.0,0.05,0,orthogonal,central
coarse,45,45,-3.189958732501405,220.2449907381145,400.0,0.05,0,orthogonal,central
coarse,46,46,-3.187940649843446,220.2451637415471,400.0,0.05,0,orthogonal,central
coarse,47,47,-3.1860205204634084,220.24545698887036,400.0,0.05,0,orthogonal,central
coarse,48,48,-3.185925471137154,220.7159017431426,400.0,0.05,0,orthogonal,central
coarse,49,49,-3.1858763453976273,221.11000943253893,400.0,0.05,0,orthogonal,central
coarse,50,50,-3.18585493641936,221.4047853325495,400.0,0.05,0,orthogonal,central
coarse,1,1,-6.472232894171622,155.06977274199997,400.0,0.05,0,orthogonal,distributed
coarse,2,2,-5.879460254462224,192.2767919018134,400.0,0.05,0,orthogonal,distributed
coarse,3,3,-5.296177990543266,200.35706345377463,400.0,0.05,0,orthogonal,distributed
coarse,4,4,-4.837956480386779,202.3064870739692,400.0,0.05,0,orthogonal,distributed
coarse,5,5,-4.481868571265249,203.04074935126778,400.0,0.05,0,orthogonal,distributed
coarse,6,6,-4.28053767167353,203.13927881361946,400.0,0.05,0,orthogonal,distributed
coarse,7,7,-4.147364176554958,203.14623427745835,400.0,0.05,0,orthogonal,distributed
coarse,8,8,-4.012082389331063,203.14770294340707,400.0,0.05,0,orthogonal,distributed
coarse,9,9,-3.8687874154684527,203.14819410005958,400.0,0.05,0,orthogonal,distributed
coarse,10,10,-3.7244633607649082,203.14960736668638,400.0,0.05,0,orthogonal,distributed
coarse,11,11,-3.6283718013141986,205.10005640017482,400.0,0.05,0,orthogonal,distributed
coarse,12,12,-3.5481896926087955,205.64976682586092,400.0,0.05,0,orthogonal,distributed
coarse,13,13,-3.5114338485732364,205.70461811610545,400.0,0.05,0,orthogonal,distributed
coarse,14,14,-3.4704564909494486,207.45023844227006,400.0,0.05,0,orthogonal,distributed
coarse,15,15,-3.4456735725633494,207.497905419179,400.0,0.05,0,orthogonal,distributed
coarse,16,16,-3.4230747533892147,212.97542162967602,400.0,0.05,0,orthogonal,distributed
coarse,17,17,-3.4009096528734055,212.9815510707432,400.0,0.05,0,orthogonal,distributed
coarse,18,18,-3.385824214810338,213.11417996548334,400.0,0.05,0,orthogonal,distributed
coarse,19,19,-3.370912008341481,214.19999372606236,400.0,0.05,0,orthogonal,distributed
coarse,20,20,-3.3570958030995017,214.33131630903875,400.0,0.05,0,orthogonal,distributed
coarse,21,21,-3.3380376587440472,214.37358232620522,400.0,0.05,0,orthogonal,distributed
coarse,22,22,-3.324964380564421,214.37910385900005,400.0,0.05,0,orthogonal,distributed
coarse,23,23,-3.3147778979257354,214.40378669734878,400.0,0.05,0,orthogonal,distributed
coarse,24,24,-3.305381873291733,214.49840534105135,400.0,0.05,0,orthogonal,distributed
coarse,25,25,-3.296048508640437,214.49877303933127,400.0,0.05,0,orthogonal,distributed
coarse,26,26,-3.28706882640148,215.51330074575608,400.0,0.05,0,orthogonal,distributed
coarse,27,27,-3.278231651497524,215.51422825424427,400.0,0.05,0,orthogonal,distributed
coarse,28,28,-3.2694767640371345,215.51874339821936,400.0,0.05,0,orthogonal,distributed
coarse,29,29,-3.2608154708675676,215.61016165236728,400.0,0.05,0,orthogonal,distributed
coarse,30,30,-3.2525227480750396,215.63119886400918,400.0,0.05,0,orthogonal,distributed
coarse,31,31,-3.2460260183983145,215.63156383149038,400.0,0.05,0,orthogonal,distributed
coarse,32,32,-3.239728052490903,215.63523994725068,400.0,0.05,0,orthogonal,distributed
coarse,33,33,-3.234370420012353,216.56595715120653,400.0,0.05,0,orthogonal,distributed
coarse,34,34,-3.2295309793728784,216.5663168274587,400.0,0.05,0,orthogonal,distributed
coarse,35,35,-3.2247706306532127,216.56683382712413,400.0,0.05,0,orthogonal,distributed
coarse,36,36,-3.2200693554538433,216.5670794648833,400.0,0.05,0,orthogonal,distributed
coarse,37,37,-3.215874372182732,216.56968507700583,400.0,0.05,0,orthogonal,distributed
coarse,38,38,-3.2120306943733694,216.57001432375972,400.0,0.05,0,orthogonal,distributed
coarse,39,39,-3.2083765743438337,216.5704985167443,400.0,0.05,0,orthogonal,distributed
coarse,40,40,-3.204894338447774,216.57089166700933,400.0,0.05,0,orthogonal,distributed
coarse,41,41,-3.201510195654548,216.57160089625387,400.0,0.05,0,orthogonal,distributed
coarse,42,42,-3.1974455124998014,216.5726682964542,400.0,0.05,0,orthogonal,distributed
coarse,43,43,-3.1948642862151684,220.24444993559183,400.0,0.05,0,orthogonal,distributed
coarse,44,44,-3.1923715082986375,220.24480416996062,400.0,0.05,0,orthogonal,distributed
coarse,45,45,-3.189958732501405,220.2449907381145,400.0,0.05,0,orthogonal,distributed
coarse,46,46,-3.187940649843446,220.2451637415471,400.0,0.05,0,orthogonal,distributed
coarse,47,47,-3.1860205204634084,220.24545698887036,400.0,0.05,0,orthogonal,distributed
coarse,48,48,-3.185925471137154,220.7159017431426,400.0,0.05,0,orthogonal,distributed
coarse,49,49,-3.1858763453976273,221.11000943253893,400.0,0.05,0,orthogonal,distributed
coarse,50,50,-3.18585493641936,221.4047853325495,400.0,0.05,0,orthogonal,distributed
coarse,1,1,-6.472232894171622,155.06977274199997,400.0,0.05,0,active_set,central
coarse,2,2,-5.879460254462224,192.2767919018134,400.0,0.05,0,active_set,central
coarse,3,3,-5.296177990543266,200.35706345377463,400.0,0.05,0,active_set,central
coarse,4,4,-4.837956480386779,202.3064870739692,400.0,0.05,0,active_set,central
coarse,5,5,-4.481868571265249,203.04074935126778,400.0,0.05,0,active_set,central
coarse,6,6,-4.28053767167353,203.13927881361946,400.0,0.05,0,active_set,central
coarse,7,7,-4.147364176554958,203.14623427745835,400.0,0.05,0,active_set,central
coarse,8,8,-4.012082389331063,203.14770294340707,400.0,0.05,0,active_set,central
coarse,9,9,-3.8687874154684527,203.14819410005958,400.0,0.05,0,active_set,central
coarse,10,10,-3.7244633607649082,203.14960736668638,400.0,0.05,0,active_set,central
coarse,11,11,-3.6283718013141986,205.10005640017482,400.0,0.05,0,active_set,central
coarse,12,12,-3.5481896926087955,205.64976682586092,400.0,0.05,0,active_set,central
coarse,13,13,-3.5114338485732364,205.70461811610545,400.0,0.05,0,active_set,central
coarse,14,14,-3.4704564909494486,207.45023844227006,400.0,0.05,0,active_set,central
coarse,15,15,-3.4456735725633494,207.497905419179,400.0,0.05,0,active_set,central
coarse,16,16,-3.4230747533892147,212.97542162967602,400.0,0.05,0,active_set,central
coarse,17,17,-3.4009096528734055,212.9815510707432,400.0,0.05,0,active_set,central
coarse,18,18,-3.385824214810338,213.11417996548334,400.0,0.05,0,active_set,central
coarse,19,19,-3.370912008341481,214.19999372606236,400.0,0.05,0,active_set,central
coarse,20,20,-3.3570958030995017,214.33131630903875,400.0,0.05,0,active_set,central
coarse,21,21,-3.3380376587440472,214.37358232620522,400.0,0.05,0,active_set,central
coarse,22,22,-3.324964380564421,214.37910385900005,400.0,0.05,0,active_set,central
coarse,23,23,-3.3147778979257354,214.40378669734878,400.0,0.05,0,active_set,central
coarse,24,24,-3.305381873291733,214.49840534105135,400.0,0.05,0,active_set,central
coarse,25,25,-3.296048508640437,214.49877303933127,400.0,0.05,0,active_set,central
coarse,26,26,-3.28706882640148,215.51330074575608,400.0,0.05,0,active_set,central
coarse,27,27,-3.278231651497524,215.51422825424427,400.0,0.05,0,active_set,central
coarse,28,28,-3.2694767640371345,215.51874339821936,400.0,0.05,0,active_set,central
coarse,29,29,-3.2608154708675676,215.61016165236728,400.0,0.05,0,active_set,central
coarse,30,30,-3.2525227480750396,215.63119886400918,400.0,0.05,0,active_set,central
coarse,31,31,-3.2460260183983145,215.63156383149038,400.0,0.05,0,active_set,central
coarse,32,32,-3.239728052490903,215.63523994725068,400.0,0.05,0,active_set,central
coarse,33,33,-3.234370420012353,216.56595715120653,400.0,0.05,0,active_set,central
coarse,34,34,-3.2295309793728784,216.5663168274587,400.0,0.05,0,active_set,central
coarse,35,35,-3.2247706306532127,216.56683382712413,400.0,0.05,0,active_set,central
coarse,36,36,-3.2200693554538433,216.5670794648833,400.0,0.05,0,active_set,central
coarse,37,37,-3.215874372182732,216.56968507700583,400.0,0.05,0,active_set,central
coarse,38,38,-3.2120306943733694,216.57001432375972,400.0,0.05,0,active_set,central
coarse,39,39,-3.2083765743438337,216.5704985167443,400.0,0.05,0,active_set,central
coarse,40,40,-3.204894338447774,216.57089166700933,400.0,0.05,0,active_set,central
coarse,41,41,-3.201510195654548,216.57160089625387,400.0,0.05,0,active_set,central
coarse,42,42,-3.1974455124998014,216.5726682964542,400.0,0.05,0,active_set,central
coarse,43,43,-3.1948642862151684,220.24444993559183,400.0,0.05,0,active_set,central
coarse,44,44,-3.1923715082986375,220.24480416996062,400.0,0.05,0,active_set,central
coarse,45,45,-3.189958732501405,220.2449907381145,400.0,0.05,0,active_set,central
coarse,46,46,-3.187940649843446,220.2451637415471,400.0,0.05,0,active_set,central
coarse,47,47,-3.1860205204634084,220.24545698887036,400.0,0.05,0,active_set,central
coarse,48,48,-3.185925471137154,220.7159017431426,400.0,0.05,0,active_set,central
coarse,49,49,-3.1858763453976273,221.11000943253893,400.0,0.05,0,active_set,central
coarse,50,50,-3.18585493641936,221.4047853325495,400.0,0.05,0,active_set,central
coarse,1,1,-6.472232894171622,155.06977274199997,400.0,0.05,0,active_set,distributed
coarse,2,2,-5.879460254462224,192.2767919018134,400.0,0.05,0,active_set,distributed
coarse,3,3,-5.296177990543266,200.35706345377463,400.0,0.05,0,active_set,distributed
coarse,4,4,-4.837956480386779,202.3064870739692,400.0,0.05,0,active_set,distributed
coarse,5,5,-4.481868571265249,203.04074935126778,400.0,0.05,0,active_set,distributed
coarse,6,6,-4.28053767167353,203.13927881361946,400.0,0.05,0,active_set,distributed
coarse,7,7,-4.147364176554958,203.14623427745835,400.0,0.05,0,active_set,distributed
coarse,8,8,-4.012082389331063,203.14770294340707,400.0,0.05,0,active_set,distributed
coarse,9,9,-3.8687874154684527,203.14819410005958,400.0,0.05,0,active_set,distributed
coarse,10,10,-3.7244633607649082,203.14960736668638,400.0,0.05,0,active_set,distributed
coarse,11,11,-3.6283718013141986,205.10005640017482,400.0,0.05,0,active_set,distributed
coarse,12,12,-3.5481896926087955,205.64976682586092,400.0,0.05,0,active_set,distributed
coarse,13,13,-3.5114338485732364,205.70461811610545,400.0,0.05,0,active_set,distributed
coarse,14,14,-3.4704564909494486,207.45023844227006,400.0,0.05,0,active_set,distributed
coarse,15,15,-3.4456735725633494,207.497905419179,400.0,0.05,0,active_set,distributed
coarse,16,16,-3.4230747533892147,212.97542162967602,400.0,0.05,0,active_set,distributed
coarse,17,17,-3.4009096528734055,212.9815510707432,400.0,0.05,0,active_set,distributed
coarse,18,18,-3.385824214810338,213.11417996548334,400.0,0.05,0,active_set,distributed
coarse,19,19,-3.370912008341481,214.19999372606236,400.0,0.05,0,active_set,distributed
coarse,20,20,-3.3570958030995017,214.33131630903875,400.0,0.05,0,active_set,distributed
coarse,21,21,-3.3380376587440472,214.37358232620522,400.0,0.05,0,active_set,distributed
coarse,22,22,-3.324964380564421,214.37910385900005,400.0,0.05,0,active_set,distributed
coarse,23,23,-3.3147778979257354,214.40378669734878,400.0,0.05,0,active_set,distributed
coarse,24,24,-3.305381873291733,214.49840534105135,400.0,0.05,0,active_set,distributed
coarse,25,25,-3.296048508640437,214.49877303933127,400.0,0.05,0,active_set,distributed
coarse,26,26,-3.28706882640148,215.51330074575608,400.0,0.05,0,active_set,distributed
coarse,27,27,-3.278231651497524,215.51422825424427,400.0,0.05,0,active_set,distributed
coarse,28,28,-3.2694767640371345,215.51874339821936,400.0,0.05,0,active_set,distributed
coarse,29,29,-3.2608154708675676,215.61016165236728,400.0,0.05,0,active_set,distributed
coarse,30,30,-3.2525227480750396,215.63119886400918,400.0,0.05,0,active_set,distributed
coarse,31,31,-3.2460260183983145,215.63156383149038,400.0,0.05,0,active_set,distributed
coarse,32,32,-3.239728052490903,215.63523994725068,400.0,0.05,0,active_set,distributed
coarse,33,33,-3.234370420012353,216.56595715120653,400.0,0.05,0,active_set,distributed
coarse,34,34,-3.2295309793728784,216.5663168274587,400.0,0.05,0,active_set,distributed
coarse,35,35,-3.2247706306532127,216.56683382712413,400.0,0.05,0,active_set,distributed
coarse,36,36,-3.2200693554538433,216.5670794648833,400.0,0.05,0,active_set,distributed
coarse,37,37,-3.215874372182732,216.56968507700583,400.0,0.05,0,active_set,distributed
coarse,38,38,-3.2120306943733694,216.57001432375972,400.0,0.05,0,active_set,distributed
coarse,39,39,-3.2083765743438337,216.5704985167443,400.0,0.05,0,active_set,distributed
coarse,40,40,-3.204894338447774,216.57089166700933,400.0,0.05,0,active_set,distributed
coarse,41,41,-3.201510195654548,216.57160089625387,400.0,0.05,0,active_set,distributed
coarse,42,42,-3.1974455124998014,216.5726682964542,400.0,0.05,0,active_set,distributed
coarse,43,43,-3.1948642862151684,220.24444993559183,400.0,0.05,0,active_set,distributed
coarse,44,44,-3.1923715082986375,220.24480416996062,400.0,0.05,0,active_set,distributed
coarse,45,45,-3.189958732501405,220.2449907381145,400.0,0.05,0,active_set,distributed
coarse,46,46,-3.187940649843446,220.2451637415471,400.0,0.05,0,active_set,distributed
coarse,47,47,-3.1860205204634084,220.24545698887036,400.0,0.05,0,active_set,distributed
coarse,48,48,-3.185925471137154,220.7159017431426,400.0,0.05,0,active_set,distributed
coarse,49,49,-3.1858763453976273,221.11000943253893,400.0,0.05,0,active_set,distributed
coarse,50,50,-3.18585493641936,221.4047853325495,400.0,0.05,0,active_set,distributed
coarse,1,1,-6.472232894171622,155.06977274199997,400.0,0.05,0,full_concurrent,central
coarse,2,2,-5.879460254462224,192.2767919018134,400.0,0.05,0,full_concurrent,central
coarse,3,3,-5.296177990543266,200.35706345377463,400.0,0.05,0,full_concurrent,central
coarse,4,4,-4.837956480386779,202.3064870739692,400.0,0.05,0,full_concurrent,central
coarse,5,5,-4.481868571265249,203.04074935126778,400.0,0.05,0,full_concurrent,central
coarse,6,6,-4.28053767167353,203.13927881361946,400.0,0.05,0,full_concurrent,central
coarse,7,7,-4.147364176554958,203.14623427745835,400.0,0.05,0,full_concurrent,central
coarse,8,8,-4.012082389331063,203.14770294340707,400.0,0.05,0,full_concurrent,central
coarse,9,9,-3.8687874154684527,203.14819410005958,400.0,0.05,0,full_concurrent,central
coarse,10,10,-3.7244633607649082,203.14960736668638,400.0,0.05,0,full_concurrent,central
coarse,11,11,-3.6283718013141986,205.10005640017482,400.0,0.05,0,full_concurrent,central
coarse,12,12,-3.5481896926087955,205.64976682586092,400.0,0.05,0,full_concurrent,central
coarse,13,13,-3.5114338485732364,205.70461811610545,400.0,0.05,0,full_concurrent,central
coarse,14,14,-3.4704564909494486,207.45023844227006,400.0,0.05,0,full_concurrent,central
coarse,15,15,-3.4456735725633494,207.497905419179,400.0,0.05,0,full_concurrent,central
coarse,16,16,-3.4230747533892147,212.97542162967602,400.0,0.05,0,full_concurrent,central
coarse,17,17,-3.4009096528734055,212.9815510707432,400.0,0.05,0,full_concurrent,central
coarse,18,18,-3.385824214810338,213.11417996548334,400.0,0.05,0,full_concurrent,central
coarse,19,19,-3.370912008341481,214.19999372606236,400.0,0.05,0,full_concurrent,central
coarse,20,20,-3.3570958030995017,214.33131630903875,400.0,0.05,0,full_concurrent,central
coarse,21,21,-3.3380376587440472,214.37358232620522,400.0,0.05,0,full_concurrent,central
coarse,22,22,-3.324964380564421,214.37910385900005,400.0,0.05,0,full_concurrent,central
coarse,23,23,-3.3147778979257354,214.40378669734878,400.0,0.05,0,full_concurrent,central
coarse,24,24,-3.305381873291733,214.49840534105135,400.0,0.05,0,full_concurrent,central
coarse,25,25,-3.296048508640437,214.49877303933127,400.0,0.05,0,full_concurrent,central
coarse,26,26,-3.28706882640148,215.51330074575608,400.0,0.05,0,full_concurrent,central
coarse,27,27,-3.278231651497524,215.51422825424427,400.0,0.05,0,full_concurrent,central
coarse,28,28,-3.2694767640371345,215.51874339821936,400.0,0.05,0,full_concurrent,central
coarse,29,29,-3.2608154708675676,215.61016165236728,400.0,0.05,0,full_concurrent,central
coarse,30,30,-3.2525227480750396,215.63119886400918,400.0,0.05,0,full_concurrent,central
coarse,31,31,-3.2460260183983145,215.63156383149038,400.0,0.05,0,full_concurrent,central
coarse,32,32,-3.239728052490903,215.63523994725068,400.0,0.05,0,full_concurrent,central
coarse,33,33,-3.234370420012353,216.56595715120653,400.0,0.05,0,full_concurrent,central
coarse,34,34,-3.2295309793728784,216.5663168274587,400.0,0.05,0,full_concurrent,central
coarse,35,35,-3.2247706306532127,216.56683382712413,400.0,0.05,0,full_concurrent,central
coarse,36,36,-3.2200693554538433,216.5670794648833,400.0,0.05,0,full_concurrent,central
coarse,37,37,-3.215874372182732,216.56968507700583,400.0,0.05,0,full_concurrent,central
coarse,38,38,-3.2120306943733694,216.57001432375972,400.0,0.05,0,full_concurrent,central
coarse,39,39,-3.2083765743438337,216.5704985167443,400.0,0.05,0,full_concurrent,central
coarse,40,40,-3.204894338447774,216.57089166700933,400.0,0.05,0,full_concurrent,central
coarse,41,41,-3.201510195654548,216.57160089625387,400.0,0.05,0,full_concurrent,central
coarse,42,42,-3.1974455124998014,216.5726682964542,400.0,0.05,0,full_concurrent,central
coarse,43,43,-3.1948642862151684,220.24444993559183,400.0,0.05,0,full_concurrent,central
coarse,44,44,-3.1923715082986375,220.24480416996062,400.0,0.05,0,full_concurrent,central
coarse,45,45,-3.189958732501405,220.2449907381145,400.0,0.05,0,full_concurrent,central
coarse,46,46,-3.187940649843446,220.2451637415471,400.0,0.05,0,full_concurrent,central
coarse,47,47,-3.1860205204634084,220.24545698887036,400.0,0.05,0,full_concurrent,central
coarse,48,48,-3.185925471137154,220.7159017431426,400.0,0.05,0,full_concurrent,central
coarse,49,49,-3.1858763453976273,221.11000943253893,400.0,0.05,0,full_concurrent,central
coarse,50,50,-3.18585493641936,221.4047853325495,400.0,0.05,0,full_concurrent,central
coarse,1,1,-6.472232894171622,155.06977274199997,400.0,0.05,0,full_concurrent,distributed
coarse,2,2,-5.879460254462224,192.2767919018134,400.0,0.05,0,full_concurrent,distributed
coarse,3,3,-5.296177990543266,200.35706345377463,400.0,0.05,0,full_concurrent,distributed
coarse,4,4,-4.837956480386779,202.3064870739692,400.0,0.05,0,full_concurrent,distributed
coarse,5,5,-4.481868571265249,203.04074935126778,400.0,0.05,0,full_concurrent,distributed
coarse,6,6,-4.28053767167353,203.13927881361946,400.0,0.05,0,full_concurrent,distributed
coarse,7,7,-4.147364176554958,203.14623427745835,400.0,0.05,0,full_concurrent,distributed
coarse,8,8,-4.012082389331063,203.14770294340707,400.0,0.05,0,full_concurrent,distributed
coarse,9,9,-3.8687874154684527,203.14819410005958,400.0,0.05,0,full_concurrent,distributed
coarse,10,10,-3.7244633607649082,203.14960736668638,400.0,0.05,0,full_concurrent,distributed
coarse,11,11,-3.6283718013141986,205.10005640017482,400.0,0.05,0,full_concurrent,distributed
coarse,12,12,-3.5481896926087955,205.64976682586092,400.0,0.05,0,full_concurrent,distributed
coarse,13,13,-3.5114338485732364,205.70461811610545,400.0,0.05,0,full_concurrent,distributed
coarse,14,14,-3.4704564909494486,207.45023844227006,400.0,0.05,0,full_concurrent,distributed
coarse,15,15,-3.4456735725633494,207.497905419179,400.0,0.05,0,full_concurrent,distributed
coarse,16,16,-3.4230747533892147,212.97542162967602,400.0,0.05,0,full_concurrent,distributed
coarse,17,17,-3.4009096528734055,212.9815510707432,400.0,0.05,0,full_concurrent,distributed
coarse,18,18,-3.385824214810338,213.11417996548334,400.0,0.05,0,full_concurrent,distributed
coarse,19,19,-3.370912008341481,214.19999372606236,400.0,0.05,0,full_concurrent,distributed
coarse,20,20,-3.3570958030995017,214.33131630903875,400.0,0.05,0,full_concurrent,distributed
coarse,21,21,-3.3380376587440472,214.37358232620522,400.0,0.05,0,full_concurrent,distributed
coarse,22,22,-3.324964380564421,214.37910385900005,400.0,0.05,0,full_concurrent,distributed
coarse,23,23,-3.3147778979257354,214.40378669734878,400.0,0.05,0,full_concurrent,distributed
coarse,24,24,-3.305381873291733,214.49840534105135,400.0,0.05,0,full_concurrent,distributed
coarse,25,25,-3.296048508640437,214.49877303933127,400.0,0.05,0,full_concurrent,distributed
coarse,26,26,-3.28706882640148,215.51330074575608,400.0,0.05,0,full_concurrent,distributed
coarse,27,27,-3.278231651497524,215.51422825424427,400.0,0.05,0,full_concurrent,distributed
coarse,28,28,-3.2694767640371345,215.51874339821936,400.0,0.05,0,full_concurrent,distributed
coarse,29,29,-3.2608154708675676,215.61016165236728,400.0,0.05,0,full_concurrent,distributed
coarse,30,30,-3.2525227480750396,215.63119886400918,400.0,0.05,0,full_concurrent,distributed
coarse,31,31,-3.2460260183983145,215.63156383149038,400.0,0.05,0,full_concurrent,distributed
coarse,32,32,-3.239728052490903,215.63523994725068,400.0,0.05,0,full_concurrent,distributed
coarse,33,33,-3.234370420012353,216.56595715120653,400.0,0.05,0,full_concurrent,distributed
coarse,34,34,-3.2295309793728784,216.5663168274587,400.0,0.05,0,full_concurrent,distributed
coarse,35,35,-3.2247706306532127,216.56683382712413,400.0,0.05,0,full_concurrent,distributed
coarse,36,36,-3.2200693554538433,216.5670794648833,400.0,0.05,0,full_concurrent,distributed
coarse,37,37,-3.215874372182732,216.56968507700583,400.0,0.05,0,full_concurrent,distributed
coarse,38,38,-3.2120306943733694,216.57001432375972,400.0,0.05,0,full_concurrent,distributed
coarse,39,39,-3.2083765743438337,216.5704985167443,400.0,0.05,0,full_concurrent,distributed
coarse,40,40,-3.204894338447774,216.57089166700933,400.0,0.05,0,full_concurrent,distributed
coarse,41,41,-3.201510195654548,216.57160089625387,400.0,0.05,0,full_concurrent,distributed
coarse,42,42,-3.1974455124998014,216.5726682964542,400.0,0.05,0,full_concurrent,distributed
coarse,43,43,-3.1948642862151684,220.24444993559183,400.0,0.05,0,full_concurrent,distributed
coarse,44,44,-3.1923715082986375,220.24480416996062,400.0,0.05,0,full_concurrent,distributed
coarse,45,45,-3.189958732501405,220.2449907381145,400.0,0.05,0,full_concurrent,distributed
coarse,46,46,-3.187940649843446,220.2451637415471,400.0,0.05,0,full_concurrent,distributed
coarse,47,47,-3.1860205204634084,220.24545698887036,400.0,0.05,0,full_concurrent,distributed
coarse,48,48,-3.185925471137154,220.7159017431426,400.0,0.05,0,full_concurrent,distributed
coarse,49,49,-3.1858763453976273,221.11000943253893,400.0,0.05,0,full_concurrent,distributed
coarse,50,50,-3.18585493641936,221.4047853325495,400.0,0.05,0,full_concurrent,distributed
coarse,1,1,-6.472232894171622,111.90029907570151,400.0,0.05,1,orthogonal,central
coarse,2,2,-5.897356584884646,121.31737199729842,400.0,0.05,1,orthogonal,central
coarse,3,3,-5.558734917128991,122.22112649168481,400.0,0.05,1,orthogonal,central
coarse,4,4,-5.341210687777975,122.44869234591928,400.0,0.05,1,orthogonal,central
coarse,5,5,-5.155344679201688,122.56571538112364,400.0,0.05,1,orthogonal,central
coarse,6,6,-4.993844025305702,122.62165943317629,400.0,0.05,1,orthogonal,central
coarse,7,7,-4.870462208779494,122.63001489658623,400.0,0.05,1,orthogonal,central
coarse,8,8,-4.741335067784722,122.63808972228946,400.0,0.05,1,orthogonal,central
coarse,9,9,-4.6206551003031455,122.63862071619165,400.0,0.05,1,orthogonal,central
coarse,10,10,-4.5019597517661865,122.63887534804631,400.0,0.05,1,orthogonal,central
coarse,11,11,-4.413334195448309,123.42673485828028,400.0,0.05,1,orthogonal,central
coarse,12,12,-4.342974815218428,123.6486323989967,400.0,0.05,1,orthogonal,central
coarse,13,13,-4.292723703236188,123.74886987808638,400.0,0.05,1,orthogonal,central
coarse,14,14,-4.25551151363605,123.90995257636172,400.0,0.05,1,orthogonal,central
coarse,15,15,-4.214865410841201,124.43030050178746,400.0,0.05,1,orthogonal,central
coarse,16,16,-4.1827057391396405,124.46822407894442,400.0,0.05,1,orthogonal,central
