trial,arm,n_nuisance_targets,rho_weighted,rho_min,ncp_unit,distance_bins
0,no_ic,0,1.0,1.0,2.412792278307326,0.0
0,no_ic,1,0.14953738942677625,0.00973863072310561,0.3608026585271613,1.0170520220967172
0,no_ic,2,0.009690622695804799,1.6084317627067226e-05,0.023381459612427543,1.307736935796778
0,no_ic,3,0.004135534391226933,9.750427545382812e-08,0.009978185445826734,2.027787155869282
0,no_ic,5,0.0014223742718030617,5.188976846442275e-09,0.0034318936598694335,3.0991987043072156
0,no_ic,9,2.9284072167963237e-06,8.523799133545448e-12,7.065638320425618e-06,3.4411209087624326
0,plain_ls,0,1.0,1.0,2.411935772858404,0.0
0,plain_ls,1,0.14942504045851698,0.009715337594417874,0.36040360044271147,1.0170520220967172
0,plain_ls,2,0.009670438430585106,1.6067301581945713e-05,0.0233244763899529,1.307736935796778
0,plain_ls,3,0.004133183105434678,9.73464774862891e-08,0.009968972187771888,2.027787155869282
0,plain_ls,5,0.0010726687250353008,3.3629920382592106e-09,0.002587208070339057,3.0991987043072156
0,plain_ls,9,1.4242118553409475e-06,4.698853867304626e-12,3.4351075220258696e-06,3.4411209087624326
0,tp_uic_full,0,1.0,1.0,2.412653756287156,0.0
0,tp_uic_full,1,0.15124162146888806,0.01022110838757626,0.364893666143873,1.0170520220967172
0,tp_uic_full,2,0.010104337756814413,1.62151219010888e-05,0.02437826844377243,1.307736935796778
0,tp_uic_full,3,0.004226191983609968,1.0155773046465088e-07,0.010196337964047255,2.027787155869282
0,tp_uic_full,5,0.0012462261512528356,4.177452286042891e-09,0.0030067122050034395,3.0991987043072156
0,tp_uic_full,9,2.229296355906879e-06,7.293593433116856e-12,5.378520226956001e-06,3.4411209087624326
0,perfect_channel,0,1.0,1.0,2.4429265908102664,0.0
0,perfect_channel,1,0.1536463396329924,0.010307203014555389,0.37534672867010244,1.0170520220967172
0,perfect_channel,2,0.01081789870550638,1.7138115658356828e-05,0.026427332404373494,1.307736935796778
0,perfect_channel,3,0.004369071469050291,1.0324489447357797e-07,0.01067332086889343,2.027787155869282
0,perfect_channel,5,0.0016909537831151112,7.05717188925513e-09,0.004130875960603121,3.0991987043072156
0,perfect_channel,9,3.514934150980706e-06,9.426109971467518e-12,8.586726102377875e-06,3.4411209087624326
1,no_ic,0,1.0,1.0,7.908908342898598,0.0
1,no_ic,1,0.5426538487260646,0.009278148297004804,4.291799551495606,1.7047514339985912
1,no_ic,2,0.2478404642355342,0.00021305372444705518,1.960147515300278,1.9425867627028524
1,no_ic,3,0.03521117770774477,1.4826505865220142e-05,0.2784819771360677,2.125602066813139
1,no_ic,5,0.0054423353170976255,4.802541762401279e-07,0.0430429311942451,3.1535590487297247
