direct_gain_boost_db,receiver,target,arm,scene_id,threshold,scene_pfa,scene_pd,scene_conflict_index,scene_direct_inr_db
30.0,0,1,perfect_channel,4,5.706017658040022,1.0,1.0,0.9137315111447607,28.046628360795467
30.0,0,1,perfect_channel,5,5.706017658040022,0.5,1.0,0.30547096016360936,32.52005487756432
30.0,0,1,perfect_channel,6,5.706017658040022,1.0,0.0,0.0019498118138304727,28.45617292198783
30.0,0,1,perfect_channel,7,5.706017658040022,0.5,1.0,0.3884620504932278,27.93622418497388
30.0,0,1,perfect_channel,8,5.706017658040022,0.5,0.0,0.07545811465687488,27.950095826552122
30.0,0,1,perfect_channel,9,5.706017658040022,0.0,0.5,0.002402077381931847,31.000303089436
30.0,0,1,perfect_channel,10,5.706017658040022,0.5,0.5,0.0025072720034490024,28.49847311971044
30.0,0,1,perfect_channel,11,5.706017658040022,0.0,0.5,0.01684408145851625,26.0186391626175
30.0,0,1,tp_uic_full,4,7119.688745843666,1.0,1.0,0.9137315111447607,28.046628360795467
30.0,0,1,tp_uic_full,5,7119.688745843666,0.0,0.0,0.30547096016360936,32.52005487756432
30.0,0,1,tp_uic_full,6,7119.688745843666,0.0,0.0,0.0019498118138304727,28.45617292198783
30.0,0,1,tp_uic_full,7,7119.688745843666,0.5,0.5,0.3884620504932278,27.93622418497388
30.0,0,1,tp_uic_full,8,7119.688745843666,0.0,0.0,0.07545811465687488,27.950095826552122
30.0,0,1,tp_uic_full,9,7119.688745843666,0.0,0.0,0.002402077381931847,31.000303089436
30.0,0,1,tp_uic_full,10,7119.688745843666,0.0,0.0,0.0025072720034490024,28.49847311971044
30.0,0,1,tp_uic_full,11,7119.688745843666,0.0,0.0,0.01684408145851625,26.0186391626175
