trial,method,detected,total_targets,detected_fraction,false_alarm,total_false,false_alarm_fraction,selected_observations,remote_reports,local_observations,overhead_bits,overhead_delay_ms,D_mean,D_median,belief_capture_rate,selector_score_evaluations,coordination_messages,bid_rounds,detection_runtime_ms,fusion_nodes,selected_links
0,proposed_c2f_adaptive_pd,8,10,0.8,9,300,0.03,12,1,11,640.0,1.0666666666666667,718.3067070601978,60.59453608305102,1.0,13561.0,13561.0,0.0,6.462200020905584,"6,0,6,1,10,6,11,6,8,0","0:2-6;1:2-0;2:0-6;3:8-1;4:0-10;5:7-6;6:9-11,11-9;7:10-6;8:1-8;9:13-0,2-0"
0,proposed_c2f_adaptive_pd_calibrated,8,10,0.8,10,300,0.03333333333333333,12,1,11,640.0,1.0666666666666667,718.3067070601978,60.59453608305102,1.0,13561.0,13561.0,0.0,16.630600031930953,"6,0,6,1,10,6,11,6,8,0","0:2-6;1:2-0;2:0-6;3:8-1;4:0-10;5:7-6;6:9-11,11-9;7:10-6;8:1-8;9:13-0,2-0"
1,proposed_c2f_adaptive_pd,10,10,1.0,20,300,0.06666666666666667,12,1,11,640.0,1.0666666666666667,7498.357407126345,113.4613569967139,1.0,17003.0,17003.0,0.0,7.037800038233399,"5,4,8,9,13,2,11,11,7,2","0:6-5;1:0-4;2:0-8;3:1-9;4:2-13;5:1-2;6:14-11,0-11;7:0-11,11-0;8:2-7;9:5-2"
1,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,20,300,0.06666666666666667,12,1,11,640.0,1.0666666666666667,7498.357407126345,113.4613569967139,1.0,17003.0,17003.0,0.0,15.326799999456853,"5,4,8,9,13,2,11,11,7,2","0:6-5;1:0-4;2:0-8;3:1-9;4:2-13;5:1-2;6:14-11,0-11;7:0-11,11-0;8:2-7;9:5-2"
2,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,16,1,15,640.0,1.0666666666666667,592.8141358333407,186.95337243021856,1.0,18564.0,18564.0,0.0,10.310099984053522,"8,10,10,12,6,11,0,10,8,14","0:4-8;1:8-10,11-10;2:4-10;3:4-12;4:0-6;5:6-11;6:1-0;7:14-10,10-14,8-10;8:10-8,4-8,9-8;9:8-14,12-14"
2,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,15,300,0.05,16,1,15,640.0,1.0666666666666667,592.8141358333407,186.95337243021856,1.0,18564.0,18564.0,0.0,14.71690001199022,"8,10,10,12,6,11,0,10,8,14","0:4-8;1:8-10,11-10;2:4-10;3:4-12;4:0-6;5:6-11;6:1-0;7:14-10,10-14,8-10;8:10-8,4-8,9-8;9:8-14,12-14"
3,proposed_c2f_adaptive_pd,8,10,0.8,12,300,0.04,15,3,12,1920.0,3.2,394.24530935541617,196.73205081222716,1.0,12505.0,12505.0,0.0,7.118700013961643,"12,11,6,6,12,3,9,4,13,5","0:2-12;1:2-11;2:0-6,0-12,2-6,0-5,4-6,6-5;3:2-6;4:1-12;5:1-3;6:0-9;7:7-4;8:3-13;9:2-5"
3,proposed_c2f_adaptive_pd_calibrated,8,10,0.8,13,300,0.043333333333333335,15,3,12,1920.0,3.2,394.24530935541617,196.73205081222716,1.0,12505.0,12505.0,0.0,16.24140003696084,"12,11,6,6,12,3,9,4,13,5","0:2-12;1:2-11;2:0-6,0-12,2-6,0-5,4-6,6-5;3:2-6;4:1-12;5:1-3;6:0-9;7:7-4;8:3-13;9:2-5"
4,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,12,0,12,0.0,0.0,292.27039181614646,117.92254676161673,1.0,13599.0,13599.0,0.0,7.056000002194196,"8,7,7,9,4,1,13,1,1,10","0:0-8;1:2-7;2:2-7;3:3-9,4-9;4:0-4;5:2-1;6:0-13;7:2-1;8:6-1,13-1;9:0-10"
4,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,13,300,0.043333333333333335,12,0,12,0.0,0.0,292.27039181614646,117.92254676161673,1.0,13599.0,13599.0,0.0,15.48290002392605,"8,7,7,9,4,1,13,1,1,10","0:0-8;1:2-7;2:2-7;3:3-9,4-9;4:0-4;5:2-1;6:0-13;7:2-1;8:6-1,13-1;9:0-10"
5,proposed_c2f_adaptive_pd,8,10,0.8,15,300,0.05,13,0,13,0.0,0.0,134.21824220579794,76.76715254521814,1.0,12851.0,12851.0,0.0,7.486300019081682,"7,4,13,11,6,9,6,4,4,10","0:6-7;1:5-4;2:4-13;3:7-11;4:7-6,14-6;5:13-9,11-9;6:14-6,11-6;7:10-4;8:3-4;9:4-10"
5,proposed_c2f_adaptive_pd_calibrated,8,10,0.8,15,300,0.05,13,0,13,0.0,0.0,134.21824220579794,76.76715254521814,1.0,12851.0,12851.0,0.0,19.068999972660094,"7,4,13,11,6,9,6,4,4,10","0:6-7;1:5-4;2:4-13;3:7-11;4:7-6,14-6;5:13-9,11-9;6:14-6,11-6;7:10-4;8:3-4;9:4-10"
6,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,15,2,13,1280.0,2.1333333333333333,857.7451291405275,850.1743793711842,1.0,13177.0,13177.0,0.0,7.454600010532886,"2,1,4,6,9,3,3,4,4,4","0:0-2;1:0-1;2:0-4;3:0-6;4:11-9;5:4-3;6:4-3;7:0-4;8:3-4;9:8-4,4-8,5-4,4-9,9-4,3-4"
6,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,15,300,0.05,15,2,13,1280.0,2.1333333333333333,857.7451291405275,850.1743793711842,1.0,13177.0,13177.0,0.0,17.287799972109497,"2,1,4,6,9,3,3,4,4,4","0:0-2;1:0-1;2:0-4;3:0-6;4:11-9;5:4-3;6:4-3;7:0-4;8:3-4;9:8-4,4-8,5-4,4-9,9-4,3-4"
7,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,14,2,12,1280.0,2.1333333333333333,151.04387087446352,101.55550427115901,1.0,16854.0,16854.0,0.0,5.20339998183772,"4,3,6,14,4,2,4,6,8,4","0:2-4;1:4-3,12-3;2:0-6;3:2-14;4:2-4;5:1-2;6:3-4,12-4,4-3,4-12;7:10-6;8:1-8;9:2-4"
7,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,16,300,0.05333333333333334,14,2,12,1280.0,2.1333333333333333,151.04387087446352,101.55550427115901,1.0,16854.0,16854.0,0.0,14.84269998036325,"4,3,6,14,4,2,4,6,8,4","0:2-4;1:4-3,12-3;2:0-6;3:2-14;4:2-4;5:1-2;6:3-4,12-4,4-3,4-12;7:10-6;8:1-8;9:2-4"
8,proposed_c2f_adaptive_pd,10,10,1.0,18,300,0.06,16,1,15,640.0,1.0666666666666667,561.436388272569,72.34798887482097,1.0,18286.0,18286.0,0.0,7.817799982149154,"3,1,2,14,2,4,14,3,9,5","0:2-3,3-11,11-3,1-3,8-3,12-3;1:0-1;2:3-2,1-2;3:0-14;4:3-2;5:0-4;6:0-14;7:0-3;8:2-9;9:0-5"
8,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,18,300,0.06,16,1,15,640.0,1.0666666666666667,561.436388272569,72.34798887482097,1.0,18286.0,18286.0,0.0,16.264499980024993,"3,1,2,14,2,4,14,3,9,5","0:2-3,3-11,11-3,1-3,8-3,12-3;1:0-1;2:3-2,1-2;3:0-14;4:3-2;5:0-4;6:0-14;7:0-3;8:2-9;9:0-5"
9,proposed_c2f_adaptive_pd,9,10,0.9,9,270,0.03333333333333333,10,0,10,0.0,0.0,719.0791514053013,154.385117687768,0.9,10407.0,10407.0,0.0,4.716199997346848,"14,6,6,1,14,11,10,13,0,8",0:7-14;1:1-6;2:0-6;3:3-1;4:0-14;5:3-11;6:0-10;7:1-13;8:2-0;9:2-8
9,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,9,270,0.03333333333333333,10,0,10,0.0,0.0,719.0791514053013,154.385117687768,0.9,10407.0,10407.0,0.0,8.148199995048344,"14,6,6,1,14,11,10,13,0,8",0:7-14;1:1-6;2:0-6;3:3-1;4:0-14;5:3-11;6:0-10;7:1-13;8:2-0;9:2-8
10,proposed_c2f_adaptive_pd,10,10,1.0,19,300,0.06333333333333334,16,1,15,640.0,1.0666666666666667,1345.1022484371056,50.2467187107535,1.0,12803.0,12803.0,0.0,6.030900054611266,"13,7,14,4,1,5,7,12,0,3","0:0-13;1:0-7;2:7-14,14-7,3-14,4-14,5-14,12-14;3:1-4;4:0-1;5:3-5;6:11-7;7:2-12;8:1-0;9:4-3,5-3"
10,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,19,300,0.06333333333333334,16,1,15,640.0,1.0666666666666667,1345.1022484371056,50.2467187107535,1.0,12803.0,12803.0,0.0,21.582100016530603,"13,7,14,4,1,5,7,12,0,3","0:0-13;1:0-7;2:7-14,14-7,3-14,4-14,5-14,12-14;3:1-4;4:0-1;5:3-5;6:11-7;7:2-12;8:1-0;9:4-3,5-3"
11,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,11,0,11,0.0,0.0,13538.383764652483,69.80060768848334,1.0,14491.0,14491.0,0.0,5.659600021317601,"6,7,4,3,7,2,4,8,14,4","0:0-6;1:1-7;2:1-4;3:0-3;4:1-7;5:1-2;6:8-4;7:2-8,1-8;8:1-14;9:1-4"
11,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,14,300,0.04666666666666667,11,0,11,0.0,0.0,13538.383764652483,69.80060768848334,1.0,14491.0,14491.0,0.0,14.854800014290959,"6,7,4,3,7,2,4,8,14,4","0:0-6;1:1-7;2:1-4;3:0-3;4:1-7;5:1-2;6:8-4;7:2-8,1-8;8:1-14;9:1-4"
12,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,17,1,16,640.0,1.0666666666666667,7841.4911470472,191.49428408579138,1.0,17727.0,17727.0,0.0,6.5617000218480825,"11,7,7,1,8,2,0,5,10,5","0:3-11;1:0-7;2:13-7,4-7,7-13,8-7,3-7,11-7;3:10-1;4:3-8;5:14-2,9-2;6:1-0;7:3-5;8:0-10;9:10-5,1-5"
12,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,16,300,0.05333333333333334,17,1,16,640.0,1.0666666666666667,7841.4911470472,191.49428408579138,1.0,17727.0,17727.0,0.0,19.44289996754378,"11,7,7,1,8,2,0,5,10,5","0:3-11;1:0-7;2:13-7,4-7,7-13,8-7,3-7,11-7;3:10-1;4:3-8;5:14-2,9-2;6:1-0;7:3-5;8:0-10;9:10-5,1-5"
13,proposed_c2f_adaptive_pd,10,10,1.0,22,300,0.07333333333333333,18,3,15,1920.0,3.2,963.2723524924455,94.13837149746163,1.0,18761.0,18761.0,0.0,9.105400007683784,"1,3,11,10,6,0,7,3,5,10","0:1-2,2-1,1-12,12-1,5-1,13-12;1:4-3;2:0-11;3:0-10;4:0-6;5:1-0;6:14-7;7:4-3;8:14-5,7-5;9:8-10,9-10,11-10"
13,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,23,300,0.07666666666666666,18,3,15,1920.0,3.2,963.2723524924455,94.13837149746163,1.0,18761.0,18761.0,0.0,23.34120002342388,"1,3,11,10,6,0,7,3,5,10","0:1-2,2-1,1-12,12-1,5-1,13-12;1:4-3;2:0-11;3:0-10;4:0-6;5:1-0;6:14-7;7:4-3;8:14-5,7-5;9:8-10,9-10,11-10"
14,proposed_c2f_adaptive_pd,10,10,1.0,8,300,0.02666666666666667,10,0,10,0.0,0.0,5111.712538947677,369.11229138075066,1.0,11583.0,11583.0,0.0,4.07139997696504,"12,4,12,5,8,4,9,12,0,10",0:4-12;1:0-4;2:0-12;3:9-5;4:0-8;5:2-4;6:1-9;7:2-12;8:2-0;9:2-10
14,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,9,300,0.03,10,0,10,0.0,0.0,5111.712538947677,369.11229138075066,1.0,11583.0,11583.0,0.0,14.11240000743419,"12,4,12,5,8,4,9,12,0,10",0:4-12;1:0-4;2:0-12;3:9-5;4:0-8;5:2-4;6:1-9;7:2-12;8:2-0;9:2-10
15,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,11,0,11,0.0,0.0,871.3958757822733,76.9954137087063,1.0,11124.0,11124.0,0.0,5.509299982804805,"1,8,9,8,10,10,11,7,6,10","0:2-1;1:4-8;2:0-9;3:4-8;4:0-10;5:0-10;6:5-11;7:2-7,0-7;8:0-6;9:9-10"
15,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,14,300,0.04666666666666667,11,0,11,0.0,0.0,871.3958757822733,76.9954137087063,1.0,11124.0,11124.0,0.0,15.601699997205287,"1,8,9,8,10,10,11,7,6,10","0:2-1;1:4-8;2:0-9;3:4-8;4:0-10;5:0-10;6:5-11;7:2-7,0-7;8:0-6;9:9-10"
16,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,12,1,11,640.0,1.0666666666666667,401.32360212868025,110.60784830334616,1.0,11003.0,11003.0,0.0,5.760299973189831,"14,2,14,14,2,7,5,14,4,0","0:2-14;1:6-2,2-6,9-2;2:12-14;3:6-14;4:0-2;5:1-7;6:2-5;7:2-14;8:2-4;9:9-0"
16,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,14,300,0.04666666666666667,12,1,11,640.0,1.0666666666666667,401.32360212868025,110.60784830334616,1.0,11003.0,11003.0,0.0,15.135900001041591,"14,2,14,14,2,7,5,14,4,0","0:2-14;1:6-2,2-6,9-2;2:12-14;3:6-14;4:0-2;5:1-7;6:2-5;7:2-14;8:2-4;9:9-0"
17,proposed_c2f_adaptive_pd,10,10,1.0,11,300,0.03666666666666667,11,0,11,0.0,0.0,303.0878649933962,86.55065312880225,1.0,13815.0,13815.0,0.0,4.639899998437613,"1,3,4,5,7,6,6,1,6,5","0:0-1;1:4-3;2:3-4;3:3-5;4:0-7;5:9-6;6:1-6;7:0-1;8:0-6;9:11-5,4-5"
17,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,11,300,0.03666666666666667,11,0,11,0.0,0.0,303.0878649933962,86.55065312880225,1.0,13815.0,13815.0,0.0,12.47070002136752,"1,3,4,5,7,6,6,1,6,5","0:0-1;1:4-3;2:3-4;3:3-5;4:0-7;5:9-6;6:1-6;7:0-1;8:0-6;9:11-5,4-5"
18,proposed_c2f_adaptive_pd,10,10,1.0,9,300,0.03,20,5,15,3200.0,5.333333333333334,797.0626027207235,94.85274460941142,1.0,21041.0,21041.0,0.0,8.843499992508441,"8,8,5,14,1,13,2,2,8,10","0:9-8;1:0-8;2:0-5;3:3-14;4:1-6,6-1,0-1,9-1,4-1,4-6;5:0-13;6:9-2;7:3-2;8:9-8,8-9,9-1,1-8,1-9,0-8;9:14-10"
18,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,9,300,0.03,20,5,15,3200.0,5.333333333333334,797.0626027207235,94.85274460941142,1.0,21041.0,21041.0,0.0,22.094300016760826,"8,8,5,14,1,13,2,2,8,10","0:9-8;1:0-8;2:0-5;3:3-14;4:1-6,6-1,0-1,9-1,4-1,4-6;5:0-13;6:9-2;7:3-2;8:9-8,8-9,9-1,1-8,1-9,0-8;9:14-10"
19,proposed_c2f_adaptive_pd,9,10,0.9,16,300,0.05333333333333334,17,3,14,1920.0,3.2,3120.718522405098,182.52057131749103,1.0,20039.0,20039.0,0.0,9.101699979510158,"6,2,9,8,7,3,2,3,6,7","0:5-6,10-6,1-6;1:12-2;2:1-9;3:11-8;4:3-7;5:7-3;6:0-2;7:1-3;8:10-6,6-10,0-6,5-6,6-0,5-10;9:3-7"
19,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,16,300,0.05333333333333334,17,3,14,1920.0,3.2,3120.718522405098,182.52057131749103,1.0,20039.0,20039.0,0.0,18.72589997947216,"6,2,9,8,7,3,2,3,6,7","0:5-6,10-6,1-6;1:12-2;2:1-9;3:11-8;4:3-7;5:7-3;6:0-2;7:1-3;8:10-6,6-10,0-6,5-6,6-0,5-10;9:3-7"
20,proposed_c2f_adaptive_pd,9,10,0.9,11,300,0.03666666666666667,17,1,16,640.0,1.0666666666666667,1333.7509216689355,175.98226345673925,1.0,20332.0,20332.0,0.0,8.736599993426353,"14,1,8,6,6,12,10,3,5,12","0:6-14,14-6,10-14,12-14,2-14,13-14;1:3-1;2:0-8;3:3-6;4:13-6,14-6;5:1-12;6:2-10,13-10;7:1-3;8:1-5;9:5-12"
20,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,11,300,0.03666666666666667,17,1,16,640.0,1.0666666666666667,1333.7509216689355,175.98226345673925,1.0,20332.0,20332.0,0.0,19.283999979961663,"14,1,8,6,6,12,10,3,5,12","0:6-14,14-6,10-14,12-14,2-14,13-14;1:3-1;2:0-8;3:3-6;4:13-6,14-6;5:1-12;6:2-10,13-10;7:1-3;8:1-5;9:5-12"
21,proposed_c2f_adaptive_pd,9,10,0.9,14,300,0.04666666666666667,21,4,17,2560.0,4.266666666666667,2015.5225319771794,161.31074175672302,1.0,16965.0,16965.0,0.0,7.548100023996085,"3,1,10,2,9,13,3,6,12,2","0:5-3;1:0-1;2:13-10;3:9-2,2-9,1-2,13-2,12-2,10-2;4:2-9;5:0-13;6:0-3;7:0-6;8:12-1,1-12;9:13-2,10-2,9-2,2-9,3-2,13-9"
21,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,14,300,0.04666666666666667,21,4,17,2560.0,4.266666666666667,2015.5225319771794,161.31074175672302,1.0,16965.0,16965.0,0.0,24.26999999443069,"3,1,10,2,9,13,3,6,12,2","0:5-3;1:0-1;2:13-10;3:9-2,2-9,1-2,13-2,12-2,10-2;4:2-9;5:0-13;6:0-3;7:0-6;8:12-1,1-12;9:13-2,10-2,9-2,2-9,3-2,13-9"
22,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,467.24913440369255,147.08491645945807,1.0,15279.0,15279.0,0.0,4.396100004669279,"3,3,9,3,3,5,4,10,5,3",0:1-3;1:1-3;2:2-9;3:1-3;4:1-3;5:1-5;6:0-4;7:4-10;8:1-5;9:2-3
22,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,467.24913440369255,147.08491645945807,1.0,15279.0,15279.0,0.0,13.459999987389892,"3,3,9,3,3,5,4,10,5,3",0:1-3;1:1-3;2:2-9;3:1-3;4:1-3;5:1-5;6:0-4;7:4-10;8:1-5;9:2-3
23,proposed_c2f_adaptive_pd,10,10,1.0,16,300,0.05333333333333334,18,2,16,1280.0,2.1333333333333333,1531.9988192161043,252.22341959333772,1.0,19485.0,19485.0,0.0,7.655800029169768,"6,5,7,7,0,2,10,2,4,6","0:0-6;1:12-5;2:8-7,12-7,5-7;3:8-7,7-8,0-7,7-0,12-7,2-7;4:1-0;5:10-2;6:2-10,4-10;7:0-2;8:0-4;9:2-6"
23,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,16,300,0.05333333333333334,18,2,16,1280.0,2.1333333333333333,1531.9988192161043,252.22341959333772,1.0,19485.0,19485.0,0.0,25.852099992334843,"6,5,7,7,0,2,10,2,4,6","0:0-6;1:12-5;2:8-7,12-7,5-7;3:8-7,7-8,0-7,7-0,12-7,2-7;4:1-0;5:10-2;6:2-10,4-10;7:0-2;8:0-4;9:2-6"
24,proposed_c2f_adaptive_pd,7,10,0.7,21,300,0.07,30,0,30,0.0,0.0,563.0777471911193,136.35492985803683,1.0,27190.0,27190.0,0.0,17.270300013478845,"8,5,5,6,8,4,7,4,4,5","0:14-8;1:3-5,10-5,4-5,13-5,14-5,7-5;2:4-5,3-5,10-5,0-5,13-5,14-5;3:0-6;4:3-8;5:10-4;6:0-7;7:13-4,12-4,0-4,2-4,6-4,9-4;8:0-4;9:10-5,3-5,4-5,14-5,7-5,13-5"
24,proposed_c2f_adaptive_pd_calibrated,7,10,0.7,21,300,0.07,30,0,30,0.0,0.0,563.0777471911193,136.35492985803683,1.0,27190.0,27190.0,0.0,35.81949998624623,"8,5,5,6,8,4,7,4,4,5","0:14-8;1:3-5,10-5,4-5,13-5,14-5,7-5;2:4-5,3-5,10-5,0-5,13-5,14-5;3:0-6;4:3-8;5:10-4;6:0-7;7:13-4,12-4,0-4,2-4,6-4,9-4;8:0-4;9:10-5,3-5,4-5,14-5,7-5,13-5"
25,proposed_c2f_adaptive_pd,10,10,1.0,11,300,0.03666666666666667,16,2,14,1280.0,2.1333333333333333,1354.9902953373962,469.04595748330735,1.0,23748.0,23748.0,0.0,8.12080001924187,"8,7,13,12,9,13,14,8,0,7","0:0-8;1:0-7;2:4-13;3:1-12;4:2-9;5:12-13,4-13,0-13,12-0,13-0,3-13;6:0-14;7:0-8,13-8;8:2-0;9:0-7"
25,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,11,300,0.03666666666666667,16,2,14,1280.0,2.1333333333333333,1354.9902953373962,469.04595748330735,1.0,23748.0,23748.0,0.0,16.41909999307245,"8,7,13,12,9,13,14,8,0,7","0:0-8;1:0-7;2:4-13;3:1-12;4:2-9;5:12-13,4-13,0-13,12-0,13-0,3-13;6:0-14;7:0-8,13-8;8:2-0;9:0-7"
26,proposed_c2f_adaptive_pd,9,10,0.9,16,300,0.05333333333333334,20,5,15,3200.0,5.333333333333334,640.0540623396982,64.6126222301111,1.0,20108.0,20108.0,0.0,11.277700017672032,"12,12,1,0,4,6,11,6,13,6","0:13-12;1:6-12,1-12,14-12,12-14,6-14,13-12;2:4-1;3:2-0;4:1-4;5:1-6;6:4-11;7:1-6;8:0-13;9:1-6,6-1,12-6,12-1,14-6,14-1"
26,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,17,300,0.056666666666666664,20,5,15,3200.0,5.333333333333334,640.0540623396982,64.6126222301111,1.0,20108.0,20108.0,0.0,27.213599998503923,"12,12,1,0,4,6,11,6,13,6","0:13-12;1:6-12,1-12,14-12,12-14,6-14,13-12;2:4-1;3:2-0;4:1-4;5:1-6;6:4-11;7:1-6;8:0-13;9:1-6,6-1,12-6,12-1,14-6,14-1"
27,proposed_c2f_adaptive_pd,9,10,0.9,11,300,0.03666666666666667,17,2,15,1280.0,2.1333333333333333,552.1988598068258,42.93723210159651,1.0,17895.0,17895.0,0.0,9.111199993640184,"5,9,14,2,13,3,11,7,12,12","0:0-5;1:1-9,9-1,8-9,13-9,9-13,10-9;2:2-14;3:4-2;4:0-13;5:0-3;6:3-11;7:2-7;8:7-12,8-12;9:8-12,14-12"
27,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,11,300,0.03666666666666667,17,2,15,1280.0,2.1333333333333333,552.1988598068258,42.93723210159651,1.0,17895.0,17895.0,0.0,21.405200008302927,"5,9,14,2,13,3,11,7,12,12","0:0-5;1:1-9,9-1,8-9,13-9,9-13,10-9;2:2-14;3:4-2;4:0-13;5:0-3;6:3-11;7:2-7;8:7-12,8-12;9:8-12,14-12"
28,proposed_c2f_adaptive_pd,10,10,1.0,15,300,0.05,12,0,12,0.0,0.0,1021.5508602531551,83.13906351023626,1.0,15879.0,15879.0,0.0,6.740999990142882,"6,2,7,7,7,10,13,13,5,5","0:0-6;1:3-2;2:0-7;3:13-7;4:14-7,12-7,2-7;5:1-10;6:0-13;7:0-13;8:0-5;9:0-5"
28,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,15,300,0.05,12,0,12,0.0,0.0,1021.5508602531551,83.13906351023626,1.0,15879.0,15879.0,0.0,11.374900001101196,"6,2,7,7,7,10,13,13,5,5","0:0-6;1:3-2;2:0-7;3:13-7;4:14-7,12-7,2-7;5:1-10;6:0-13;7:0-13;8:0-5;9:0-5"
29,proposed_c2f_adaptive_pd,9,10,0.9,17,300,0.056666666666666664,25,4,21,2560.0,4.266666666666667,212.2894003623092,91.80317342060607,1.0,30027.0,30027.0,0.0,12.654099962674081,"11,3,4,5,5,0,5,5,6,14","0:0-11;1:0-3;2:11-4,3-4,5-4,6-4,14-4,13-4;3:12-5,1-5,9-5,12-9,5-9,1-9;4:11-5,5-11,6-5,4-5,3-5,12-5;5:2-0;6:3-5;7:3-5;8:0-6;9:0-14"
29,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,17,300,0.056666666666666664,25,4,21,2560.0,4.266666666666667,212.2894003623092,91.80317342060607,1.0,30027.0,30027.0,0.0,28.83950003888458,"11,3,4,5,5,0,5,5,6,14","0:0-11;1:0-3;2:11-4,3-4,5-4,6-4,14-4,13-4;3:12-5,1-5,9-5,12-9,5-9,1-9;4:11-5,5-11,6-5,4-5,3-5,12-5;5:2-0;6:3-5;7:3-5;8:0-6;9:0-14"
30,proposed_c2f_adaptive_pd,10,10,1.0,7,300,0.023333333333333334,10,0,10,0.0,0.0,4290.997256349588,671.0799921326977,1.0,11429.0,11429.0,0.0,3.593800007365644,"12,1,7,8,3,1,13,7,0,9",0:5-12;1:0-1;2:5-7;3:1-8;4:2-3;5:0-1;6:0-13;7:3-7;8:1-0;9:5-9
30,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,8,300,0.02666666666666667,10,0,10,0.0,0.0,4290.997256349588,671.0799921326977,1.0,11429.0,11429.0,0.0,10.477800038643181,"12,1,7,8,3,1,13,7,0,9",0:5-12;1:0-1;2:5-7;3:1-8;4:2-3;5:0-1;6:0-13;7:3-7;8:1-0;9:5-9
31,proposed_c2f_adaptive_pd,10,10,1.0,13,300,0.043333333333333335,10,0,10,0.0,0.0,3382.8909541642533,320.86399807331486,1.0,8391.0,8391.0,0.0,5.860499979462475,"9,13,8,3,9,8,13,0,0,11",0:0-9;1:12-13;2:10-8;3:5-3;4:0-9;5:1-8;6:0-13;7:9-0;8:9-0;9:0-11
31,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,14,300,0.04666666666666667,10,0,10,0.0,0.0,3382.8909541642533,320.86399807331486,1.0,8391.0,8391.0,0.0,13.545099995099008,"9,13,8,3,9,8,13,0,0,11",0:0-9;1:12-13;2:10-8;3:5-3;4:0-9;5:1-8;6:0-13;7:9-0;8:9-0;9:0-11
32,proposed_c2f_adaptive_pd,10,10,1.0,14,300,0.04666666666666667,13,1,12,640.0,1.0666666666666667,279.03535650496485,185.55529545801662,1.0,15184.0,15184.0,0.0,6.216100009623915,"2,12,4,1,7,5,14,2,5,7","0:7-2;1:2-12;2:0-4;3:0-1;4:3-7,4-7;5:12-5;6:14-6,6-14,0-14;7:12-2;8:1-5;9:2-7"
32,proposed_c2f_adaptive_pd_calibrated,10,10,1.0,15,300,0.05,13,1,12,640.0,1.0666666666666667,279.03535650496485,185.55529545801662,1.0,15184.0,15184.0,0.0,18.076599983032793,"2,12,4,1,7,5,14,2,5,7","0:7-2;1:2-12;2:0-4;3:0-1;4:3-7,4-7;5:12-5;6:14-6,6-14,0-14;7:12-2;8:1-5;9:2-7"
33,proposed_c2f_adaptive_pd,9,10,0.9,10,300,0.03333333333333333,11,1,10,640.0,1.0666666666666667,752.685837424349,110.55465519399546,1.0,12734.0,12734.0,0.0,3.830700006801635,"0,12,14,0,0,13,3,0,10,14","0:0-14,14-0;1:13-12;2:1-14;3:4-0;4:4-0;5:3-13;6:6-3;7:1-0;8:1-10;9:0-14"
33,proposed_c2f_adaptive_pd_calibrated,9,10,0.9,10,300,0.03333333333333333,11,1,10,640.0,1.0666666666666667,752.685837424349,110.55465519399546,1.0,12734.0,12734.0,0.0,14.491399982944131,"0,12,14,0,0,13,3,0,10,14","0:0-14,14-0;1:13-12;2:1-14;3:4-0;4:4-0;5:3-13;6:6-3;7:1-0;8:1-10;9:0-14"
