trial,arm,p_d,p_fa,belief_objective,truth_objective,belief_worst_pd,truth_worst_pd,truth_mean_pd,n_tx,n_links,n_captured,kappa_db_median,eta_median,eval_kappa_db_median,eval_eta_median,fraction_json,retention_json,eval_fraction_json,eval_retention_json,joint_rounds,accepted_rounds,termination,measure_seconds,capture_aware,redundancy_aware,selection_rcs_factor,selector_strategy,fusion_rule,exact_gaussian_threshold,capability_source,capability_retention_source,risk_polish_swaps,risk_polish_json,risk_secondary_swaps,risk_secondary_json,fusion_pd_polish_json,rho_mean,rho_vector_json,power_policy,soft_mu,history_json,selected_json,selected_eval_json,fusion_nodes_json
30,tpuic_serial_capture,0.3333333333333333,0.03333333333333333,0.10421201306381173,0.2724483577058547,0.07512753042396772,0.2228470521673059,0.5362320365673546,6,15,15,38.49823023087674,0.9355528975847996,40.13173502419879,0.9995033100870095,"[[4.637994323004345e-05,9.380670157799445e-05,4.665174370917142e-05],[0.00011190212834388153,0.00022632993549455654,0.00011255790862262075],[4.2225671432352706e-05,8.540439429471558e-05,4.2473126623703166e-05],[0.00014089907524344696,0.00028497830276376195,0.0001417247863912573],[0.00020817125192884857,0.0004210410178802779,0.00020939119835556777],[0.00037667111890279904,0.0007618438657569489,0.0003788785254553179]]","[[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996]]","[[5.0794822643143786e-05,5.340401794081616e-05,5.0815203149272754e-05],[0.00010141438920891885,0.00010854459829937875,0.0001020500564501017],[2.9369104344583575e-05,7.337447918175879e-05,2.9724788008207483e-05],[9.26775116396253e-05,9.280116233582558e-05,9.269575952044089e-05],[0.0002876527115812096,0.0016758829346306741,0.0002879898563833145],[0.00018816167322426963,0.00032369260139207827,0.00018866468049168563]]","[[0.9999087544793189,0.9975505187074262,0.9998642426063119],[0.9998914905951966,0.9994658797123386,0.999921958091489],[0.9992249027071938,0.9989938458648674,0.9995407404616805],[0.9999967689251268,0.999951177896572,0.9999442801661172],[0.9975477630759307,0.9950598339328869,0.9996630761338947],[0.999249927342053,0.9985760895665233,0.9993405661014]]",0,0,serial,0.0,True,False,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,5,"[{""round"":0,""remove_target"":2,""remove_link"":[0,1],""add_target"":0,""add_link"":[5,2],""worst_pd_before"":0.054943318812384394,""worst_pd_after"":0.05829259535292824,""service_before"":0.5543242098282879,""service_after"":0.5559721872953183},{""round"":1,""remove_target"":2,""remove_link"":[5,0],""add_target"":0,""add_link"":[5,0],""worst_pd_before"":0.05829259535292824,""worst_pd_after"":0.06596443671485905,""service_before"":0.5559721872953183,""service_after"":0.5615302482936996},{""round"":2,""remove_target"":1,""remove_link"":[3,1],""add_target"":0,""add_link"":[3,2],""worst_pd_before"":0.06596443671485905,""worst_pd_after"":0.06756062285075758,""service_before"":0.5615302482936996,""service_after"":0.5590864904921308},{""round"":3,""remove_target"":0,""remove_link"":[0,1],""add_target"":0,""add_link"":[3,0],""worst_pd_before"":0.06756062285075758,""worst_pd_after"":0.06882509440283177,""service_before"":0.5590864904921308,""service_after"":0.560350962044205},{""round"":4,""remove_target"":0,""remove_link"":[3,1],""add_target"":0,""add_link"":[0,2],""worst_pd_before"":0.06882509440283177,""worst_pd_after"":0.06899898928816026,""service_before"":0.560350962044205,""service_after"":0.5605248569295335}]",0,[],"{""before"":[0.06899898928816026,0.2277870057697191,0.2637388618716541],""after"":[0.07512753042396772,0.2710596452678604,0.2637388618716541],""reports_before"":[3,3,1],""reports_after"":[4,3,1],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,0.1,[],"{""0"":[[5,1],[5,2],[5,0],[3,2],[3,0],[0,2]],""1"":[[5,2],[3,2],[3,0],[5,0],[5,1]],""2"":[[0,2],[3,2],[3,0],[5,2]]}","{""0"":[[5,1],[5,2],[5,0],[3,2],[3,0],[0,2]],""1"":[[5,2],[3,2],[3,0],[5,0],[5,1]],""2"":[[0,2],[3,2],[3,0],[5,2]]}","[0,0,2]"
30,tpuic_joint_capture,0.6666666666666666,0.03333333333333333,0.3223621045323493,0.697131236676474,0.26686721693861315,0.5926312366764741,0.8604488325436579,3,18,18,33.99797481166115,0.9181411800311757,35.7804125444951,0.999924348870316,"[[0.0005039508745102557,0.0012891261765223454,0.0005050260503043213],[9.349543183854268e-05,0.00023916499536875646,9.369490371219743e-05],[2.721834855276445e-05,6.962560712921967e-05,2.7276418715946153e-05],[0.00042660575150579275,0.0010912743069561091,0.0004275159120012457],[0.00014536876719571174,0.00037185902936053174,0.0001456789104807172],[0.0004687096489757859,0.001198977734229508,0.0004697096378527047]]","[[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757]]","[[0.0004454499455941972,0.0005557678099776157,0.0004454421455300955],[8.469092844690503e-05,8.46959665504234e-05,8.490489506725314e-05],[2.731391376226054e-05,6.843163994292803e-05,2.749247739696755e-05],[0.0002642190793350537,0.00026421247307955963,0.00026421920204516933],[0.00031149806403833524,0.0007486048638006026,0.00031154805067262385],[0.00025096177560834324,0.0002985324211351304,0.0002510320749241933]]","[[0.9999285603115483,0.9993475422225908,0.9999938180642298],[0.9999483708836076,0.9995325964600524,0.9999486448277747],[0.9992362469671308,0.9998082021552948,0.9998542296644798],[0.9999941700293887,0.9999763594726286,0.9999468153889512],[0.9994025509933716,0.9956207111233185,0.9997754448426653],[0.9999201374290836,0.9999609850015746,0.9999996116832824]]",1,0,fixed_point,0.0,True,False,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,0,[],0,[],"{""before"":[0.26686721693861315,0.8348475776300106,0.47146411817436074],""after"":[0.26686721693861315,0.8348475776300106,0.47146411817436074],""reports_before"":[6,6,5],""reports_after"":[5,5,5],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,0.1,"[{""round"":0,""mask_before"":[0,3,5],""mask_candidate"":[0,3,5],""objective_before"":0.26686721693861315,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,4],[3,5],[5,3],[3,4],[5,2],[5,1]],""1"":[[3,5],[5,3],[5,4],[3,4],[5,1],[5,2]],""2"":[[0,2],[3,2],[0,3],[3,0],[0,1],[0,4]]}","{""0"":[[5,4],[3,5],[5,3],[3,4],[5,2],[5,1]],""1"":[[3,5],[5,3],[5,4],[3,4],[5,1],[5,2]],""2"":[[0,2],[3,2],[0,3],[3,0],[0,1],[0,4]]}","[3,3,0]"
30,tpuic_serial_redundancy,0.3333333333333333,0.03333333333333333,0.10435301520914686,0.2724483577058547,0.07520104849187079,0.2228470521673059,0.5362320365673546,6,15,15,38.49823023087674,0.9355528975847996,40.13173502419879,0.9995033100870095,"[[4.637994323004345e-05,9.380670157799445e-05,4.665174370917142e-05],[0.00011190212834388153,0.00022632993549455654,0.00011255790862262075],[4.2225671432352706e-05,8.540439429471558e-05,4.2473126623703166e-05],[0.00014089907524344696,0.00028497830276376195,0.0001417247863912573],[0.00020817125192884857,0.0004210410178802779,0.00020939119835556777],[0.00037667111890279904,0.0007618438657569489,0.0003788785254553179]]","[[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996]]","[[5.0794822643143786e-05,5.340401794081616e-05,5.0815203149272754e-05],[0.00010141438920891885,0.00010854459829937875,0.0001020500564501017],[2.9369104344583575e-05,7.337447918175879e-05,2.9724788008207483e-05],[9.26775116396253e-05,9.280116233582558e-05,9.269575952044089e-05],[0.0002876527115812096,0.0016758829346306741,0.0002879898563833145],[0.00018816167322426963,0.00032369260139207827,0.00018866468049168563]]","[[0.9999087544793189,0.9975505187074262,0.9998642426063119],[0.9998914905951966,0.9994658797123386,0.999921958091489],[0.9992249027071938,0.9989938458648674,0.9995407404616805],[0.9999967689251268,0.999951177896572,0.9999442801661172],[0.9975477630759307,0.9950598339328869,0.9996630761338947],[0.999249927342053,0.9985760895665233,0.9993405661014]]",0,0,serial,0.0,False,True,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,5,"[{""round"":0,""remove_target"":2,""remove_link"":[0,1],""add_target"":0,""add_link"":[5,2],""worst_pd_before"":0.05495650263406623,""worst_pd_after"":0.05833468214749235,""service_before"":0.555391661815521,""service_after"":0.5570619017813582},{""round"":1,""remove_target"":2,""remove_link"":[5,0],""add_target"":0,""add_link"":[5,0],""worst_pd_before"":0.05833468214749235,""worst_pd_after"":0.06601772276811847,""service_before"":0.5570619017813582,""service_after"":0.5626262223882802},{""round"":2,""remove_target"":1,""remove_link"":[3,1],""add_target"":0,""add_link"":[3,2],""worst_pd_before"":0.06601772276811847,""worst_pd_after"":0.06761612904044632,""service_before"":0.5626262223882802,""service_after"":0.560168754611553},{""round"":3,""remove_target"":0,""remove_link"":[0,1],""add_target"":0,""add_link"":[3,0],""worst_pd_before"":0.06761612904044632,""worst_pd_after"":0.06888232583510236,""service_before"":0.560168754611553,""service_after"":0.5614349514062091},{""round"":4,""remove_target"":0,""remove_link"":[3,1],""add_target"":0,""add_link"":[0,2],""worst_pd_before"":0.06888232583510236,""worst_pd_after"":0.06905632922111717,""service_before"":0.5614349514062091,""service_after"":0.5616089547922238}]",0,[],"{""before"":[0.06905632922111717,0.22818682495232376,0.26436580061878295],""after"":[0.07520104849187079,0.2715386655397778,0.26436580061878295],""reports_before"":[3,3,1],""reports_after"":[4,3,1],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,0.1,[],"{""0"":[[5,1],[5,2],[5,0],[3,2],[3,0],[0,2]],""1"":[[5,2],[3,2],[3,0],[5,0],[5,1]],""2"":[[0,2],[3,2],[3,0],[5,2]]}","{""0"":[[5,1],[5,2],[5,0],[3,2],[3,0],[0,2]],""1"":[[5,2],[3,2],[3,0],[5,0],[5,1]],""2"":[[0,2],[3,2],[3,0],[5,2]]}","[0,0,2]"
30,tpuic_joint_redundancy,0.6666666666666666,0.03333333333333333,0.3231012338055867,0.697131236676474,0.26748806911433,0.5926312366764741,0.8604488325436579,3,18,18,33.99797481166115,0.9181411800311757,35.7804125444951,0.999924348870316,"[[0.0005039508745102557,0.0012891261765223454,0.0005050260503043213],[9.349543183854268e-05,0.00023916499536875646,9.369490371219743e-05],[2.721834855276445e-05,6.962560712921967e-05,2.7276418715946153e-05],[0.00042660575150579275,0.0010912743069561091,0.0004275159120012457],[0.00014536876719571174,0.00037185902936053174,0.0001456789104807172],[0.0004687096489757859,0.001198977734229508,0.0004697096378527047]]","[[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757]]","[[0.0004454499455941972,0.0005557678099776157,0.0004454421455300955],[8.469092844690503e-05,8.46959665504234e-05,8.490489506725314e-05],[2.731391376226054e-05,6.843163994292803e-05,2.749247739696755e-05],[0.0002642190793350537,0.00026421247307955963,0.00026421920204516933],[0.00031149806403833524,0.0007486048638006026,0.00031154805067262385],[0.00025096177560834324,0.0002985324211351304,0.0002510320749241933]]","[[0.9999285603115483,0.9993475422225908,0.9999938180642298],[0.9999483708836076,0.9995325964600524,0.9999486448277747],[0.9992362469671308,0.9998082021552948,0.9998542296644798],[0.9999941700293887,0.9999763594726286,0.9999468153889512],[0.9994025509933716,0.9956207111233185,0.9997754448426653],[0.9999201374290836,0.9999609850015746,0.9999996116832824]]",1,0,fixed_point,0.0,False,True,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,0,[],0,[],"{""before"":[0.26748806911433,0.8357613729181954,0.4725555096207474],""after"":[0.26748806911433,0.8357613729181954,0.4725555096207474],""reports_before"":[6,6,5],""reports_after"":[5,5,5],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,0.1,"[{""round"":0,""mask_before"":[0,3,5],""mask_candidate"":[0,3,5],""objective_before"":0.26748806911433,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,4],[3,5],[5,3],[3,4],[5,2],[5,1]],""1"":[[3,5],[5,3],[5,4],[3,4],[5,1],[5,2]],""2"":[[0,2],[3,2],[0,3],[3,0],[0,1],[0,4]]}","{""0"":[[5,4],[3,5],[5,3],[3,4],[5,2],[5,1]],""1"":[[3,5],[5,3],[5,4],[3,4],[5,1],[5,2]],""2"":[[0,2],[3,2],[0,3],[3,0],[0,1],[0,4]]}","[3,3,0]"
30,tpuic_serial_combined,0.3333333333333333,0.03333333333333333,0.10421201306381173,0.2724483577058547,0.07512753042396772,0.2228470521673059,0.5362320365673546,6,15,15,38.49823023087674,0.9355528975847996,40.13173502419879,0.9995033100870095,"[[4.637994323004345e-05,9.380670157799445e-05,4.665174370917142e-05],[0.00011190212834388153,0.00022632993549455654,0.00011255790862262075],[4.2225671432352706e-05,8.540439429471558e-05,4.2473126623703166e-05],[0.00014089907524344696,0.00028497830276376195,0.0001417247863912573],[0.00020817125192884857,0.0004210410178802779,0.00020939119835556777],[0.00037667111890279904,0.0007618438657569489,0.0003788785254553179]]","[[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996],[0.9900146829353055,0.6914818858569713,0.9355528975847996]]","[[5.0794822643143786e-05,5.340401794081616e-05,5.0815203149272754e-05],[0.00010141438920891885,0.00010854459829937875,0.0001020500564501017],[2.9369104344583575e-05,7.337447918175879e-05,2.9724788008207483e-05],[9.26775116396253e-05,9.280116233582558e-05,9.269575952044089e-05],[0.0002876527115812096,0.0016758829346306741,0.0002879898563833145],[0.00018816167322426963,0.00032369260139207827,0.00018866468049168563]]","[[0.9999087544793189,0.9975505187074262,0.9998642426063119],[0.9998914905951966,0.9994658797123386,0.999921958091489],[0.9992249027071938,0.9989938458648674,0.9995407404616805],[0.9999967689251268,0.999951177896572,0.9999442801661172],[0.9975477630759307,0.9950598339328869,0.9996630761338947],[0.999249927342053,0.9985760895665233,0.9993405661014]]",0,0,serial,0.0,True,True,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,5,"[{""round"":0,""remove_target"":2,""remove_link"":[0,1],""add_target"":0,""add_link"":[5,2],""worst_pd_before"":0.054943318812384394,""worst_pd_after"":0.05829259535292824,""service_before"":0.5543242098282879,""service_after"":0.5559721872953183},{""round"":1,""remove_target"":2,""remove_link"":[5,0],""add_target"":0,""add_link"":[5,0],""worst_pd_before"":0.05829259535292824,""worst_pd_after"":0.06596443671485905,""service_before"":0.5559721872953183,""service_after"":0.5615302482936996},{""round"":2,""remove_target"":1,""remove_link"":[3,1],""add_target"":0,""add_link"":[3,2],""worst_pd_before"":0.06596443671485905,""worst_pd_after"":0.06756062285075758,""service_before"":0.5615302482936996,""service_after"":0.5590864904921308},{""round"":3,""remove_target"":0,""remove_link"":[0,1],""add_target"":0,""add_link"":[3,0],""worst_pd_before"":0.06756062285075758,""worst_pd_after"":0.06882509440283177,""service_before"":0.5590864904921308,""service_after"":0.560350962044205},{""round"":4,""remove_target"":0,""remove_link"":[3,1],""add_target"":0,""add_link"":[0,2],""worst_pd_before"":0.06882509440283177,""worst_pd_after"":0.06899898928816026,""service_before"":0.560350962044205,""service_after"":0.5605248569295335}]",0,[],"{""before"":[0.06899898928816026,0.2277870057697191,0.2637388618716541],""after"":[0.07512753042396772,0.2710596452678604,0.2637388618716541],""reports_before"":[3,3,1],""reports_after"":[4,3,1],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,0.1,[],"{""0"":[[5,1],[5,2],[5,0],[3,2],[3,0],[0,2]],""1"":[[5,2],[3,2],[3,0],[5,0],[5,1]],""2"":[[0,2],[3,2],[3,0],[5,2]]}","{""0"":[[5,1],[5,2],[5,0],[3,2],[3,0],[0,2]],""1"":[[5,2],[3,2],[3,0],[5,0],[5,1]],""2"":[[0,2],[3,2],[3,0],[5,2]]}","[0,0,2]"
30,tpuic_joint_combined,0.6666666666666666,0.03333333333333333,0.3223621045323493,0.697131236676474,0.26686721693861315,0.5926312366764741,0.8604488325436579,3,18,18,33.99797481166115,0.9181411800311757,35.7804125444951,0.999924348870316,"[[0.0005039508745102557,0.0012891261765223454,0.0005050260503043213],[9.349543183854268e-05,0.00023916499536875646,9.369490371219743e-05],[2.721834855276445e-05,6.962560712921967e-05,2.7276418715946153e-05],[0.00042660575150579275,0.0010912743069561091,0.0004275159120012457],[0.00014536876719571174,0.00037185902936053174,0.0001456789104807172],[0.0004687096489757859,0.001198977734229508,0.0004697096378527047]]","[[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757],[0.9886660880547375,0.7876331123731611,0.9181411800311757]]","[[0.0004454499455941972,0.0005557678099776157,0.0004454421455300955],[8.469092844690503e-05,8.46959665504234e-05,8.490489506725314e-05],[2.731391376226054e-05,6.843163994292803e-05,2.749247739696755e-05],[0.0002642190793350537,0.00026421247307955963,0.00026421920204516933],[0.00031149806403833524,0.0007486048638006026,0.00031154805067262385],[0.00025096177560834324,0.0002985324211351304,0.0002510320749241933]]","[[0.9999285603115483,0.9993475422225908,0.9999938180642298],[0.9999483708836076,0.9995325964600524,0.9999486448277747],[0.9992362469671308,0.9998082021552948,0.9998542296644798],[0.9999941700293887,0.9999763594726286,0.9999468153889512],[0.9994025509933716,0.9956207111233185,0.9997754448426653],[0.9999201374290836,0.9999609850015746,0.9999996116832824]]",1,0,fixed_point,0.0,True,True,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,0,[],0,[],"{""before"":[0.26686721693861315,0.8348475776300106,0.47146411817436074],""after"":[0.26686721693861315,0.8348475776300106,0.47146411817436074],""reports_before"":[6,6,5],""reports_after"":[5,5,5],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,0.1,"[{""round"":0,""mask_before"":[0,3,5],""mask_candidate"":[0,3,5],""objective_before"":0.26686721693861315,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[5,4],[3,5],[5,3],[3,4],[5,2],[5,1]],""1"":[[3,5],[5,3],[5,4],[3,4],[5,1],[5,2]],""2"":[[0,2],[3,2],[0,3],[3,0],[0,1],[0,4]]}","{""0"":[[5,4],[3,5],[5,3],[3,4],[5,2],[5,1]],""1"":[[3,5],[5,3],[5,4],[3,4],[5,1],[5,2]],""2"":[[0,2],[3,2],[0,3],[3,0],[0,1],[0,4]]}","[3,3,0]"
31,constant_serial_baseline,0.0,0.011111111111111112,0.04754102515856766,0.04489267903782719,0.04279743512196149,0.04024728231518426,0.04178254156477601,6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,False,False,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,3,"[{""round"":0,""remove_target"":0,""remove_link"":[0,4],""add_target"":0,""add_link"":[3,2],""worst_pd_before"":0.038573723091550605,""worst_pd_after"":0.04008605581478938,""service_before"":0.12118857391559931,""service_after"":0.12541217744967623},{""round"":1,""remove_target"":2,""remove_link"":[0,4],""add_target"":2,""add_link"":[3,1],""worst_pd_before"":0.04008605581478938,""worst_pd_after"":0.04252879500925933,""service_before"":0.12541217744967623,""service_after"":0.12849264828901105},{""round"":2,""remove_target"":1,""remove_link"":[3,4],""add_target"":1,""add_link"":[2,1],""worst_pd_before"":0.04252879500925933,""worst_pd_after"":0.042797326625627505,""service_before"":0.12849264828901105,""service_after"":0.12908297656549017}]",0,[],"{""before"":[0.042797326625627505,0.04311912328573846,0.04316652665412421],""after"":[0.04279743512196149,0.04311923910490503,0.043166612611566575],""reports_before"":[4,4,4],""reports_after"":[6,6,6],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,[],"{""0"":[[3,4],[2,4],[0,2],[0,1],[3,1],[3,2]],""1"":[[2,4],[0,4],[3,2],[3,1],[0,2],[2,1]],""2"":[[0,2],[3,4],[2,4],[0,1],[3,2],[3,1]]}","{""0"":[[3,4],[2,4],[0,2],[0,1],[3,1],[3,2]],""1"":[[2,4],[0,4],[3,2],[3,1],[0,2],[2,1]],""2"":[[0,2],[3,4],[2,4],[0,1],[3,2],[3,1]]}","[5,5,3]"
31,constant_joint_baseline,0.0,0.022222222222222223,0.04902603160124921,0.04824901189405199,0.04414327296389829,0.043317535310179144,0.04711455688693341,3,18,17,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,False,False,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,2,"[{""round"":0,""remove_target"":1,""remove_link"":[3,2],""add_target"":1,""add_link"":[2,0],""worst_pd_before"":0.04383710796543729,""worst_pd_after"":0.04388291077615947,""service_before"":0.1327789144328366,""service_after"":0.1328247172435588},{""round"":1,""remove_target"":1,""remove_link"":[3,0],""add_target"":1,""add_link"":[3,4],""worst_pd_before"":0.04388291077615947,""worst_pd_after"":0.04414327296389829,""service_before"":0.1328247172435588,""service_after"":0.1330850794312976}]",0,[],"{""before"":[0.044370450807521326,0.04414327296389829,0.044571355659877986],""after"":[0.044370450807521326,0.04414327296389829,0.044571355659877986],""reports_before"":[5,5,5],""reports_after"":[4,4,4],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,"[{""round"":0,""mask_before"":[0,2,3],""mask_candidate"":[0,2,3],""objective_before"":0.04414327296389829,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[0,4],[0,2],[3,0],[2,0],[0,3],[0,5]],""1"":[[2,3],[0,3],[3,5],[0,2],[2,0],[3,4]],""2"":[[3,0],[0,2],[2,0],[0,3],[0,4],[0,5]]}","{""0"":[[0,4],[0,2],[3,0],[2,0],[0,3],[0,5]],""1"":[[2,3],[0,3],[3,5],[0,2],[2,0],[3,4]],""2"":[[3,0],[0,2],[2,0],[0,3],[0,5]]}","[0,3,0]"
31,constant_serial_capture,0.0,0.011111111111111112,0.04754158050421454,0.04489267903782719,0.04279791870207875,0.04024728231518426,0.04178254156477601,6,18,18,0.0,1.0,0.0,1.0,null,null,null,null,0,0,serial,0.0,True,False,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,3,"[{""round"":0,""remove_target"":0,""remove_link"":[0,4],""add_target"":0,""add_link"":[3,2],""worst_pd_before"":0.038572460528250405,""worst_pd_after"":0.040086930957870075,""service_before"":0.12118906679310612,""service_after"":0.12541441656659147},{""round"":1,""remove_target"":2,""remove_link"":[0,4],""add_target"":2,""add_link"":[3,1],""worst_pd_before"":0.040086930957870075,""worst_pd_after"":0.04252967530698564,""service_before"":0.12541441656659147,""service_after"":0.12849391101327495},{""round"":2,""remove_target"":1,""remove_link"":[3,4],""add_target"":1,""add_link"":[2,1],""worst_pd_before"":0.04252967530698564,""worst_pd_after"":0.042797810301735746,""service_before"":0.12849391101327495,""service_after"":0.12908408683555794}]",0,[],"{""before"":[0.042797810301735746,0.04311985112926864,0.043166425404553566],""after"":[0.04279791870207875,0.04311996687311237,0.04316651148245586],""reports_before"":[4,4,4],""reports_after"":[6,6,6],""candidate_evaluations"":15}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,[],"{""0"":[[3,4],[2,4],[0,2],[0,1],[3,1],[3,2]],""1"":[[2,4],[0,4],[3,2],[3,1],[0,2],[2,1]],""2"":[[0,2],[3,4],[2,4],[0,1],[3,2],[3,1]]}","{""0"":[[3,4],[2,4],[0,2],[0,1],[3,1],[3,2]],""1"":[[2,4],[0,4],[3,2],[3,1],[0,2],[2,1]],""2"":[[0,2],[3,4],[2,4],[0,1],[3,2],[3,1]]}","[5,5,3]"
31,constant_joint_capture,0.0,0.022222222222222223,0.04902597707476403,0.04824901189405199,0.04414334522356672,0.043317535310179144,0.04711455688693341,3,18,17,0.0,1.0,0.0,1.0,null,null,null,null,1,0,fixed_point,0.0,True,False,1.0,c2f,max_in_rate,False,target_feedback,target_feedback,2,"[{""round"":0,""remove_target"":1,""remove_link"":[3,2],""add_target"":1,""add_link"":[2,0],""worst_pd_before"":0.04383666593706602,""worst_pd_after"":0.043883546164749536,""service_before"":0.1327758027065052,""service_after"":0.13282268293418872},{""round"":1,""remove_target"":1,""remove_link"":[3,0],""add_target"":1,""add_link"":[3,4],""worst_pd_before"":0.043883546164749536,""worst_pd_after"":0.04414334522356672,""service_before"":0.13282268293418872,""service_after"":0.1330824819930059}]",0,[],"{""before"":[0.04436933870558785,0.04414334522356672,0.04456979806385133],""after"":[0.04436933870558785,0.04414334522356672,0.04456979806385133],""reports_before"":[5,5,5],""reports_after"":[4,4,4],""candidate_evaluations"":12}",0.7999999999999999,"[0.8,0.8,0.8,0.8,0.8,0.8]",uniform,1.0,"[{""round"":0,""mask_before"":[0,2,3],""mask_candidate"":[0,2,3],""objective_before"":0.04414334522356672,""accepted"":false,""reason"":""fixed_point""}]","{""0"":[[0,4],[0,2],[3,0],[2,0],[0,3],[0,5]],""1"":[[2,3],[0,3],[3,5],[0,2],[2,0],[3,4]],""2"":[[3,0],[0,2],[2,0],[0,3],[0,4],[0,5]]}","{""0"":[[0,4],[0,2],[3,0],[2,0],[0,3],[0,5]],""1"":[[2,3],[0,3],[3,5],[0,2],[2,0],[3,4]],""2"":[[3,0],[0,2],[2,0],[0,3],[0,5]]}","[0,3,0]"
