area_m,rcs_m2,trial,label,family,pd,worst_pd,weak_pd,pfa,reports,observations,bits,delay_ms,n_looks,rho_mean,rho_std,sensing_w,power_seconds,per_target
400.0,0.05,8,looks16,looks,0.7,0.0,1.0,0.03666666666666667,5.0,32.0,3200.0,5.333333333333334,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;0;1;0;1;1;1
400.0,0.05,8,looks32,looks,0.9,0.0,1.0,0.043333333333333335,5.0,25.0,3200.0,5.333333333333334,32,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;0;1;1;1;1;1
400.0,0.05,8,looks64,looks,1.0,1.0,1.0,0.04666666666666667,5.0,25.0,3200.0,5.333333333333334,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;1;1;1;1;1;1
400.0,0.05,8,looks128,looks,1.0,1.0,1.0,0.05333333333333334,5.0,21.0,3200.0,5.333333333333334,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;1;1;1;1;1;1
400.0,0.05,8,looks16_corr,fusion,0.8,0.0,1.0,0.07,4.0,32.0,2560.0,4.266666666666667,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;0;1;1;1;1;1
400.0,0.05,8,looks16_capacitated,fusion,0.7,0.0,1.0,0.03666666666666667,5.0,32.0,3200.0,5.333333333333334,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;0;1;0;1;1;1
400.0,0.05,8,looks16_corr_capacitated,fusion,0.8,0.0,1.0,0.07,4.0,32.0,2560.0,4.266666666666667,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;0;1;1;1;1;1
400.0,0.05,8,looks16_budget,budget,0.8,0.0,1.0,0.04666666666666667,8.0,50.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;0;1;1;1;1;1
400.0,0.05,8,looks16_pfa10,roc,0.8,0.0,1.0,0.09666666666666666,5.0,29.0,3200.0,5.333333333333334,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;0;1;1;1;0;1;1;1
400.0,0.05,8,looks16_power,power,0.9,0.0,1.0,0.04,7.0,31.0,4480.0,7.466666666666669,16,0.4000000000000001,0.29832867780352595,6.000000000000001,34.39152109995484,1;1;0;1;1;1;1;1;1;1
400.0,0.05,8,looks64_power,power,1.0,1.0,1.0,0.03333333333333333,5.0,21.0,3200.0,5.333333333333334,64,0.35000000000000003,0.29999999999999993,5.250000000000001,26.07775049994234,1;1;1;1;1;1;1;1;1;1
400.0,0.05,6,looks16,looks,0.4,0.0,0.0,0.05,8.0,48.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;0;1;0;0;1;1
400.0,0.05,6,looks32,looks,0.4,0.0,0.0,0.06666666666666667,8.0,42.0,5120.0,8.533333333333335,32,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;0;1;0;0;1;1
400.0,0.05,6,looks64,looks,0.4,0.0,0.0,0.07,8.0,40.0,5120.0,8.533333333333335,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;1;0;0;0;1;1
400.0,0.05,6,looks128,looks,0.5,0.0,0.0,0.07,8.0,40.0,5120.0,8.533333333333335,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;1;0;0;1;1;1
400.0,0.05,6,looks16_corr,fusion,0.4,0.0,0.0,0.05,8.0,48.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;0;0;0;1;1;1
400.0,0.05,6,looks16_capacitated,fusion,0.4,0.0,0.0,0.05,8.0,48.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;0;1;0;0;1;1
400.0,0.05,6,looks16_corr_capacitated,fusion,0.4,0.0,0.0,0.05,8.0,48.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;0;0;0;1;1;1
400.0,0.05,6,looks16_budget,budget,0.5,0.0,0.0,0.05,16.0,90.0,10240.0,17.06666666666667,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;1;0;1;0;1;0;0;1;1
400.0,0.05,6,looks16_pfa10,roc,0.3,0.0,0.0,0.09666666666666666,8.0,46.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;0;1;0;0;0;0;1;1
400.0,0.05,6,looks16_power,power,0.5,0.0,1.0,0.056666666666666664,8.0,45.0,5120.0,8.533333333333335,16,0.4000000000000001,0.33166247903553997,6.000000000000001,42.42814269999508,1;0;0;1;0;0;0;1;1;1
400.0,0.05,6,looks64_power,power,0.7,0.0,1.0,0.06666666666666667,8.0,41.0,5120.0,8.533333333333335,64,0.37000000000000005,0.2993325909419152,5.550000000000001,35.33297960006166,1;1;0;1;0;1;0;1;1;1
400.0,0.05,12,looks16,looks,0.9,0.0,1.0,0.06,8.0,42.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;1;1;1;1;1
400.0,0.05,12,looks32,looks,0.8,0.0,1.0,0.05333333333333334,8.0,38.0,5120.0,8.533333333333335,32,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;1;1;1;0;1
400.0,0.05,12,looks64,looks,0.8,0.0,1.0,0.08333333333333333,8.0,32.0,5120.0,8.533333333333335,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;1;1;1;0;1
400.0,0.05,12,looks128,looks,0.9,0.0,1.0,0.07666666666666666,8.0,27.0,5120.0,8.533333333333335,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;1;1;1;1;1
400.0,0.05,12,looks16_corr,fusion,0.7,0.0,1.0,0.05333333333333334,8.0,42.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;0;0;1;1;1
400.0,0.05,12,looks16_capacitated,fusion,0.9,0.0,1.0,0.06,8.0,42.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;1;1;1;1;1
400.0,0.05,12,looks16_corr_capacitated,fusion,0.7,0.0,1.0,0.05333333333333334,8.0,42.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;0;0;1;1;1
400.0,0.05,12,looks16_budget,budget,0.9,0.0,1.0,0.056666666666666664,16.0,76.0,10240.0,17.06666666666667,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;1;1;1;1;1
400.0,0.05,12,looks16_pfa10,roc,0.8,0.0,1.0,0.10666666666666667,8.0,38.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;1;1;1;0;1
400.0,0.05,12,looks16_power,power,0.8,0.0,1.0,0.04,8.0,40.0,5120.0,8.533333333333335,16,0.4000000000000001,0.33166247903553997,6.000000000000001,36.96291460003704,1;1;1;0;1;1;1;1;0;1
400.0,0.05,12,looks64_power,power,0.8,0.0,1.0,0.05,8.0,35.0,5120.0,8.533333333333335,64,0.38000000000000006,0.28035691537752366,5.700000000000001,32.83944400004111,1;1;1;0;1;1;1;1;0;1
