trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,joint_mean_predicted_pd,c2f_mean_predicted_pd,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets
0,0,-0.23311658924713136,-0.23430744318130595,-0.23430744318130603,0.0011908539341745905,8.326672684688674e-17,0.0011908539341746738,912,28224,0.3427937813406918,0.3413458641585973,0,0,"[0, 3]","[[[1, 0]], [[0, 3], [1, 3], [2, 3]]]","[1, 3]","[[[0, 1]], [[1, 3], [2, 3], [0, 3]]]"
0,1,-0.21038613614742196,-0.21038613614742196,-0.21038613614742196,0.0,0.0,0.0,4848,28224,0.44051007512024765,0.44051007512024765,1,1,"[0, 3]","[[[0, 1], [1, 0]], [[1, 3], [2, 3]]]","[1, 3]","[[[0, 1], [1, 0]], [[1, 3], [2, 3]]]"
0,2,-0.21038613614742196,-0.21038613614742196,-0.21038613614742196,0.0,0.0,0.0,9840,28224,0.44051007512024765,0.44051007512024765,1,1,"[0, 3]","[[[0, 1], [1, 0]], [[1, 3], [2, 3]]]","[1, 3]","[[[0, 1], [1, 0]], [[1, 3], [2, 3]]]"
0,4,-0.21038613614742196,-0.21038613614742196,-0.21038613614742196,0.0,0.0,0.0,12224,28224,0.44051007512024765,0.44051007512024765,1,1,"[0, 3]","[[[0, 1], [1, 0]], [[1, 3], [2, 3]]]","[1, 3]","[[[0, 1], [1, 0]], [[1, 3], [2, 3]]]"
1,0,0.20718376127074672,0.20718376127074672,0.20718376127074672,0.0,0.0,0.0,912,28224,0.3650707059193525,0.3650707059193525,0,0,"[2, 1]","[[[1, 2], [3, 2]], [[0, 1], [3, 1]]]","[2, 1]","[[[3, 2], [1, 2]], [[0, 1], [3, 1]]]"
1,1,0.25493761983918306,0.25493761983918306,0.25493761983918306,0.0,0.0,0.0,4848,28224,0.3917002169008966,0.3917002169008966,1,1,"[2, 1]","[[[2, 3], [3, 2]], [[0, 1], [3, 1]]]","[2, 1]","[[[2, 3], [3, 2]], [[0, 1], [3, 1]]]"
1,2,0.25493761983918306,0.25493761983918306,0.25493761983918306,0.0,0.0,0.0,9840,28224,0.3917002169008966,0.3917002169008966,1,1,"[2, 1]","[[[2, 3], [3, 2]], [[0, 1], [3, 1]]]","[2, 1]","[[[2, 3], [3, 2]], [[0, 1], [3, 1]]]"
1,4,0.25493761983918306,0.25493761983918306,0.25493761983918306,0.0,0.0,0.0,12224,28224,0.3917002169008966,0.3917002169008966,1,1,"[2, 1]","[[[2, 3], [3, 2]], [[0, 1], [3, 1]]]","[2, 1]","[[[2, 3], [3, 2]], [[0, 1], [3, 1]]]"
2,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,361201,0.9739285651350942,0.9947324382163494,0,0,"[1, 0]","[[[2, 1]], [[1, 0]]]","[1, 1]","[[[3, 1]], [[2, 1]]]"
2,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,8784,361201,0.9739285651350942,0.9947324382163494,0,0,"[1, 0]","[[[2, 1]], [[1, 0]]]","[1, 1]","[[[3, 1]], [[2, 1]]]"
2,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,31944,361201,0.9739285651350942,0.9947324382163494,0,0,"[1, 0]","[[[2, 1]], [[1, 0]]]","[1, 1]","[[[3, 1]], [[2, 1]]]"
2,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,69889,361201,0.9739285651350942,0.9947324382163494,0,0,"[1, 0]","[[[2, 1]], [[1, 0]]]","[1, 1]","[[[3, 1]], [[2, 1]]]"
3,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,28224,0.9842004561090425,0.9842004561090425,0,0,"[1, 1]","[[[2, 1]], [[2, 1]]]","[1, 1]","[[[2, 1]], [[2, 1]]]"
3,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,4848,28224,0.9842004561090425,0.9842004561090425,0,0,"[1, 1]","[[[2, 1]], [[2, 1]]]","[1, 1]","[[[2, 1]], [[2, 1]]]"
3,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,9840,28224,0.9842004561090425,0.9842004561090425,0,0,"[1, 1]","[[[2, 1]], [[2, 1]]]","[1, 1]","[[[2, 1]], [[2, 1]]]"
3,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,12224,28224,0.9842004561090425,0.9842004561090425,0,0,"[1, 1]","[[[2, 1]], [[2, 1]]]","[1, 1]","[[[2, 1]], [[2, 1]]]"
4,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,361201,0.9952905614694533,0.9993949273385212,0,0,"[0, 1]","[[[2, 0]], [[2, 1]]]","[2, 1]","[[[0, 2]], [[3, 1]]]"
4,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,8784,361201,0.9952905614694533,0.9993949273385212,0,0,"[0, 1]","[[[2, 0]], [[2, 1]]]","[2, 1]","[[[0, 2]], [[3, 1]]]"
4,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,31944,361201,0.9952905614694533,0.9993949273385212,0,0,"[0, 1]","[[[2, 0]], [[2, 1]]]","[2, 1]","[[[0, 2]], [[3, 1]]]"
4,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,69889,361201,0.9952905614694533,0.9993949273385212,0,0,"[0, 1]","[[[2, 0]], [[2, 1]]]","[2, 1]","[[[0, 2]], [[3, 1]]]"
5,0,0.44899436285789995,0.4487430807443901,0.4487430807443903,0.000251282113509832,-1.6653345369377348e-16,0.00025128211350966545,912,361201,0.6234040980980347,0.6203126703231481,0,0,"[0, 2]","[[[1, 0]], [[0, 2], [1, 2], [3, 2]]]","[1, 2]","[[[0, 1]], [[3, 2], [0, 2], [1, 2]]]"
5,1,0.6126455037205624,0.6123635265087894,0.6123635265087892,0.00028197721177292134,2.220446049250313e-16,0.0002819772117731434,8784,361201,0.6557248758596039,0.6526334480847173,1,1,"[0, 2]","[[[1, 0]], [[0, 2], [2, 3], [3, 2]]]","[1, 2]","[[[0, 1]], [[3, 2], [2, 3], [0, 2]]]"
5,2,0.6153943656808475,0.6151103387081216,0.6151103387081216,0.0002840269727258926,0.0,0.0002840269727258926,31944,361201,0.6572938190747484,0.6542023912998618,2,2,"[0, 2]","[[[1, 0]], [[2, 0], [2, 3], [3, 2]]]","[1, 2]","[[[0, 1]], [[3, 2], [2, 3], [2, 0]]]"
5,4,0.6153943656808475,0.6151103387081216,0.6151103387081216,0.0002840269727258926,0.0,0.0002840269727258926,69889,361201,0.6572938190747484,0.6542023912998618,2,2,"[0, 2]","[[[1, 0]], [[2, 0], [2, 3], [3, 2]]]","[1, 2]","[[[0, 1]], [[3, 2], [2, 3], [2, 0]]]"
6,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,118336,0.9868482272328566,0.9868143694697074,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[2, 0]]]","[2, 2]","[[[0, 2], [1, 2]], [[0, 2]]]"
6,1,1.7613705638880106,1.7613705638880106,1.7560372305546772,0.0,0.005333333333333412,0.005333333333333412,6816,118336,0.9868482272328566,0.988362281745518,1,0,"[2, 0]","[[[0, 2], [1, 2]], [[2, 0]]]","[2, 2]","[[[2, 0], [0, 2]], [[0, 2]]]"
6,2,1.7613705638880106,1.7613705638880106,1.7560372305546772,0.0,0.005333333333333412,0.005333333333333412,19416,118336,0.9868482272328566,0.988362281745518,1,0,"[2, 0]","[[[0, 2], [1, 2]], [[2, 0]]]","[2, 2]","[[[2, 0], [0, 2]], [[0, 2]]]"
6,4,1.7613705638880106,1.7613705638880106,1.7560372305546772,0.0,0.005333333333333412,0.005333333333333412,32640,118336,0.9868482272328566,0.988362281745518,1,0,"[2, 0]","[[[0, 2], [1, 2]], [[2, 0]]]","[2, 2]","[[[2, 0], [0, 2]], [[0, 2]]]"
7,0,1.2262305688945847,1.2262305688945847,1.226230568894585,0.0,-2.220446049250313e-16,-2.220446049250313e-16,912,28224,0.8182399856127172,0.8182399856127172,0,0,"[1, 0]","[[[0, 1], [2, 1], [3, 1]], [[3, 0]]]","[1, 0]","[[[3, 1], [2, 1], [0, 1]], [[3, 0]]]"
7,1,1.2313966137906898,1.2313966137906898,1.226230568894585,0.0,0.005166044896104838,0.005166044896104838,4848,28224,0.8205931906601447,0.8182399856127172,0,1,"[1, 0]","[[[1, 2], [2, 1], [3, 1]], [[3, 0]]]","[1, 0]","[[[3, 1], [2, 1], [0, 1]], [[3, 0]]]"
7,2,1.2313966137906898,1.2313966137906898,1.226230568894585,0.0,0.005166044896104838,0.005166044896104838,9840,28224,0.8205931906601447,0.8182399856127172,0,1,"[1, 0]","[[[1, 2], [2, 1], [3, 1]], [[3, 0]]]","[1, 0]","[[[3, 1], [2, 1], [0, 1]], [[3, 0]]]"
7,4,1.2313966137906898,1.2313966137906898,1.226230568894585,0.0,0.005166044896104838,0.005166044896104838,12224,28224,0.8205931906601447,0.8182399856127172,0,1,"[1, 0]","[[[1, 2], [2, 1], [3, 1]], [[3, 0]]]","[1, 0]","[[[3, 1], [2, 1], [0, 1]], [[3, 0]]]"
8,0,1.4364443640680036,1.4364443640680036,1.4364443640680036,0.0,0.0,0.0,912,361201,0.8705069512138747,0.8705069512138747,0,0,"[2, 1]","[[[3, 2]], [[0, 1], [2, 1], [3, 1]]]","[2, 1]","[[[3, 2]], [[3, 1], [0, 1], [2, 1]]]"
8,1,1.5521799696715635,1.5521799696715635,1.541382108910177,0.0,0.010797860761386557,0.010797860761386557,8784,361201,0.9025217492179242,0.8994943433429741,1,1,"[2, 1]","[[[3, 2]], [[0, 1], [1, 3], [3, 1]]]","[2, 1]","[[[3, 2]], [[3, 1], [1, 3], [2, 1]]]"
8,2,1.5725743571098347,1.5575856016889071,1.541382108910177,0.01498875542092759,0.016203492778730233,0.031192248199657824,31944,361201,0.9099163053587663,0.8994943433429741,1,2,"[2, 3]","[[[3, 2]], [[0, 1], [1, 3], [3, 1]]]","[2, 1]","[[[3, 2]], [[3, 1], [1, 3], [2, 1]]]"
8,4,1.5725743571098347,1.5575856016889071,1.541382108910177,0.01498875542092759,0.016203492778730233,0.031192248199657824,69889,361201,0.9099163053587663,0.8994943433429741,1,2,"[2, 3]","[[[3, 2]], [[0, 1], [1, 3], [3, 1]]]","[2, 1]","[[[3, 2]], [[3, 1], [1, 3], [2, 1]]]"
9,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,361201,0.998077705916049,0.9981270800651436,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[0, 1]","[[[2, 0]], [[0, 1]]]"
9,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,8784,361201,0.998077705916049,0.9981270800651436,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[0, 1]","[[[2, 0]], [[0, 1]]]"
9,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,31944,361201,0.998077705916049,0.9981270800651436,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[0, 1]","[[[2, 0]], [[0, 1]]]"
9,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,69889,361201,0.998077705916049,0.9981270800651436,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[0, 1]","[[[2, 0]], [[0, 1]]]"
10,0,-0.04910936059308196,-0.04910936059308196,-0.04910936059308196,0.0,0.0,0.0,912,361201,0.5634539891554404,0.5634539891554404,0,0,"[0, 0]","[[[1, 0], [2, 0], [3, 0]], [[2, 0]]]","[0, 0]","[[[2, 0], [1, 0], [3, 0]], [[2, 0]]]"
10,1,0.019656407025409182,0.019656407025409182,0.019656407025409182,0.0,0.0,0.0,8784,361201,0.5765359196386379,0.5765359196386379,1,1,"[0, 0]","[[[0, 2], [1, 0], [2, 0]], [[2, 0]]]","[0, 0]","[[[2, 0], [0, 2], [1, 0]], [[2, 0]]]"
10,2,0.019656407025409182,0.019656407025409182,0.019656407025409182,0.0,0.0,0.0,31944,361201,0.5765359196386379,0.5765359196386379,1,1,"[0, 0]","[[[0, 2], [1, 0], [2, 0]], [[2, 0]]]","[0, 0]","[[[2, 0], [0, 2], [1, 0]], [[2, 0]]]"
10,4,0.019656407025409182,0.019656407025409182,0.019656407025409182,0.0,0.0,0.0,69889,361201,0.5765359196386379,0.5765359196386379,1,1,"[0, 0]","[[[0, 2], [1, 0], [2, 0]], [[2, 0]]]","[0, 0]","[[[2, 0], [0, 2], [1, 0]], [[2, 0]]]"
11,0,-0.1315330059021759,-0.1408945933680456,-0.1408945933680456,0.009361587465869708,0.0,0.009361587465869708,912,158404,0.5012091882694677,0.4995821627137347,0,0,"[0, 3]","[[[1, 0]], [[0, 3], [1, 3], [2, 3]]]","[0, 0]","[[[1, 0]], [[2, 0], [1, 0], [3, 0]]]"
11,1,-0.12156003036076035,-0.12156003036076035,-0.12156003036076041,0.0,5.551115123125783e-17,5.551115123125783e-17,6816,158404,0.5038736157579716,0.5038736157579716,1,1,"[0, 0]","[[[1, 0]], [[0, 2], [1, 0], [2, 0]]]","[0, 0]","[[[1, 0]], [[2, 0], [0, 2], [1, 0]]]"
11,2,-0.12156003036076035,-0.12156003036076035,-0.12156003036076041,0.0,5.551115123125783e-17,5.551115123125783e-17,20784,158404,0.5038736157579716,0.5038736157579716,1,1,"[0, 0]","[[[1, 0]], [[0, 2], [1, 0], [2, 0]]]","[0, 0]","[[[1, 0]], [[2, 0], [0, 2], [1, 0]]]"
11,4,-0.12156003036076035,-0.12156003036076035,-0.12156003036076041,0.0,5.551115123125783e-17,5.551115123125783e-17,38229,158404,0.5038736157579716,0.5038736157579716,1,1,"[0, 0]","[[[1, 0]], [[0, 2], [1, 0], [2, 0]]]","[0, 0]","[[[1, 0]], [[2, 0], [0, 2], [1, 0]]]"
12,0,1.4928564677286744,1.474043699919426,1.474043699919426,0.018812767809248454,0.0,0.018812767809248454,912,158404,0.8437960258835244,0.8385001978502122,0,0,"[1, 2]","[[[2, 1], [3, 1]], [[0, 2], [3, 2]]]","[3, 2]","[[[1, 3], [0, 3]], [[3, 2], [0, 2]]]"
12,1,1.6785489563262366,1.6785489563262366,1.6785489563262366,0.0,0.0,0.0,6816,158404,0.912066435887571,0.912066435887571,1,1,"[1, 2]","[[[1, 3], [3, 1]], [[0, 2], [3, 2]]]","[3, 2]","[[[3, 1], [1, 3]], [[3, 2], [0, 2]]]"
12,2,1.7011616172775899,1.7011616172775899,1.7011616172775899,0.0,0.0,0.0,20784,158404,0.9261978674572651,0.9261978674572651,2,2,"[1, 2]","[[[1, 3], [3, 1]], [[2, 3], [3, 2]]]","[3, 2]","[[[3, 1], [1, 3]], [[3, 2], [2, 3]]]"
12,4,1.7011616172775899,1.7011616172775899,1.7011616172775899,0.0,0.0,0.0,38229,158404,0.9261978674572651,0.9261978674572651,2,2,"[1, 2]","[[[1, 3], [3, 1]], [[2, 3], [3, 2]]]","[3, 2]","[[[3, 1], [1, 3]], [[3, 2], [2, 3]]]"
13,0,1.5736822486063313,1.5736822486063313,1.5736822486063313,0.0,0.0,0.0,912,28224,0.8749437608526061,0.8749437608526061,0,0,"[3, 3]","[[[0, 3], [2, 3]], [[1, 3], [2, 3]]]","[3, 3]","[[[2, 3], [0, 3]], [[2, 3], [1, 3]]]"
13,1,1.5736822486063313,1.5736822486063313,1.5736822486063313,0.0,0.0,0.0,4848,28224,0.8749437608526061,0.8749437608526061,0,0,"[3, 3]","[[[0, 3], [2, 3]], [[1, 3], [2, 3]]]","[3, 3]","[[[2, 3], [0, 3]], [[2, 3], [1, 3]]]"
13,2,1.5736822486063313,1.5736822486063313,1.5736822486063313,0.0,0.0,0.0,9840,28224,0.8749437608526061,0.8749437608526061,0,0,"[3, 3]","[[[0, 3], [2, 3]], [[1, 3], [2, 3]]]","[3, 3]","[[[2, 3], [0, 3]], [[2, 3], [1, 3]]]"
13,4,1.5736822486063313,1.5736822486063313,1.5736822486063313,0.0,0.0,0.0,12224,28224,0.8749437608526061,0.8749437608526061,0,0,"[3, 3]","[[[0, 3], [2, 3]], [[1, 3], [2, 3]]]","[3, 3]","[[[2, 3], [0, 3]], [[2, 3], [1, 3]]]"
14,0,1.3176629749542363,1.3176629749542363,1.3176629749542363,0.0,0.0,0.0,912,263169,0.8416760165718475,0.8416760165718475,0,0,"[2, 2]","[[[0, 2], [1, 2], [3, 2]], [[3, 2]]]","[2, 2]","[[[3, 2], [1, 2], [0, 2]], [[3, 2]]]"
14,1,1.4881004200254668,1.4881004200254668,1.4881004200254668,0.0,0.0,0.0,7800,263169,0.8848611262484682,0.8848611262484682,1,1,"[2, 2]","[[[1, 2], [2, 3], [3, 2]], [[3, 2]]]","[2, 2]","[[[3, 2], [2, 3], [1, 2]], [[3, 2]]]"
14,2,1.4881004200254668,1.4881004200254668,1.4881004200254668,0.0,0.0,0.0,26166,263169,0.8848611262484682,0.8848611262484682,1,1,"[2, 2]","[[[1, 2], [2, 3], [3, 2]], [[3, 2]]]","[2, 2]","[[[3, 2], [2, 3], [1, 2]], [[3, 2]]]"
14,4,1.4881004200254668,1.4881004200254668,1.4881004200254668,0.0,0.0,0.0,54017,263169,0.8848611262484682,0.8848611262484682,1,1,"[2, 2]","[[[1, 2], [2, 3], [3, 2]], [[3, 2]]]","[2, 2]","[[[3, 2], [2, 3], [1, 2]], [[3, 2]]]"
15,0,1.6393809733562315,1.6393809733562315,1.6393809733562315,0.0,0.0,0.0,912,118336,0.9257419439330401,0.9257419439330401,0,0,"[2, 0]","[[[0, 2], [1, 2], [3, 2]], [[3, 0]]]","[2, 0]","[[[3, 2], [0, 2], [1, 2]], [[3, 0]]]"
15,1,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,6816,118336,0.9753325682129251,0.9753325682129251,1,1,"[2, 0]","[[[0, 2], [2, 3], [3, 2]], [[3, 0]]]","[2, 0]","[[[3, 2], [2, 3], [0, 2]], [[3, 0]]]"
15,2,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,19416,118336,0.9753325682129251,0.9753325682129251,1,1,"[2, 0]","[[[0, 2], [2, 3], [3, 2]], [[3, 0]]]","[2, 0]","[[[3, 2], [2, 3], [0, 2]], [[3, 0]]]"
15,4,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,32640,118336,0.9753325682129251,0.9753325682129251,1,1,"[2, 0]","[[[0, 2], [2, 3], [3, 2]], [[3, 0]]]","[2, 0]","[[[3, 2], [2, 3], [0, 2]], [[3, 0]]]"
16,0,1.5562471476717024,1.5562471476717024,1.5562471476717024,0.0,0.0,0.0,912,118336,0.8834890872099372,0.8834890872099372,0,0,"[1, 2]","[[[0, 1], [2, 1], [3, 1]], [[3, 2]]]","[1, 2]","[[[3, 1], [0, 1], [2, 1]], [[3, 2]]]"
16,1,1.5562471476717024,1.5562471476717024,1.5562471476717024,0.0,0.0,0.0,6816,118336,0.8834890872099372,0.8834890872099372,0,0,"[1, 2]","[[[0, 1], [2, 1], [3, 1]], [[3, 2]]]","[1, 2]","[[[3, 1], [0, 1], [2, 1]], [[3, 2]]]"
16,2,1.5562471476717024,1.5562471476717024,1.5562471476717024,0.0,0.0,0.0,19416,118336,0.8834890872099372,0.8834890872099372,0,0,"[1, 2]","[[[0, 1], [2, 1], [3, 1]], [[3, 2]]]","[1, 2]","[[[3, 1], [0, 1], [2, 1]], [[3, 2]]]"
16,4,1.5562471476717024,1.5562471476717024,1.5562471476717024,0.0,0.0,0.0,32640,118336,0.8834890872099372,0.8834890872099372,0,0,"[1, 2]","[[[0, 1], [2, 1], [3, 1]], [[3, 2]]]","[1, 2]","[[[3, 1], [0, 1], [2, 1]], [[3, 2]]]"
17,0,-0.012880110030938141,-0.012880110030938141,-0.012880110030938141,0.0,0.0,0.0,912,158404,0.556112003620846,0.5564615049648359,0,0,"[1, 0]","[[[0, 1], [2, 1], [3, 1]], [[3, 0]]]","[1, 3]","[[[3, 1], [2, 1], [0, 1]], [[0, 3]]]"
17,1,0.03451640541008968,0.03451640541008968,0.01428752962831511,0.0,0.02022887578177457,0.02022887578177457,6816,158404,0.5654528064367409,0.5622111142173652,1,1,"[1, 0]","[[[1, 3], [2, 1], [3, 1]], [[3, 0]]]","[1, 3]","[[[3, 1], [2, 1], [2, 3]], [[0, 3]]]"
17,2,0.03451640541008968,0.03451640541008968,0.0345164054100899,0.0,-2.220446049250313e-16,-2.220446049250313e-16,20784,158404,0.5654528064367409,0.5658023077807308,1,1,"[1, 0]","[[[1, 3], [2, 1], [3, 1]], [[3, 0]]]","[1, 3]","[[[3, 1], [1, 3], [2, 1]], [[0, 3]]]"
17,4,0.03451640541008968,0.03451640541008968,0.0345164054100899,0.0,-2.220446049250313e-16,-2.220446049250313e-16,38229,158404,0.5654528064367409,0.5658023077807308,1,1,"[1, 0]","[[[1, 3], [2, 1], [3, 1]], [[3, 0]]]","[1, 3]","[[[3, 1], [1, 3], [2, 1]], [[0, 3]]]"
18,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,10000,0.9773660326226498,0.9775018739223835,0,0,"[0, 2]","[[[1, 0]], [[3, 2]]]","[1, 2]","[[[0, 1]], [[3, 2]]]"
18,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,2880,10000,0.9773660326226498,0.9775018739223835,0,0,"[0, 2]","[[[1, 0]], [[3, 2]]]","[1, 2]","[[[0, 1]], [[3, 2]]]"
18,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,4584,10000,0.9773660326226498,0.9775018739223835,0,0,"[0, 2]","[[[1, 0]], [[3, 2]]]","[1, 2]","[[[0, 1]], [[3, 2]]]"
18,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,5212,10000,0.9773660326226498,0.9775018739223835,0,0,"[0, 2]","[[[1, 0]], [[3, 2]]]","[1, 2]","[[[0, 1]], [[3, 2]]]"
19,0,-0.25662394745491734,-0.25838070408523706,-0.2583807040852373,0.0017567566303197113,2.220446049250313e-16,0.0017567566303199333,912,28224,0.5363756865898353,0.536069571040272,0,0,"[0, 1]","[[[1, 0], [2, 0], [3, 0]], [[3, 1]]]","[1, 3]","[[[0, 1], [3, 1], [2, 1]], [[1, 3]]]"
19,1,-0.25662394745491734,-0.25838070408523706,-0.2583807040852373,0.0017567566303197113,2.220446049250313e-16,0.0017567566303199333,4848,28224,0.5363756865898353,0.536069571040272,0,0,"[0, 1]","[[[1, 0], [2, 0], [3, 0]], [[3, 1]]]","[1, 3]","[[[0, 1], [3, 1], [2, 1]], [[1, 3]]]"
19,2,-0.25662394745491734,-0.25838070408523706,-0.2583807040852373,0.0017567566303197113,2.220446049250313e-16,0.0017567566303199333,9840,28224,0.5363756865898353,0.536069571040272,0,0,"[0, 1]","[[[1, 0], [2, 0], [3, 0]], [[3, 1]]]","[1, 3]","[[[0, 1], [3, 1], [2, 1]], [[1, 3]]]"
19,4,-0.25662394745491734,-0.25838070408523706,-0.2583807040852373,0.0017567566303197113,2.220446049250313e-16,0.0017567566303199333,12224,28224,0.5363756865898353,0.536069571040272,0,0,"[0, 1]","[[[1, 0], [2, 0], [3, 0]], [[3, 1]]]","[1, 3]","[[[0, 1], [3, 1], [2, 1]], [[1, 3]]]"
20,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,1430416,0.9998904791364267,0.9998908771789812,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[1, 0]","[[[0, 1]], [[1, 0]]]"
20,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,12720,1430416,0.9998904791364267,0.9998908771789812,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[1, 0]","[[[0, 1]], [[1, 0]]]"
20,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,63120,1430416,0.9998904791364267,0.9998908771789812,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[1, 0]","[[[0, 1]], [[1, 0]]]"
20,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,191376,1430416,0.9998904791364267,0.9998908771789812,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[1, 0]","[[[0, 1]], [[1, 0]]]"
21,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,361201,0.9761853248792771,0.9810710342122855,0,0,"[0, 1]","[[[1, 0]], [[2, 1]]]","[3, 2]","[[[0, 3]], [[1, 2], [3, 2]]]"
21,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,8784,361201,0.9761853248792771,0.9810710342122855,0,0,"[0, 1]","[[[1, 0]], [[2, 1]]]","[3, 2]","[[[0, 3]], [[1, 2], [3, 2]]]"
21,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,31944,361201,0.9761853248792771,0.9810710342122855,0,0,"[0, 1]","[[[1, 0]], [[2, 1]]]","[3, 2]","[[[0, 3]], [[1, 2], [3, 2]]]"
21,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,69889,361201,0.9761853248792771,0.9810710342122855,0,0,"[0, 1]","[[[1, 0]], [[2, 1]]]","[3, 2]","[[[0, 3]], [[1, 2], [3, 2]]]"
22,0,1.7521607269861463,1.7521607269861463,1.7521607269861463,0.0,0.0,0.0,912,118336,0.9700807481707819,0.9700725202835261,0,0,"[0, 0]","[[[1, 0], [2, 0], [3, 0]], [[2, 0]]]","[0, 2]","[[[1, 0], [2, 0], [3, 0]], [[0, 2]]]"
22,1,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,6816,118336,0.9933180473476928,0.9933098194604371,1,1,"[0, 0]","[[[0, 1], [1, 0]], [[2, 0]]]","[0, 2]","[[[1, 0], [0, 1]], [[0, 2]]]"
22,2,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,19416,118336,0.9933180473476928,0.9933098194604371,1,1,"[0, 0]","[[[0, 1], [1, 0]], [[2, 0]]]","[0, 2]","[[[1, 0], [0, 1]], [[0, 2]]]"
22,4,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,32640,118336,0.9933180473476928,0.9933098194604371,1,1,"[0, 0]","[[[0, 1], [1, 0]], [[2, 0]]]","[0, 2]","[[[1, 0], [0, 1]], [[0, 2]]]"
23,0,-0.2695720246716412,-0.2695720246716412,-0.269572024671641,0.0,-2.220446049250313e-16,-2.220446049250313e-16,912,361201,0.5243102264237655,0.5346157559066173,0,0,"[0, 0]","[[[1, 0], [2, 0], [3, 0]], [[2, 0]]]","[0, 2]","[[[3, 0], [1, 0], [2, 0]], [[1, 2]]]"
23,1,-0.2695720246716412,-0.2695720246716412,-0.269572024671641,0.0,-2.220446049250313e-16,-2.220446049250313e-16,8784,361201,0.5243102264237655,0.5346157559066173,0,0,"[0, 0]","[[[1, 0], [2, 0], [3, 0]], [[2, 0]]]","[0, 2]","[[[3, 0], [1, 0], [2, 0]], [[1, 2]]]"
23,2,-0.2695720246716412,-0.2695720246716412,-0.269572024671641,0.0,-2.220446049250313e-16,-2.220446049250313e-16,31944,361201,0.5243102264237655,0.5346157559066173,0,0,"[0, 0]","[[[1, 0], [2, 0], [3, 0]], [[2, 0]]]","[0, 2]","[[[3, 0], [1, 0], [2, 0]], [[1, 2]]]"
