split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,2,1,0,1,30.0,tp_uic_full,tp_uic_full,0.0005622016492218063,37.61301193636684,1,3,14.29690558414004,15.624027045374392,10,0.9570163393415477,21.367751642172554,19.465365870006053,19.465381747374376,3.6226165063298636e-06,4.0971868921196785e-08,4.097171913244932e-08,1.4978874746558183e-13,1.0000102291992035,1.0001447682229805,0.9999968602073458,0.9999948397715945,0.988898459748602,1.0409678195228409e-12,2.5023807085559552e-05,45,5,53.294300534302145
calibration,3,1,0,0,30.0,tp_uic_full,tp_uic_full,0.03067235933752326,34.30609064550826,1,3,25.686866354391622,144.14431289524603,10,0.9980766638852128,146.8283475410309,13.214308853190378,13.214317202546496,1.6917268123897975e-06,8.070479658726725e-08,8.070464143161422e-08,1.5515565303400057e-13,0.9993223843116673,0.9779347311620702,0.9999062335056749,0.9973452118287752,0.9548989575743027,5.027241152501266e-12,6.17691278369958e-05,45,5,53.883853758720164
calibration,3,1,0,1,30.0,tp_uic_full,tp_uic_full,0.022885318888446027,34.319244927126135,1,3,150.12702693049727,291.3639011055974,10,0.998152698059182,147.37513847539842,8.865741307108628,8.865750895058689,1.6968586267383845e-06,2.2032893235458306e-07,2.2032844593337428e-07,4.864212087796464e-13,0.9994892710768524,0.9786732891943379,0.999963995165705,0.99783547546044,0.9566542243181629,5.4049414714505945e-12,2.444906065033761e-05,45,5,58.44411863483658
test,4,1,0,0,30.0,tp_uic_full,tp_uic_full,0.0013961352641574049,26.804977188670435,1,3,1.6742454889746095,42.48679830611975,10,0.999972118687821,42.035999894970004,8.70727593687087,8.707757341684864,3.007591763893827e-07,4.050338248577174e-08,4.049889303368744e-08,4.4894520843012906e-12,1.0000032651342483,1.0280110444834822,0.9999998706267104,0.9999749310995252,0.3606276751740007,1.9570269815444002e-12,4.7580452113127855e-05,45,5,43.868552742222064
test,4,1,0,1,30.0,tp_uic_full,tp_uic_full,0.0014141941045485219,25.939089716907624,1,3,10.47327330062223,35.91860791140626,10,0.9999708321565265,42.03402603199878,11.513788189368086,11.518717880369369,2.4639400662603845e-07,1.738806763260144e-08,1.7368341577302366e-08,1.972605529907335e-11,1.0000496149122724,60.03642169614543,1.0000105493110685,1.0000105493110685,0.3236622982813849,1.9369384507385062e-12,0.00010751911339074564,45,5,30.961426905997378
test,5,1,0,0,30.0,tp_uic_full,tp_uic_full,0.0020313521816477807,33.78626982610607,1,3,2.4894450396574754,10.546605228755176,10,0.9994723011808362,11.85309358400863,17.510850051747767,17.51086623028064,1.500887534463819e-06,2.6623377208929518e-08,2.6623278030515092e-08,9.917841442731377e-14,0.9998116747619077,0.9519506136496476,0.9999190681750881,0.999814815736677,0.9440752148533605,3.999511263764977e-13,1.4673785517733035e-05,45,5,51.21418356642789
test,5,1,0,1,30.0,tp_uic_full,tp_uic_full,0.0027826623300895533,33.80961452654146,1,3,61.316324882894065,75.61681279614069,10,0.9994576544188936,11.849924997966877,10.50808915283788,10.508101604113207,1.5089770013674257e-06,1.3423745363086052e-07,1.342370687710089e-07,3.848598516164251e-13,0.9999239535720266,0.9598879495381099,0.9999368302594142,0.9998126979693629,0.9454105277714735,4.821657098579099e-13,3.574898258471132e-06,45,5,58.253882349960605
test,6,1,0,0,30.0,tp_uic_full,tp_uic_full,0.0013418184182454162,30.714917640508098,1,3,9.6072935783938,26.69090952990696,10,0.9989634625922471,13.326511422662257,14.95993029827899,14.959950406942967,7.399679881193222e-07,2.3616737488220174e-08,2.3616628138468175e-08,1.0934975200051264e-13,1.0000016711457413,0.9999854446320299,0.9999882549833304,0.9988533190133132,0.9878532142041837,5.618973767449598e-13,2.3176423585914648e-05,45,5,50.9034129766082
test,6,1,0,1,30.0,tp_uic_full,tp_uic_full,0.0012481191686198414,30.723258031586816,1,3,88.42445090886866,92.95577473747207,10,0.9989642009986421,13.327097966041148,15.08388179814779,15.083898862620703,7.413904221113084e-07,2.299634372217281e-08,2.2996253364194525e-08,9.035797828282587e-14,0.9999820255682378,1.0000126796557043,0.9999795413314848,0.9997525264664378,0.9895315752893068,4.755835506837307e-13,2.013101180864184e-05,45,5,50.78564014233123
test,7,1,0,0,30.0,tp_uic_full,tp_uic_full,0.0048726860144819445,26.22923530258261,1,3,10.988946066259885,37.91948260824978,10,0.9041550503764169,33.70820318815932,15.297466545862978,15.297935088944499,2.634175452194245e-07,7.778539181880642e-09,7.777700031424617e-09,8.391504560251723e-13,0.9999016057680806,0.8897256789849347,1.0000378290319536,0.9954882010916214,0.9565428622926512,1.6848652022065066e-12,0.00020041166477992087,45,5,43.42323879223419
test,7,1,0,1,30.0,tp_uic_full,tp_uic_full,0.004591303707469748,26.312727311426663,1,3,5.366644240008348,39.25770326353313,10,0.9043399139915193,33.73016416517814,13.188811879903406,13.188990201363566,2.6853067228900196e-07,1.2885839306454152e-08,1.2885310224321501e-08,5.290821326505976e-13,1.0001052889269328,0.9140274445309842,1.0000710770517156,0.9956633088768296,0.9477669085069487,2.0470835804934376e-12,0.0001515003470565128,45,5,45.51564598891335
test,8,1,0,0,30.0,tp_uic_full,tp_uic_full,0.23448012674972038,28.60448061562667,1,3,54.13331646284804,92.94961471471245,10,0.9502613523651914,163.56060456474765,14.289780869275077,14.28981525278585,4.5516538783182036e-07,1.6950836802220012e-08,1.6950702601350116e-08,1.3420086989484046e-13,1.000457612417722,0.9998194857305036,0.9999646473063508,0.9903722020249914,0.9508126797544733,3.730498009252895e-12,0.00021231656957316613,44,5,49.29146149923031
test,8,1,0,1,30.0,tp_uic_full,tp_uic_full,0.3058536279328264,29.206794871260556,1,3,335.49232893487357,518.8933274892493,10,0.9500205704233207,164.5586491928036,10.140865293251126,10.140881830150041,5.228783440653381e-07,5.061906580284352e-08,5.0618873057870814e-08,1.9274497270756394e-13,1.000672115659243,1.0005530714028572,0.9999991511016914,0.9916222109648307,0.9556808811364679,3.390350548884081e-12,6.62018795870111e-05,44,5,54.01540491260444
test,9,1,0,0,30.0,tp_uic_full,tp_uic_full,0.001200356684652332,27.47605857471899,1,3,8.669255943334075,17.088892204077947,10,0.9893156692710495,23.659063717653584,13.866607254143641,13.866712828594348,3.510160909736362e-07,1.4410076953265253e-08,1.4409726656972955e-08,3.502962922976788e-13,1.0000722000983084,1.0002781570383805,0.9999999905837096,0.9999829171237944,0.9663378941728898,9.607200434311158e-13,6.389190832262225e-05,45,5,48.653799266703324
test,9,1,0,1,30.0,tp_uic_full,tp_uic_full,0.001051060361164287,26.529978432010136,1,3,3.9230903610018277,11.545563966935909,10,0.9893077084572894,23.658973288990147,14.218021174106621,14.218096294178524,2.823052866950048e-07,1.0688503253927939e-08,1.0688318376103698e-08,1.848778242403647e-13,1.00000247563037,1.0002010391526654,0.9999985811925344,0.9999839433137383,0.9638544994905871,9.579368155655015e-13,8.465233024647467e-05,45,5,47.3450624445998
