method,experiment_seed,trial,candidate_columns,exact_over_columns,power_externality_model,worst_detection_deficit,total_detection_deficit,pd_design_target,network_evidence_loss,worst_evidence_retention,total_energy,remote_reports,cpu_cycles,receiver_cpu_cycles,fusion_cpu_cycles,max_uav_cpu_cycles,worst_pd,mean_pd,max_pfa,mean_pfa,design_worst_pd,design_mean_pd,target_rcs_m2,fusion_candidate_limit,heldout_worst_pd,heldout_mean_pd,heldout_scenario_pfa_mean,heldout_max_pfa,lossless_heldout_worst_pd,lossless_heldout_mean_pd,lossless_worst_pd_headroom,columns
fixed_nominal_global,20250915,0,288,True,full_load_envelope,0.56328125,1.4441406249999997,0.97,3.125090316524748e-05,0.9999915730193781,480.0,13.0,1110.0,1080.0,30.0,254.0,0.38671875,0.817822265625,0.0712890625,0.0487548828125,0.38671875,0.817822265625,0.05,3,0.3538818359375,0.81163330078125,0.0506500244140625,0.064697265625,0.3538818359375,0.81163330078125,0.0,"[{""target"":0,""fusion"":0,""robust_pd"":0.8525390625,""robust_information"":3.708402952013332,""generated_information"":[14.727796542632987,27.13797047330698,11.936875178402378,3.7084342029164974],""network_evidence_loss"":3.125090316524748e-05,""robust_evidence_retention"":0.9999915730193781,""receiver_cpu_cycles"":[0.0,108.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0],""fusion_cpu_cycles"":5.0,""bundle"":[[12,1,""nominal""],[1,12,""nominal""],[14,1,""nominal""],[1,6,""nominal""],[2,1,""nominal""]]},{""target"":1,""fusion"":5,""robust_pd"":0.91357421875,""robust_information"":5.4650138749714365,""generated_information"":[29.482545468675966,35.378161015772974,9.735324489556684,5.4650138749714365],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""bundle"":[[2,5,""nominal""]]},{""target"":2,""fusion"":1,""robust_pd"":0.97802734375,""robust_information"":8.321693546612423,""generated_information"":[11.931647615810945,8.321693546612423,12.645254768592565,12.634598630461245],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[6,1,""nominal""],[14,1,""nominal""]]},{""target"":3,""fusion"":6,""robust_pd"":0.8154296875,""robust_information"":3.709683779751529,""generated_information"":[17.221544249585584,42.95996742716103,23.973639088066605,3.709683779751529],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[36.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":3.0,""bundle"":[[12,6,""nominal""],[4,6,""nominal""],[6,0,""nominal""]]},{""target"":4,""fusion"":5,""robust_pd"":0.392578125,""robust_information"":0.7695079854524998,""generated_information"":[0.7695079854524998,1.5861383079193225,1.7012127306581315,1.0932553074424274],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0],""fusion_cpu_cycles"":5.0,""bundle"":[[4,5,""nominal""],[2,5,""nominal""],[7,5,""nominal""],[5,11,""nominal""],[9,5,""nominal""]]},{""target"":5,""fusion"":14,""robust_pd"":0.99609375,""robust_information"":12.44238278278039,""generated_information"":[59.708047107611925,27.470188394628515,12.44238278278039,43.24034669913887],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0],""fusion_cpu_cycles"":2.0,""bundle"":[[12,1,""nominal""],[12,14,""nominal""]]},{""target"":6,""fusion"":2,""robust_pd"":0.89501953125,""robust_information"":5.136396301274274,""generated_information"":[5.136396301274274,16.60573140645665,18.402987356931067,8.26760117315748],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0],""fusion_cpu_cycles"":3.0,""bundle"":[[2,12,""nominal""],[12,2,""nominal""],[13,2,""nominal""]]},{""target"":7,""fusion"":10,""robust_pd"":0.38671875,""robust_information"":0.8580943775156822,""generated_information"":[0.8580943775156822,5.291528582542217,9.638320280456822,3.696642535215618],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":5.0,""bundle"":[[7,10,""nominal""],[2,10,""nominal""],[10,7,""nominal""],[10,2,""nominal""],[3,10,""nominal""]]},{""target"":8,""fusion"":12,""robust_pd"":0.955078125,""robust_information"":7.519610727108736,""generated_information"":[32.30815348680279,7.519610727108736,11.85313141541679,37.15931232330569],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0],""fusion_cpu_cycles"":3.0,""bundle"":[[12,14,""nominal""],[14,1,""nominal""],[14,12,""nominal""]]},{""target"":9,""fusion"":8,""robust_pd"":0.9931640625,""robust_information"":15.021617648853667,""generated_information"":[75.10156336583813,15.021617648853667,51.70247363421376,117.45209453214133],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""bundle"":[[3,8,""nominal""]]}]"
active_modes_global,20250915,0,4032,True,full_load_envelope,0.0,0.0,0.97,6.147078041008442,0.91644308877484,1992.0,9.0,2422.0,2398.0,24.0,826.0,0.9638671875,0.982666015625,0.06787109375,0.05040283203125,0.9638671875,0.982666015625,0.05,3,0.9703369140625,0.98365478515625,0.0494049072265625,0.06494140625,0.9703369140625,0.98406982421875,0.0,"[{""target"":0,""fusion"":1,""robust_pd"":0.99951171875,""robust_information"":12.180086913470582,""generated_information"":[87.05788609106791,153.010509811071,57.09250998625011,12.180086913470582],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""bundle"":[[12,1,""rescue""]]},{""target"":1,""fusion"":5,""robust_pd"":0.99072265625,""robust_information"":9.847870518354,""generated_information"":[24.01082122388054,30.04875574766993,15.373213315871638,9.847870518354],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[2,5,""nominal""],[13,2,""nominal""]]},{""target"":2,""fusion"":6,""robust_pd"":0.98095703125,""robust_information"":10.033052725394924,""generated_information"":[10.033052725394924,10.131510409908765,19.077927156837852,15.012819929262246],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[1,6,""nominal""],[14,1,""nominal""]]},{""target"":3,""fusion"":6,""robust_pd"":0.9853515625,""robust_information"":8.694781616497409,""generated_information"":[39.593821050190094,97.84528343754593,55.08099792355762,8.694781619938654],""network_evidence_loss"":2.517745656405168e-08,""robust_evidence_retention"":0.999999999603295,""receiver_cpu_cycles"":[56.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":3.0,""bundle"":[[12,6,""intensive""],[4,6,""intensive""],[6,0,""intensive""]]},{""target"":4,""fusion"":5,""robust_pd"":0.9638671875,""robust_information"":6.462071621587809,""generated_information"":[6.462071621587809,16.65739930082188,16.557850630279347,6.729521137733759],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":4.0,""bundle"":[[13,5,""rescue""],[4,5,""rescue""],[7,5,""rescue""],[9,5,""rescue""]]},{""target"":5,""fusion"":12,""robust_pd"":0.9990234375,""robust_information"":18.685720622250095,""generated_information"":[34.250829466357885,22.67939724758789,18.685720622250095,26.344959698799357],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[12,1,""nominal""],[2,12,""nominal""]]},{""target"":6,""fusion"":2,""robust_pd"":0.9716796875,""robust_information"":8.426097001480496,""generated_information"":[8.426097001480496,21.888312111049213,26.07737515980383,15.183374264344234],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0],""fusion_cpu_cycles"":3.0,""bundle"":[[2,12,""intensive""],[12,2,""eco""],[13,2,""intensive""]]},{""target"":7,""fusion"":3,""robust_pd"":0.97705078125,""robust_information"":7.607142264363363,""generated_information"":[7.937889946163285,45.38944274377815,84.1233226275655,33.728901970419315],""network_evidence_loss"":6.147078015830985,""robust_evidence_retention"":0.91644308877484,""receiver_cpu_cycles"":[0.0,0.0,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":4.0,""bundle"":[[7,10,""rescue""],[2,10,""rescue""],[10,7,""rescue""],[10,3,""rescue""]]},{""target"":8,""fusion"":1,""robust_pd"":0.97998046875,""robust_information"":8.810100335144991,""generated_information"":[36.04711174288934,8.810100335144991,10.493800695195581,37.510171044976445],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0],""fusion_cpu_cycles"":2.0,""bundle"":[[12,14,""intensive""],[14,1,""nominal""]]},{""target"":9,""fusion"":8,""robust_pd"":0.978515625,""robust_information"":11.21884477721297,""generated_information"":[58.65170016771649,11.21884477721297,39.991537444668865,92.68612866014327],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""bundle"":[[3,8,""nominal""]]}]"
fixed_nominal_global,20355644,0,333,True,full_load_envelope,0.8884765625,4.78974609375,0.97,2.414879764697786e-07,0.9999999151025504,480.0,22.0,1110.0,1080.0,30.0,511.0,0.0615234375,0.47451171875,0.06689453125,0.05201416015625,0.0615234375,0.47451171875,0.05,3,0.0477294921875,0.468505859375,0.0500030517578125,0.0655517578125,0.0477294921875,0.468505859375,0.0,"[{""target"":0,""fusion"":0,""robust_pd"":0.98486328125,""robust_information"":9.542248314544,""generated_information"":[9.542248314544,13.067169275909304,17.019479405248592,10.111409190966242],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,72.0],""fusion_cpu_cycles"":3.0,""bundle"":[[10,14,""nominal""],[9,14,""nominal""],[14,9,""nominal""]]},{""target"":1,""fusion"":8,""robust_pd"":0.09228515625,""robust_information"":0.023926100036659514,""generated_information"":[0.19657152471506478,0.023926100036659514,0.20558265927218766,0.5244497147990033],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""bundle"":[[8,9,""nominal""]]},{""target"":2,""fusion"":9,""robust_pd"":0.0791015625,""robust_information"":0.004955361084224619,""generated_information"":[0.018262029835822896,0.004955361084224619,0.018119769258204466,0.0292200309559405],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[8,9,""nominal""],[13,9,""nominal""]]},{""target"":3,""fusion"":9,""robust_pd"":0.19970703125,""robust_information"":0.26468803471091107,""generated_information"":[0.9072328063489121,0.26468803471091107,1.1752609820197848,1.967712366600895],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[5,9,""nominal""],[8,9,""nominal""]]},{""target"":4,""fusion"":5,""robust_pd"":0.1416015625,""robust_information"":0.1625927683872186,""generated_information"":[0.1625927683872186,0.16425064363733832,1.1380423648486264,1.134101594232754],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[5,9,""nominal""],[9,5,""nominal""]]},{""target"":5,""fusion"":10,""robust_pd"":0.81298828125,""robust_information"":3.578419895122802,""generated_information"":[3.578419895122802,3.6589483510460816,4.021903736855464,4.121937233955931],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,36.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":5.0,""bundle"":[[2,9,""nominal""],[6,9,""nominal""],[5,9,""nominal""],[10,9,""nominal""],[9,10,""nominal""]]},{""target"":6,""fusion"":4,""robust_pd"":0.0615234375,""robust_information"":0.0018030210358288765,""generated_information"":[0.004259516724137463,0.0018030211334524315,0.016194289219262914,0.022272367065034215],""network_evidence_loss"":1.6811021116835967e-09,""robust_evidence_retention"":0.9999999151025504,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[9,13,""nominal""],[13,5,""nominal""]]},{""target"":7,""fusion"":9,""robust_pd"":0.740234375,""robust_information"":2.756398092205176,""generated_information"":[3.1449983732392286,2.888166980536989,2.7563982655566703,3.21740539363817],""network_evidence_loss"":2.0493958485801045e-07,""robust_evidence_retention"":0.9999999363028405,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,36.0],""fusion_cpu_cycles"":3.0,""bundle"":[[1,10,""nominal""],[10,14,""nominal""],[14,10,""nominal""]]},{""target"":8,""fusion"":5,""robust_pd"":0.833984375,""robust_information"":3.8162651630669435,""generated_information"":[3.816265167766563,4.076712679604547,5.350816986509171,5.8910246318650685],""network_evidence_loss"":3.486728950008455e-08,""robust_evidence_retention"":0.9999999920995352,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,72.0,36.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":5.0,""bundle"":[[5,10,""nominal""],[5,9,""nominal""],[9,5,""nominal""],[3,5,""nominal""],[3,9,""nominal""]]},{""target"":9,""fusion"":0,""robust_pd"":0.798828125,""robust_information"":3.629080798795189,""generated_information"":[4.366694768080818,3.629080798795189,6.854108457044714,8.724650499564735],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,144.0],""fusion_cpu_cycles"":5.0,""bundle"":[[10,14,""nominal""],[3,14,""nominal""],[4,14,""nominal""],[9,14,""nominal""],[14,9,""nominal""]]}]"
active_modes_global,20355644,0,4536,True,full_load_envelope,0.84990234375,2.8669921875,0.97,5.542329439833793e-08,0.9999999970268638,4028.0,17.0,4533.0,4504.0,29.0,1978.0,0.10009765625,0.674609375,0.06298828125,0.051123046875,0.10009765625,0.674609375,0.05,3,0.0872802734375,0.6668701171875,0.0508087158203125,0.0634765625,0.0872802734375,0.6668701171875,0.0,"[{""target"":0,""fusion"":10,""robust_pd"":0.98974609375,""robust_information"":8.983559546927337,""generated_information"":[8.983559546927337,51.85736275681652,125.8934325000015,63.32459531892161],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""bundle"":[[14,10,""rescue""]]},{""target"":1,""fusion"":8,""robust_pd"":0.2412109375,""robust_information"":0.3962697151934894,""generated_information"":[2.829494945569386,0.3962697156220933,2.152057916857638,5.925685164883441],""network_evidence_loss"":9.3386542943108e-09,""robust_evidence_retention"":0.999999998294364,""receiver_cpu_cycles"":[0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,36.0,196.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":3.0,""bundle"":[[8,9,""rescue""],[9,8,""nominal""],[8,2,""rescue""]]},{""target"":2,""fusion"":9,""robust_pd"":0.1005859375,""robust_information"":0.03197211742108272,""generated_information"":[0.036228494836370945,0.03197211742108272,0.18844873593081687,0.18085355417801563],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":3.0,""bundle"":[[8,9,""nominal""],[5,9,""intensive""],[13,9,""rescue""]]},{""target"":3,""fusion"":5,""robust_pd"":0.7119140625,""robust_information"":2.4445461932187182,""generated_information"":[8.469306650018916,2.4445461932187182,10.20369742034407,17.45510379806627],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":3.0,""bundle"":[[5,9,""intensive""],[9,5,""rescue""],[8,9,""rescue""]]},{""target"":4,""fusion"":9,""robust_pd"":0.75830078125,""robust_information"":2.805273749053844,""generated_information"":[4.129906135012403,2.805273749053844,13.802072455034526,14.306555844646347],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,588.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":4.0,""bundle"":[[5,9,""rescue""],[9,5,""rescue""],[2,9,""rescue""],[13,9,""rescue""]]},{""target"":5,""fusion"":10,""robust_pd"":0.95751953125,""robust_information"":5.9308449576249265,""generated_information"":[6.174422942969187,5.9308449576249265,38.96310139320482,39.44869735521247],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":3.0,""bundle"":[[2,9,""rescue""],[6,9,""rescue""],[0,9,""rescue""]]},{""target"":6,""fusion"":7,""robust_pd"":0.10009765625,""robust_information"":0.05382671255539902,""generated_information"":[0.05382671255539902,0.05721518855146432,0.32095640044555335,0.3217141700434753],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0],""fusion_cpu_cycles"":4.0,""bundle"":[[5,13,""rescue""],[9,13,""rescue""],[12,13,""rescue""],[7,13,""rescue""]]},{""target"":7,""fusion"":14,""robust_pd"":0.9873046875,""robust_information"":8.580978781539423,""generated_information"":[9.861305735584896,8.580978807051842,14.367088033472031,16.85435326360727],""network_evidence_loss"":2.6137932707115397e-08,""robust_evidence_retention"":0.9999999970268638,""receiver_cpu_cycles"":[0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,196.0],""fusion_cpu_cycles"":3.0,""bundle"":[[1,10,""intensive""],[10,1,""nominal""],[10,14,""rescue""]]},{""target"":8,""fusion"":9,""robust_pd"":0.9208984375,""robust_information"":4.658980315779056,""generated_information"":[4.658980318489753,19.774874796664086,24.4881638387075,9.770548823556807],""network_evidence_loss"":1.9946707396911734e-08,""robust_evidence_retention"":0.99999999906784,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":3.0,""bundle"":[[5,10,""intensive""],[10,5,""rescue""],[5,9,""intensive""]]},{""target"":9,""fusion"":14,""robust_pd"":0.978515625,""robust_information"":7.653480378461706,""generated_information"":[63.268726793990595,7.653480378461706,36.495394972394955,112.14678063484106],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,196.0],""fusion_cpu_cycles"":2.0,""bundle"":[[10,14,""rescue""],[14,10,""rescue""]]}]"
fixed_nominal_global,20460373,0,279,True,full_load_envelope,0.86455078125,4.2626953125,0.97,8.694023279076646e-11,0.9999999999842905,480.0,14.0,1110.0,1080.0,30.0,259.0,0.08544921875,0.52373046875,0.06982421875,0.05308837890625,0.08544921875,0.52373046875,0.05,3,0.0657958984375,0.51146240234375,0.049444580078125,0.06884765625,0.0657958984375,0.51146240234375,0.0,"[{""target"":0,""fusion"":10,""robust_pd"":0.09716796875,""robust_information"":0.010372001907904771,""generated_information"":[0.21658330203052722,0.10519106919739363,0.010372001907904771,0.06252667486190644],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""bundle"":[[12,10,""nominal""]]},{""target"":1,""fusion"":9,""robust_pd"":0.755859375,""robust_information"":2.7617638536669076,""generated_information"":[4.863622805667012,7.446113342145664,3.2741850257822254,2.7617638536669076],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,36.0],""fusion_cpu_cycles"":3.0,""bundle"":[[14,9,""nominal""],[9,14,""nominal""],[9,1,""nominal""]]},{""target"":2,""fusion"":8,""robust_pd"":0.94384765625,""robust_information"":7.5917131801911015,""generated_information"":[7.5917131801911015,41.36236358783758,55.01754269359054,18.216628346037613],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""bundle"":[[14,8,""nominal""]]},{""target"":3,""fusion"":3,""robust_pd"":0.83447265625,""robust_information"":3.520792763373405,""generated_information"":[3.8190370463149086,3.520792763373405,6.297513162671938,8.465528291273698],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,72.0,72.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":5.0,""bundle"":[[6,3,""nominal""],[3,6,""nominal""],[2,3,""nominal""],[3,2,""nominal""],[6,2,""nominal""]]},{""target"":4,""fusion"":9,""robust_pd"":0.642578125,""robust_information"":1.8394161596982506,""generated_information"":[3.234832451876228,9.90552000822612,6.771747071996776,1.8394161596982506],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":5.0,""bundle"":[[9,1,""nominal""],[1,9,""nominal""],[2,1,""nominal""],[2,9,""nominal""],[0,1,""nominal""]]},{""target"":5,""fusion"":13,""robust_pd"":0.11962890625,""robust_information"":0.04210167963736011,""generated_information"":[0.04210167963736011,0.4112428494723024,0.7896381334416072,0.22699131135187312],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""bundle"":[[4,7,""nominal""]]},{""target"":6,""fusion"":0,""robust_pd"":0.4091796875,""robust_information"":1.0071160363427634,""generated_information"":[1.0302012776703096,1.0071160363427634,2.7808388968902955,3.1657614531599174],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[2,0,""nominal""],[1,0,""nominal""]]},{""target"":7,""fusion"":1,""robust_pd"":0.81689453125,""robust_information"":3.913281923506617,""generated_information"":[9.872282916655852,12.602059034155388,5.534241347659879,3.913281923566879],""network_evidence_loss"":8.694023279076646e-11,""robust_evidence_retention"":0.9999999999842905,""receiver_cpu_cycles"":[0.0,72.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":5.0,""bundle"":[[9,1,""nominal""],[1,9,""nominal""],[9,2,""nominal""],[2,9,""nominal""],[2,1,""nominal""]]},{""target"":8,""fusion"":1,""robust_pd"":0.5322265625,""robust_information"":1.522619528591056,""generated_information"":[1.7602282309362351,1.522619528591056,1.5561612007983614,2.1936329145241387],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":2.0,""bundle"":[[8,1,""nominal""],[2,8,""nominal""]]},{""target"":9,""fusion"":3,""robust_pd"":0.08544921875,""robust_information"":0.05794906023205054,""generated_information"":[0.11682294316386754,0.5836046834573495,0.4509948724049626,0.05794906023205054],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,0.0,0.0,144.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""fusion_cpu_cycles"":5.0,""bundle"":[[6,3,""nominal""],[3,6,""nominal""],[2,3,""nominal""],[13,3,""nominal""],[7,3,""nominal""]]}]"
